Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Armenia,GDP Annual Growth Rate,1998-03-31T00:00:00,9.6,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,1998-06-30T00:00:00,8.9,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,1998-09-30T00:00:00,8.7,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,1998-12-31T00:00:00,8.9,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,1999-03-31T00:00:00,8.9,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,1999-06-30T00:00:00,10.4,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,1999-09-30T00:00:00,11.3,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,1999-12-31T00:00:00,11.3,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2000-03-31T00:00:00,11.6,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2000-06-30T00:00:00,12.1,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2000-09-30T00:00:00,12.1,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2000-12-31T00:00:00,11.9,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2001-03-31T00:00:00,11.5,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2001-06-30T00:00:00,5.7,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2001-09-30T00:00:00,15.2,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2001-12-31T00:00:00,6.2,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2002-03-31T00:00:00,8.4,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2002-06-30T00:00:00,9.7,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2002-09-30T00:00:00,13.2,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2002-12-31T00:00:00,17.9,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2003-03-31T00:00:00,10.9,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2003-06-30T00:00:00,16.3,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2003-09-30T00:00:00,14.3,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2003-12-31T00:00:00,14,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2004-03-31T00:00:00,8,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2004-06-30T00:00:00,10.4,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2004-09-30T00:00:00,12.7,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2004-12-31T00:00:00,9.5,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2005-03-31T00:00:00,8.4,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2005-06-30T00:00:00,14.3,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2005-09-30T00:00:00,12.7,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2005-12-31T00:00:00,17.1,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2006-03-31T00:00:00,13.1,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2006-06-30T00:00:00,19.1,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2006-09-30T00:00:00,12.2,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2006-12-31T00:00:00,10.4,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2007-03-31T00:00:00,12.1,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2007-06-30T00:00:00,10.1,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2007-09-30T00:00:00,15.7,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2007-12-31T00:00:00,15,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2008-03-31T00:00:00,13,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2008-06-30T00:00:00,9.6,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2008-09-30T00:00:00,15.4,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2008-12-31T00:00:00,-5.9,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2009-03-31T00:00:00,-6.3,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2009-06-30T00:00:00,-18.6,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2009-09-30T00:00:00,-19.7,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2009-12-31T00:00:00,-7.8,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2010-03-31T00:00:00,7.3,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2010-06-30T00:00:00,9.3,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2010-09-30T00:00:00,-5.6,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2010-12-31T00:00:00,3.1,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2011-03-31T00:00:00,1.9,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2011-06-30T00:00:00,3.1,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2011-09-30T00:00:00,6.7,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2011-12-31T00:00:00,5.2,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2012-03-31T00:00:00,5.2,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2012-06-30T00:00:00,7.2,Quarterly,ARMENIAGDPATE,2012-10-23T15:58:00
Armenia,GDP Annual Growth Rate,2012-09-30T00:00:00,9.1,Quarterly,ARMENIAGDPATE,2013-01-04T16:22:00
Armenia,GDP Annual Growth Rate,2012-12-31T00:00:00,6.3,Quarterly,ARMENIAGDPATE,2013-03-29T11:23:00
Armenia,GDP Annual Growth Rate,2013-03-31T00:00:00,7.9,Quarterly,ARMENIAGDPATE,2013-06-05T16:55:00
Armenia,GDP Annual Growth Rate,2013-06-30T00:00:00,0.8,Quarterly,ARMENIAGDPATE,2013-08-30T10:07:00
Armenia,GDP Annual Growth Rate,2013-09-30T00:00:00,1.5,Quarterly,ARMENIAGDPATE,2013-11-29T09:52:00
Armenia,GDP Annual Growth Rate,2013-12-31T00:00:00,5.1,Quarterly,ARMENIAGDPATE,2014-02-28T15:00:00
Armenia,GDP Annual Growth Rate,2014-03-31T00:00:00,3,Quarterly,ARMENIAGDPATE,2016-08-31T11:52:00
Armenia,GDP Annual Growth Rate,2014-06-30T00:00:00,2.1,Quarterly,ARMENIAGDPATE,2016-08-31T11:52:00
Armenia,GDP Annual Growth Rate,2014-09-30T00:00:00,5.4,Quarterly,ARMENIAGDPATE,2016-08-31T11:51:00
