Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Australia,GDP Annual Growth Rate,1960-09-30T00:00:00,4.4,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1960-12-31T00:00:00,3.3,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1961-03-31T00:00:00,3.1,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1961-06-30T00:00:00,-0.8,Quarterly,AUNAGDPY,2017-12-06T11:05:00
Australia,GDP Annual Growth Rate,1961-09-30T00:00:00,-1.7,Quarterly,AUNAGDPY,2017-12-06T11:05:00
Australia,GDP Annual Growth Rate,1961-12-31T00:00:00,-0.4,Quarterly,AUNAGDPY,2017-12-06T11:05:00
Australia,GDP Annual Growth Rate,1962-03-31T00:00:00,2.1,Quarterly,AUNAGDPY,2016-12-07T08:55:00
Australia,GDP Annual Growth Rate,1962-06-30T00:00:00,5.2,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1962-09-30T00:00:00,6.8,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1962-12-31T00:00:00,7.5,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1963-03-31T00:00:00,7,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1963-06-30T00:00:00,3.6,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1963-09-30T00:00:00,7,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1963-12-31T00:00:00,7.4,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1964-03-31T00:00:00,4.8,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1964-06-30T00:00:00,8.8,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1964-09-30T00:00:00,5.1,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1964-12-31T00:00:00,5.9,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1965-03-31T00:00:00,6.9,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1965-06-30T00:00:00,6,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1965-09-30T00:00:00,5,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1965-12-31T00:00:00,2.4,Quarterly,AUNAGDPY,2019-09-04T10:15:00
Australia,GDP Annual Growth Rate,1966-03-31T00:00:00,1.2,Quarterly,AUNAGDPY,2016-12-07T08:55:00
Australia,GDP Annual Growth Rate,1966-06-30T00:00:00,1,Quarterly,AUNAGDPY,2018-03-07T12:31:00
Australia,GDP Annual Growth Rate,1966-09-30T00:00:00,4.2,Quarterly,AUNAGDPY,2019-09-04T10:15:00
