Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Botswana,GDP Annual Growth Rate,1995-03-31T00:00:00,4.1,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1995-06-30T00:00:00,2.4,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1995-09-30T00:00:00,5.7,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1995-12-31T00:00:00,10.5,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1996-03-31T00:00:00,1.6,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1996-06-30T00:00:00,11.8,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1996-09-30T00:00:00,8.8,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1996-12-31T00:00:00,-3,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1997-03-31T00:00:00,3.3,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1997-06-30T00:00:00,5,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1997-09-30T00:00:00,5.6,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1997-12-31T00:00:00,17,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1998-03-31T00:00:00,4.9,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1998-06-30T00:00:00,3.2,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1998-09-30T00:00:00,-3.3,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
Botswana,GDP Annual Growth Rate,1998-12-31T00:00:00,-3.7,Quarterly,BotswanaGDPYoY,2012-10-09T12:48:00
