Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
China,GDP Annual Growth Rate,1989-12-31T00:00:00,4.1,Quarterly,CNGDPYOY,2015-09-09T13:08:00
China,GDP Annual Growth Rate,1990-12-31T00:00:00,3.8,Quarterly,CNGDPYOY,2015-09-09T13:08:00
China,GDP Annual Growth Rate,1991-12-31T00:00:00,9.2,Quarterly,CNGDPYOY,2015-09-09T13:08:00
China,GDP Annual Growth Rate,1992-03-31T00:00:00,13.6,Quarterly,CNGDPYOY,2020-01-20T10:59:00
China,GDP Annual Growth Rate,1992-06-30T00:00:00,14.1,Quarterly,CNGDPYOY,2015-10-19T09:34:00
China,GDP Annual Growth Rate,1992-09-30T00:00:00,14.6,Quarterly,CNGDPYOY,2015-09-09T13:08:00
China,GDP Annual Growth Rate,1992-12-31T00:00:00,14.6,Quarterly,CNGDPYOY,2015-09-09T13:08:00
China,GDP Annual Growth Rate,1993-03-31T00:00:00,15.3,Quarterly,CNGDPYOY,2020-01-20T10:59:00
China,GDP Annual Growth Rate,1993-06-30T00:00:00,13.5,Quarterly,CNGDPYOY,2020-01-20T10:59:00
China,GDP Annual Growth Rate,1993-09-30T00:00:00,13,Quarterly,CNGDPYOY,2025-01-23T10:28:00
China,GDP Annual Growth Rate,1993-12-31T00:00:00,14.2,Quarterly,CNGDPYOY,2025-01-23T10:28:00
China,GDP Annual Growth Rate,1994-03-31T00:00:00,14.2,Quarterly,CNGDPYOY,2025-01-23T10:28:00
China,GDP Annual Growth Rate,1994-06-30T00:00:00,13.4,Quarterly,CNGDPYOY,2025-01-23T10:28:00
China,GDP Annual Growth Rate,1994-09-30T00:00:00,13.1,Quarterly,CNGDPYOY,2020-01-20T10:59:00
China,GDP Annual Growth Rate,1994-12-31T00:00:00,12.1,Quarterly,CNGDPYOY,2025-01-23T10:28:00
China,GDP Annual Growth Rate,1995-03-31T00:00:00,12,Quarterly,CNGDPYOY,2025-01-23T10:28:00
China,GDP Annual Growth Rate,1995-06-30T00:00:00,11,Quarterly,CNGDPYOY,2020-01-20T10:59:00
China,GDP Annual Growth Rate,1995-09-30T00:00:00,10.5,Quarterly,CNGDPYOY,2025-01-23T10:28:00
China,GDP Annual Growth Rate,1995-12-31T00:00:00,10.8,Quarterly,CNGDPYOY,2015-09-09T13:08:00
China,GDP Annual Growth Rate,1996-03-31T00:00:00,11,Quarterly,CNGDPYOY,2025-01-23T10:28:00
China,GDP Annual Growth Rate,1996-06-30T00:00:00,9.4,Quarterly,CNGDPYOY,2015-09-09T13:08:00
