Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Cyprus,GDP Annual Growth Rate,1996-03-31T00:00:00,2.7,Quarterly,CypprusGDPate,2024-08-14T09:15:00
Cyprus,GDP Annual Growth Rate,1996-06-30T00:00:00,0.3,Quarterly,CypprusGDPate,2024-05-15T09:19:00
Cyprus,GDP Annual Growth Rate,1996-09-30T00:00:00,0.3,Quarterly,CypprusGDPate,2023-11-14T10:14:00
Cyprus,GDP Annual Growth Rate,1996-12-31T00:00:00,1.7,Quarterly,CypprusGDPate,2024-05-15T09:19:00
Cyprus,GDP Annual Growth Rate,1997-03-31T00:00:00,0.7,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,1997-06-30T00:00:00,1.8,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,1997-09-30T00:00:00,4,Quarterly,CypprusGDPate,2024-03-04T02:55:00
Cyprus,GDP Annual Growth Rate,1997-12-31T00:00:00,4.1,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,1998-03-31T00:00:00,5.4,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,1998-06-30T00:00:00,6.7,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,1998-09-30T00:00:00,6.6,Quarterly,CypprusGDPate,2023-11-14T10:14:00
Cyprus,GDP Annual Growth Rate,1998-12-31T00:00:00,5.7,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,1999-03-31T00:00:00,5.2,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,1999-06-30T00:00:00,4.4,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,1999-09-30T00:00:00,4.5,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,1999-12-31T00:00:00,5.8,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2000-03-31T00:00:00,5.7,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2000-06-30T00:00:00,7.8,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2000-09-30T00:00:00,5.7,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2000-12-31T00:00:00,4.7,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2001-03-31T00:00:00,3.7,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2001-06-30T00:00:00,2.1,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2001-09-30T00:00:00,5.2,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2001-12-31T00:00:00,4.8,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2002-03-31T00:00:00,4.5,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2002-06-30T00:00:00,5.2,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2002-09-30T00:00:00,1.5,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2002-12-31T00:00:00,3.7,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2003-03-31T00:00:00,3.4,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2003-06-30T00:00:00,1.1,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2003-09-30T00:00:00,3.7,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2003-12-31T00:00:00,2.4,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2004-03-31T00:00:00,4.4,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2004-06-30T00:00:00,5.7,Quarterly,CypprusGDPate,2023-11-14T10:14:00
Cyprus,GDP Annual Growth Rate,2004-09-30T00:00:00,5,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2004-12-31T00:00:00,5,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2005-03-31T00:00:00,5.2,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2005-06-30T00:00:00,4.9,Quarterly,CypprusGDPate,2024-08-14T09:15:00
Cyprus,GDP Annual Growth Rate,2005-09-30T00:00:00,4.9,Quarterly,CypprusGDPate,2023-11-14T10:14:00
Cyprus,GDP Annual Growth Rate,2005-12-31T00:00:00,4.4,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2006-03-31T00:00:00,4.3,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2006-06-30T00:00:00,5.3,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2006-09-30T00:00:00,4.5,Quarterly,CypprusGDPate,2023-11-14T10:14:00
Cyprus,GDP Annual Growth Rate,2006-12-31T00:00:00,4.7,Quarterly,CypprusGDPate,2024-05-15T09:19:00
Cyprus,GDP Annual Growth Rate,2007-03-31T00:00:00,5.4,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2007-06-30T00:00:00,4.3,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2007-09-30T00:00:00,4.9,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2007-12-31T00:00:00,5.8,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2008-03-31T00:00:00,4.6,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2008-06-30T00:00:00,5.1,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2008-09-30T00:00:00,3.8,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2008-12-31T00:00:00,1.2,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2009-03-31T00:00:00,-1.4,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2009-06-30T00:00:00,-2.8,Quarterly,CypprusGDPate,2023-11-14T10:14:00
Cyprus,GDP Annual Growth Rate,2009-09-30T00:00:00,-2.8,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2009-12-31T00:00:00,-1.1,Quarterly,CypprusGDPate,2023-05-11T08:50:00
Cyprus,GDP Annual Growth Rate,2010-03-31T00:00:00,1.3,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2010-06-30T00:00:00,2.2,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2010-09-30T00:00:00,3.1,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2010-12-31T00:00:00,2.6,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2011-03-31T00:00:00,1.6,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2011-06-30T00:00:00,1.6,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2011-09-30T00:00:00,-0.8,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2011-12-31T00:00:00,-0.8,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2012-03-31T00:00:00,-1.8,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2012-06-30T00:00:00,-3.6,Quarterly,CypprusGDPate,2023-11-14T10:14:00
Cyprus,GDP Annual Growth Rate,2012-09-30T00:00:00,-3,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2012-12-31T00:00:00,-5.4,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2013-03-31T00:00:00,-6.9,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2013-06-30T00:00:00,-7.6,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2013-09-30T00:00:00,-6.7,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2013-12-31T00:00:00,-5,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2014-03-31T00:00:00,-3.6,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2014-06-30T00:00:00,-1.4,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2014-09-30T00:00:00,-1.3,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2014-12-31T00:00:00,-0.8,Quarterly,CypprusGDPate,2025-06-02T09:54:00
Cyprus,GDP Annual Growth Rate,2015-03-31T00:00:00,1.2,Quarterly,CypprusGDPate,2024-12-02T11:19:00
Cyprus,GDP Annual Growth Rate,2015-06-30T00:00:00,2.6,Quarterly,CypprusGDPate,2023-11-14T10:14:00
Cyprus,GDP Annual Growth Rate,2015-09-30T00:00:00,3.9,Quarterly,CypprusGDPate,2025-06-02T09:54:00
