Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Czech Republic,GDP Annual Growth Rate,1997-03-31T00:00:00,0.6,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,1997-06-30T00:00:00,-0.2,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,1997-09-30T00:00:00,-1.3,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,1997-12-31T00:00:00,-1.6,Quarterly,CZGDPYOY,2015-11-27T13:27:00
Czech Republic,GDP Annual Growth Rate,1998-03-31T00:00:00,-1.1,Quarterly,CZGDPYOY,2023-01-09T15:27:00
Czech Republic,GDP Annual Growth Rate,1998-06-30T00:00:00,-0.6,Quarterly,CZGDPYOY,2020-09-01T12:38:00
Czech Republic,GDP Annual Growth Rate,1998-09-30T00:00:00,0,Quarterly,CZGDPYOY,2020-09-01T12:38:00
Czech Republic,GDP Annual Growth Rate,1998-12-31T00:00:00,0.3,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,1999-03-31T00:00:00,0.4,Quarterly,CZGDPYOY,2020-09-01T12:38:00
Czech Republic,GDP Annual Growth Rate,1999-06-30T00:00:00,0.6,Quarterly,CZGDPYOY,2023-01-09T15:27:00
Czech Republic,GDP Annual Growth Rate,1999-09-30T00:00:00,1.4,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,1999-12-31T00:00:00,2.6,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2000-03-31T00:00:00,4,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2000-06-30T00:00:00,4.5,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2000-09-30T00:00:00,4.8,Quarterly,CZGDPYOY,2020-09-01T12:38:00
Czech Republic,GDP Annual Growth Rate,2000-12-31T00:00:00,3.9,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2001-03-31T00:00:00,3.9,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2001-06-30T00:00:00,3,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2001-09-30T00:00:00,2.2,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2001-12-31T00:00:00,2.5,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2002-03-31T00:00:00,1.1,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2002-06-30T00:00:00,1.5,Quarterly,CZGDPYOY,2020-09-01T12:38:00
Czech Republic,GDP Annual Growth Rate,2002-09-30T00:00:00,1.7,Quarterly,CZGDPYOY,2023-01-09T15:27:00
Czech Republic,GDP Annual Growth Rate,2002-12-31T00:00:00,1.4,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2003-03-31T00:00:00,2.7,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2003-06-30T00:00:00,3.1,Quarterly,CZGDPYOY,2024-06-28T08:06:00
Czech Republic,GDP Annual Growth Rate,2003-09-30T00:00:00,3.6,Quarterly,CZGDPYOY,2024-06-28T08:06:00
