Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ethiopia,GDP Annual Growth Rate,1981-12-31T00:00:00,0.9,Yearly,ETHOPIAGDPATE,2022-04-05T18:55:00
Ethiopia,GDP Annual Growth Rate,1982-12-31T00:00:00,8.2,Yearly,ETHOPIAGDPATE,2022-04-05T18:55:00
Ethiopia,GDP Annual Growth Rate,1983-12-31T00:00:00,-2.9,Yearly,ETHOPIAGDPATE,2022-04-05T18:55:00
Ethiopia,GDP Annual Growth Rate,1984-12-31T00:00:00,-11.1,Yearly,ETHOPIAGDPATE,2022-04-05T18:56:00
Ethiopia,GDP Annual Growth Rate,1985-12-31T00:00:00,9.7,Yearly,ETHOPIAGDPATE,2022-04-05T18:56:00
Ethiopia,GDP Annual Growth Rate,1986-12-31T00:00:00,13.9,Yearly,ETHOPIAGDPATE,2022-04-05T18:56:00
Ethiopia,GDP Annual Growth Rate,1987-12-31T00:00:00,0.5,Yearly,ETHOPIAGDPATE,2022-04-05T18:56:00
Ethiopia,GDP Annual Growth Rate,1988-12-31T00:00:00,-0.4,Yearly,ETHOPIAGDPATE,2022-04-05T18:57:00
Ethiopia,GDP Annual Growth Rate,1989-12-31T00:00:00,2.7,Yearly,ETHOPIAGDPATE,2022-04-05T18:57:00
Ethiopia,GDP Annual Growth Rate,1990-12-31T00:00:00,-7.1,Yearly,ETHOPIAGDPATE,2022-04-05T18:57:00
Ethiopia,GDP Annual Growth Rate,1991-12-31T00:00:00,-8.7,Yearly,ETHOPIAGDPATE,2022-04-05T18:57:00
Ethiopia,GDP Annual Growth Rate,1992-12-31T00:00:00,13.1,Yearly,ETHOPIAGDPATE,2022-04-05T18:57:00
Ethiopia,GDP Annual Growth Rate,1993-12-31T00:00:00,3.2,Yearly,ETHOPIAGDPATE,2022-04-05T18:58:00
Ethiopia,GDP Annual Growth Rate,1994-12-31T00:00:00,6.1,Yearly,ETHOPIAGDPATE,2022-04-05T18:58:00
