Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ghana,GDP Annual Growth Rate,2000-12-31T00:00:00,3.74,Quarterly,GhanaGDPYoY,2012-05-25T16:56:00
Ghana,GDP Annual Growth Rate,2001-12-31T00:00:00,4.2,Quarterly,GhanaGDPYoY,2012-05-25T16:56:00
Ghana,GDP Annual Growth Rate,2002-12-31T00:00:00,4.5,Quarterly,GhanaGDPYoY,2012-05-25T16:56:00
Ghana,GDP Annual Growth Rate,2003-12-31T00:00:00,5.2,Quarterly,GhanaGDPYoY,2012-05-25T16:56:00
Ghana,GDP Annual Growth Rate,2004-12-31T00:00:00,5.8,Quarterly,GhanaGDPYoY,2012-05-25T16:56:00
Ghana,GDP Annual Growth Rate,2005-12-31T00:00:00,5.9,Quarterly,GhanaGDPYoY,2012-05-25T16:56:00
Ghana,GDP Annual Growth Rate,2006-12-31T00:00:00,6.2,Quarterly,GhanaGDPYoY,2012-05-25T16:56:00
Ghana,GDP Annual Growth Rate,2007-03-31T00:00:00,7.5,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2007-06-30T00:00:00,6.8,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2007-09-30T00:00:00,2.2,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2007-12-31T00:00:00,1.1,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2008-03-31T00:00:00,8,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2008-06-30T00:00:00,7.5,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2008-09-30T00:00:00,13.1,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2008-12-31T00:00:00,7.2,Quarterly,GhanaGDPYoY,2012-05-25T16:56:00
Ghana,GDP Annual Growth Rate,2009-03-31T00:00:00,3.5,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2009-06-30T00:00:00,5.5,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2009-09-30T00:00:00,1.9,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2009-12-31T00:00:00,11.3,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2010-03-31T00:00:00,6.6,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2010-06-30T00:00:00,7.5,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2010-09-30T00:00:00,12.7,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2010-12-31T00:00:00,4.6,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2011-03-31T00:00:00,13.9,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2011-06-30T00:00:00,19.8,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2011-09-30T00:00:00,10.4,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2011-12-31T00:00:00,12.9,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2012-03-31T00:00:00,13.3,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2012-06-30T00:00:00,9.5,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2012-09-30T00:00:00,4.8,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2012-12-31T00:00:00,7,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2013-03-31T00:00:00,7.9,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2013-06-30T00:00:00,14.2,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2013-09-30T00:00:00,3.5,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2013-12-31T00:00:00,4.3,Quarterly,GhanaGDPYoY,2025-03-11T07:40:00
Ghana,GDP Annual Growth Rate,2014-03-31T00:00:00,-1.1,Quarterly,GhanaGDPYoY,2021-06-17T10:48:00
Ghana,GDP Annual Growth Rate,2014-06-30T00:00:00,3,Quarterly,GhanaGDPYoY,2021-06-17T10:48:00
Ghana,GDP Annual Growth Rate,2014-09-30T00:00:00,7.8,Quarterly,GhanaGDPYoY,2021-06-17T10:48:00
