Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Hong Kong,GDP Annual Growth Rate,1974-03-31T00:00:00,6.2,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1974-06-30T00:00:00,2.6,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1974-09-30T00:00:00,4,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1974-12-31T00:00:00,-3.5,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1975-03-31T00:00:00,-4.5,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1975-06-30T00:00:00,2.1,Quarterly,HKGDYOY,2012-04-05T16:50:00
Hong Kong,GDP Annual Growth Rate,1975-09-30T00:00:00,-0.1,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1975-12-31T00:00:00,5.3,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1976-03-31T00:00:00,17.4,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1976-06-30T00:00:00,13.1,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1976-09-30T00:00:00,14.6,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1976-12-31T00:00:00,20.5,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1977-03-31T00:00:00,10.8,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1977-06-30T00:00:00,10.4,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1977-09-30T00:00:00,12.7,Quarterly,HKGDYOY,2012-04-05T16:50:00
Hong Kong,GDP Annual Growth Rate,1977-12-31T00:00:00,12.3,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1978-03-31T00:00:00,11,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1978-06-30T00:00:00,13.9,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1978-09-30T00:00:00,3.6,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1978-12-31T00:00:00,5.5,Quarterly,HKGDYOY,2012-04-05T16:50:00
Hong Kong,GDP Annual Growth Rate,1979-03-31T00:00:00,7.8,Quarterly,HKGDYOY,2021-11-01T11:45:00
Hong Kong,GDP Annual Growth Rate,1979-06-30T00:00:00,10,Quarterly,HKGDYOY,2012-04-05T16:50:00
Hong Kong,GDP Annual Growth Rate,1979-09-30T00:00:00,13.7,Quarterly,HKGDYOY,2012-04-05T16:50:00
