Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
India,GDP Annual Growth Rate,1951-12-31T00:00:00,2.3,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1952-12-31T00:00:00,2.8,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1953-12-31T00:00:00,6.1,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1954-12-31T00:00:00,4.2,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1955-12-31T00:00:00,2.6,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1956-12-31T00:00:00,5.7,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1957-12-31T00:00:00,-1.2,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1958-12-31T00:00:00,7.6,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1959-12-31T00:00:00,2.2,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1960-12-31T00:00:00,7.1,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1961-12-31T00:00:00,3.1,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1962-12-31T00:00:00,2.1,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1963-12-31T00:00:00,5.1,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1964-12-31T00:00:00,7.6,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1965-12-31T00:00:00,-3.7,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1966-12-31T00:00:00,1,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1967-12-31T00:00:00,8.1,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1968-12-31T00:00:00,2.6,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1969-12-31T00:00:00,6.5,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1970-12-31T00:00:00,5,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1971-12-31T00:00:00,1,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1972-12-31T00:00:00,-0.3,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1973-12-31T00:00:00,4.6,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1974-12-31T00:00:00,1.2,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1975-12-31T00:00:00,9,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1976-12-31T00:00:00,1.2,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1977-12-31T00:00:00,7.5,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1978-12-31T00:00:00,5.5,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1979-12-31T00:00:00,-5.2,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1980-12-31T00:00:00,7.2,Quarterly,INGDPY,2014-03-04T17:43:00
India,GDP Annual Growth Rate,1981-12-31T00:00:00,5.6,Quarterly,INGDPY,2014-03-04T17:43:00
