Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Indonesia,GDP Annual Growth Rate,2000-09-30T00:00:00,4.42,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2000-12-31T00:00:00,5.72,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2001-03-31T00:00:00,3.87,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2001-06-30T00:00:00,5.77,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2001-09-30T00:00:00,3.44,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2001-12-31T00:00:00,1.56,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2002-03-31T00:00:00,3.52,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2002-06-30T00:00:00,4.21,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2002-09-30T00:00:00,5.55,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2002-12-31T00:00:00,4.68,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2003-03-31T00:00:00,4.91,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2003-06-30T00:00:00,5.03,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2003-09-30T00:00:00,4.56,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2003-12-31T00:00:00,4.63,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2004-03-31T00:00:00,4.1,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2004-06-30T00:00:00,4.39,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2004-09-30T00:00:00,4.5,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2004-12-31T00:00:00,7.16,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2005-03-31T00:00:00,5.96,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2005-06-30T00:00:00,5.87,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2005-09-30T00:00:00,5.84,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2005-12-31T00:00:00,5.11,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2006-03-31T00:00:00,5.13,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2006-06-30T00:00:00,4.93,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2006-09-30T00:00:00,5.86,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2006-12-31T00:00:00,6.06,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2007-03-31T00:00:00,6.03,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2007-06-30T00:00:00,6.64,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2007-09-30T00:00:00,6.58,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2007-12-31T00:00:00,6.11,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2008-03-31T00:00:00,6.24,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2008-06-30T00:00:00,6.38,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2008-09-30T00:00:00,6.41,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2008-12-31T00:00:00,5,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2009-03-31T00:00:00,4.53,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2009-06-30T00:00:00,4.08,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2009-09-30T00:00:00,4.16,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2009-12-31T00:00:00,5.43,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2010-03-31T00:00:00,5.69,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2010-06-30T00:00:00,6.17,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2010-09-30T00:00:00,5.8,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2010-12-31T00:00:00,6.9,Quarterly,IDGDPY,2011-06-27T00:00:00
Indonesia,GDP Annual Growth Rate,2011-03-31T00:00:00,6.48,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2011-06-30T00:00:00,6.27,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2011-09-30T00:00:00,6.01,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2011-12-31T00:00:00,5.94,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2012-03-31T00:00:00,6.11,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2012-06-30T00:00:00,6.21,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2012-09-30T00:00:00,5.94,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2012-12-31T00:00:00,5.87,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2013-03-31T00:00:00,5.54,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2013-06-30T00:00:00,5.59,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2013-09-30T00:00:00,5.52,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2013-12-31T00:00:00,5.58,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2014-03-31T00:00:00,5.12,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2014-06-30T00:00:00,4.94,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2014-09-30T00:00:00,4.93,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2014-12-31T00:00:00,5.05,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2015-03-31T00:00:00,4.83,Quarterly,IDGDPY,2018-08-06T09:28:00
Indonesia,GDP Annual Growth Rate,2015-06-30T00:00:00,4.74,Quarterly,IDGDPY,2017-02-06T12:29:00
Indonesia,GDP Annual Growth Rate,2015-09-30T00:00:00,4.78,Quarterly,IDGDPY,2018-08-06T09:29:00
Indonesia,GDP Annual Growth Rate,2015-12-31T00:00:00,5.15,Quarterly,IDGDPY,2018-08-06T09:29:00
Indonesia,GDP Annual Growth Rate,2016-03-31T00:00:00,4.94,Quarterly,IDGDPY,2018-08-06T09:29:00
Indonesia,GDP Annual Growth Rate,2016-06-30T00:00:00,5.21,Quarterly,IDGDPY,2018-05-07T07:10:00
Indonesia,GDP Annual Growth Rate,2016-09-30T00:00:00,5.03,Quarterly,IDGDPY,2018-05-07T07:10:00
Indonesia,GDP Annual Growth Rate,2016-12-31T00:00:00,4.94,Quarterly,IDGDPY,2017-02-06T07:25:00
Indonesia,GDP Annual Growth Rate,2017-03-31T00:00:00,5.01,Quarterly,IDGDPY,2017-05-05T02:32:00
Indonesia,GDP Annual Growth Rate,2017-06-30T00:00:00,5.01,Quarterly,IDGDPY,2017-11-06T04:08:00
Indonesia,GDP Annual Growth Rate,2017-09-30T00:00:00,5.06,Quarterly,IDGDPY,2018-02-05T04:09:00
Indonesia,GDP Annual Growth Rate,2017-12-31T00:00:00,5.19,Quarterly,IDGDPY,2018-05-07T04:11:00
Indonesia,GDP Annual Growth Rate,2018-03-31T00:00:00,5.06,Quarterly,IDGDPY,2018-08-06T04:12:00
Indonesia,GDP Annual Growth Rate,2018-06-30T00:00:00,5.27,Quarterly,IDGDPY,2018-11-05T04:12:00
Indonesia,GDP Annual Growth Rate,2018-09-30T00:00:00,5.17,Quarterly,IDGDPY,2019-02-06T04:15:00
Indonesia,GDP Annual Growth Rate,2018-12-31T00:00:00,5.18,Quarterly,IDGDPY,2019-05-06T04:07:00
Indonesia,GDP Annual Growth Rate,2019-03-31T00:00:00,5.07,Quarterly,IDGDPY,2019-08-05T04:00:00
Indonesia,GDP Annual Growth Rate,2019-06-30T00:00:00,5.05,Quarterly,IDGDPY,2019-11-05T04:09:00
Indonesia,GDP Annual Growth Rate,2019-09-30T00:00:00,5.02,Quarterly,IDGDPY,2020-02-05T04:12:00
Indonesia,GDP Annual Growth Rate,2019-12-31T00:00:00,4.97,Quarterly,IDGDPY,2020-05-05T04:12:00
Indonesia,GDP Annual Growth Rate,2020-03-31T00:00:00,2.97,Quarterly,IDGDPY,2020-08-05T04:11:00
Indonesia,GDP Annual Growth Rate,2020-06-30T00:00:00,-5.32,Quarterly,IDGDPY,2020-11-05T04:12:00
Indonesia,GDP Annual Growth Rate,2020-09-30T00:00:00,-3.49,Quarterly,IDGDPY,2021-02-05T02:12:00
Indonesia,GDP Annual Growth Rate,2020-12-31T00:00:00,-2.19,Quarterly,IDGDPY,2021-05-05T04:11:00
Indonesia,GDP Annual Growth Rate,2021-03-31T00:00:00,-0.69,Quarterly,IDGDPY,2023-05-05T06:57:00
Indonesia,GDP Annual Growth Rate,2021-06-30T00:00:00,7.08,Quarterly,IDGDPY,2023-05-05T06:57:00
Indonesia,GDP Annual Growth Rate,2021-09-30T00:00:00,3.53,Quarterly,IDGDPY,2023-05-05T06:57:00
Indonesia,GDP Annual Growth Rate,2021-12-31T00:00:00,5.03,Quarterly,IDGDPY,2023-05-05T06:57:00
Indonesia,GDP Annual Growth Rate,2022-03-31T00:00:00,5.02,Quarterly,IDGDPY,2023-05-05T06:57:00
Indonesia,GDP Annual Growth Rate,2022-06-30T00:00:00,5.46,Quarterly,IDGDPY,2023-05-05T06:56:00
Indonesia,GDP Annual Growth Rate,2022-09-30T00:00:00,5.73,Quarterly,IDGDPY,2023-02-06T05:21:00
Indonesia,GDP Annual Growth Rate,2022-12-31T00:00:00,5.01,Quarterly,IDGDPY,2023-05-05T02:14:00
Indonesia,GDP Annual Growth Rate,2023-03-31T00:00:00,5.04,Quarterly,IDGDPY,2023-08-07T05:50:00
Indonesia,GDP Annual Growth Rate,2023-06-30T00:00:00,5.17,Quarterly,IDGDPY,2023-11-06T04:11:00
Indonesia,GDP Annual Growth Rate,2023-09-30T00:00:00,4.94,Quarterly,IDGDPY,2024-02-05T04:08:00
Indonesia,GDP Annual Growth Rate,2023-12-31T00:00:00,5.04,Quarterly,IDGDPY,2024-05-06T04:08:00
Indonesia,GDP Annual Growth Rate,2024-03-31T00:00:00,5.11,Quarterly,IDGDPY,2024-08-05T04:08:00
Indonesia,GDP Annual Growth Rate,2024-06-30T00:00:00,5.05,Quarterly,IDGDPY,2024-11-05T04:08:00
Indonesia,GDP Annual Growth Rate,2024-09-30T00:00:00,4.95,Quarterly,IDGDPY,2025-02-05T04:08:00
Indonesia,GDP Annual Growth Rate,2024-12-31T00:00:00,5.02,Quarterly,IDGDPY,2025-05-05T04:09:00
Indonesia,GDP Annual Growth Rate,2025-03-31T00:00:00,4.87,Quarterly,IDGDPY,2025-08-05T04:07:00
Indonesia,GDP Annual Growth Rate,2025-06-30T00:00:00,5.12,Quarterly,IDGDPY,2025-08-05T04:07:00
