Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ireland,GDP Annual Growth Rate,1996-03-31T00:00:00,8.3,Quarterly,IEGRPYOY,2019-07-11T11:19:00
Ireland,GDP Annual Growth Rate,1996-06-30T00:00:00,8.9,Quarterly,IEGRPYOY,2019-07-11T11:19:00
Ireland,GDP Annual Growth Rate,1996-09-30T00:00:00,5.9,Quarterly,IEGRPYOY,2019-07-11T11:19:00
Ireland,GDP Annual Growth Rate,1996-12-31T00:00:00,6.5,Quarterly,IEGRPYOY,2019-07-11T11:19:00
Ireland,GDP Annual Growth Rate,1997-03-31T00:00:00,7.9,Quarterly,IEGRPYOY,2022-07-15T11:40:00
Ireland,GDP Annual Growth Rate,1997-06-30T00:00:00,9.7,Quarterly,IEGRPYOY,2020-07-20T11:53:00
Ireland,GDP Annual Growth Rate,1997-09-30T00:00:00,12.6,Quarterly,IEGRPYOY,2020-07-20T11:53:00
Ireland,GDP Annual Growth Rate,1997-12-31T00:00:00,13.7,Quarterly,IEGRPYOY,2020-07-20T11:53:00
Ireland,GDP Annual Growth Rate,1998-03-31T00:00:00,10.5,Quarterly,IEGRPYOY,2019-07-11T11:19:00
Ireland,GDP Annual Growth Rate,1998-06-30T00:00:00,7.8,Quarterly,IEGRPYOY,2022-07-15T11:40:00
Ireland,GDP Annual Growth Rate,1998-09-30T00:00:00,10.8,Quarterly,IEGRPYOY,2020-07-20T11:53:00
Ireland,GDP Annual Growth Rate,1998-12-31T00:00:00,6.1,Quarterly,IEGRPYOY,2022-07-15T11:40:00
Ireland,GDP Annual Growth Rate,1999-03-31T00:00:00,9.8,Quarterly,IEGRPYOY,2020-07-20T11:53:00
Ireland,GDP Annual Growth Rate,1999-06-30T00:00:00,7.8,Quarterly,IEGRPYOY,2022-07-15T11:40:00
Ireland,GDP Annual Growth Rate,1999-09-30T00:00:00,9.4,Quarterly,IEGRPYOY,2018-07-19T10:08:00
Ireland,GDP Annual Growth Rate,1999-12-31T00:00:00,15.1,Quarterly,IEGRPYOY,2018-07-19T10:08:00
Ireland,GDP Annual Growth Rate,2000-03-31T00:00:00,9.2,Quarterly,IEGRPYOY,2020-07-20T11:53:00
Ireland,GDP Annual Growth Rate,2000-06-30T00:00:00,10.9,Quarterly,IEGRPYOY,2018-07-19T10:08:00
Ireland,GDP Annual Growth Rate,2000-09-30T00:00:00,9,Quarterly,IEGRPYOY,2020-07-20T11:53:00
Ireland,GDP Annual Growth Rate,2000-12-31T00:00:00,8.5,Quarterly,IEGRPYOY,2022-07-15T11:40:00
Ireland,GDP Annual Growth Rate,2001-03-31T00:00:00,7.6,Quarterly,IEGRPYOY,2018-07-19T10:08:00
Ireland,GDP Annual Growth Rate,2001-06-30T00:00:00,6.4,Quarterly,IEGRPYOY,2020-07-20T11:53:00
Ireland,GDP Annual Growth Rate,2001-09-30T00:00:00,2.9,Quarterly,IEGRPYOY,2018-07-19T10:08:00
Ireland,GDP Annual Growth Rate,2001-12-31T00:00:00,4.5,Quarterly,IEGRPYOY,2018-07-19T10:08:00
Ireland,GDP Annual Growth Rate,2002-03-31T00:00:00,5.4,Quarterly,IEGRPYOY,2018-07-19T10:08:00
