Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Israel,GDP Annual Growth Rate,1996-03-31T00:00:00,5.16,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1996-06-30T00:00:00,4.95,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1996-09-30T00:00:00,5.13,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1996-12-31T00:00:00,6.1,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1997-03-31T00:00:00,6.1,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1997-06-30T00:00:00,4.21,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1997-09-30T00:00:00,2.91,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1997-12-31T00:00:00,3.15,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1998-03-31T00:00:00,3.95,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1998-06-30T00:00:00,3.4,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1998-09-30T00:00:00,4.28,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1998-12-31T00:00:00,2.86,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1999-03-31T00:00:00,1.03,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1999-06-30T00:00:00,4.81,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1999-09-30T00:00:00,4.16,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,1999-12-31T00:00:00,5.8,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2000-03-31T00:00:00,6.92,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2000-06-30T00:00:00,7.35,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2000-09-30T00:00:00,10.39,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2000-12-31T00:00:00,8.48,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2001-03-31T00:00:00,6.16,Quarterly,ISGDPNYY,2024-10-22T10:11:00
Israel,GDP Annual Growth Rate,2001-06-30T00:00:00,1.56,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2001-09-30T00:00:00,-2.62,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2001-12-31T00:00:00,-3.25,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2002-03-31T00:00:00,-1.5,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2002-06-30T00:00:00,-0.64,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2002-09-30T00:00:00,0.52,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2002-12-31T00:00:00,0.89,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2003-03-31T00:00:00,1.46,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2003-06-30T00:00:00,0.9,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2003-09-30T00:00:00,1.54,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2003-12-31T00:00:00,2.28,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2004-03-31T00:00:00,2.33,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2004-06-30T00:00:00,4.18,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2004-09-30T00:00:00,4.91,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2004-12-31T00:00:00,5.43,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2005-03-31T00:00:00,5.2,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2005-06-30T00:00:00,4.9,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2005-09-30T00:00:00,4.68,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2005-12-31T00:00:00,5.4,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2006-03-31T00:00:00,5.62,Quarterly,ISGDPNYY,2025-02-18T04:44:00
Israel,GDP Annual Growth Rate,2006-06-30T00:00:00,6.55,Quarterly,ISGDPNYY,2025-05-19T04:28:00
