Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Italy,GDP Annual Growth Rate,1961-03-31T00:00:00,6.7,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1961-06-30T00:00:00,7.4,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1961-09-30T00:00:00,8.3,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1961-12-31T00:00:00,10.3,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1962-03-31T00:00:00,8.1,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1962-06-30T00:00:00,7,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1962-09-30T00:00:00,5.2,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1962-12-31T00:00:00,4.7,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1963-03-31T00:00:00,3.9,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1963-06-30T00:00:00,5.6,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1963-09-30T00:00:00,6.7,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1963-12-31T00:00:00,6.2,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1964-03-31T00:00:00,7.1,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1964-06-30T00:00:00,3.2,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1964-09-30T00:00:00,1.3,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1964-12-31T00:00:00,-0.1,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1965-03-31T00:00:00,-0.3,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1965-06-30T00:00:00,2.8,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1965-09-30T00:00:00,4.3,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1965-12-31T00:00:00,6.3,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1966-03-31T00:00:00,5.9,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1966-06-30T00:00:00,5.3,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1966-09-30T00:00:00,6.9,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1966-12-31T00:00:00,5.8,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1967-03-31T00:00:00,6.9,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1967-06-30T00:00:00,7.6,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1967-09-30T00:00:00,6.3,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1967-12-31T00:00:00,7.9,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1968-03-31T00:00:00,6,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1968-06-30T00:00:00,6,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1968-09-30T00:00:00,6.9,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1968-12-31T00:00:00,7.3,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1969-03-31T00:00:00,8.7,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1969-06-30T00:00:00,8.4,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1969-09-30T00:00:00,6.1,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1969-12-31T00:00:00,1.6,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1970-03-31T00:00:00,6,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1970-06-30T00:00:00,4.9,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1970-09-30T00:00:00,6.7,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1970-12-31T00:00:00,9,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1971-03-31T00:00:00,2.3,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1971-06-30T00:00:00,2,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1971-09-30T00:00:00,1.5,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1971-12-31T00:00:00,1.9,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1972-03-31T00:00:00,3.6,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1972-06-30T00:00:00,3.1,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1972-09-30T00:00:00,3,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1972-12-31T00:00:00,2.9,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1973-03-31T00:00:00,2.7,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1973-06-30T00:00:00,5.8,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1973-09-30T00:00:00,7.7,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1973-12-31T00:00:00,9.9,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1974-03-31T00:00:00,9.8,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1974-06-30T00:00:00,7.6,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1974-09-30T00:00:00,4.4,Quarterly,ITPIRLYS,2015-12-01T11:39:00
Italy,GDP Annual Growth Rate,1974-12-31T00:00:00,-0.2,Quarterly,ITPIRLYS,2015-12-01T11:39:00
