Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ivory Coast,GDP Annual Growth Rate,1961-12-31T00:00:00,9.93,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1962-12-31T00:00:00,1.23,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1963-12-31T00:00:00,14.49,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1964-12-31T00:00:00,17.61,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1965-12-31T00:00:00,-3.11,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1966-12-31T00:00:00,11.58,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1967-12-31T00:00:00,4.6,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1968-12-31T00:00:00,12.55,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1969-12-31T00:00:00,9.54,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1970-12-31T00:00:00,10.38,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1971-12-31T00:00:00,9.46,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1972-12-31T00:00:00,4.24,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1973-12-31T00:00:00,5.94,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1974-12-31T00:00:00,4.33,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1975-12-31T00:00:00,8.25,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1976-12-31T00:00:00,12.92,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1977-12-31T00:00:00,7.31,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1978-12-31T00:00:00,10.91,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1979-12-31T00:00:00,2.39,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1980-12-31T00:00:00,-10.96,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1981-12-31T00:00:00,3.5,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1982-12-31T00:00:00,0.2,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1983-12-31T00:00:00,-3.9,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1984-12-31T00:00:00,-2.7,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1985-12-31T00:00:00,4.5,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1986-12-31T00:00:00,3.26,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1987-12-31T00:00:00,-0.35,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1988-12-31T00:00:00,1.14,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1989-12-31T00:00:00,2.95,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1990-12-31T00:00:00,-1.1,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1991-12-31T00:00:00,0.04,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1992-12-31T00:00:00,-0.24,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1993-12-31T00:00:00,-0.19,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1994-12-31T00:00:00,0.81,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1995-12-31T00:00:00,7.13,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1996-12-31T00:00:00,6.7,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1997-12-31T00:00:00,5.7,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1998-12-31T00:00:00,4.9,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,1999-12-31T00:00:00,1.6,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2000-12-31T00:00:00,-2.1,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2001-12-31T00:00:00,0.1,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2002-12-31T00:00:00,-1.7,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2003-12-31T00:00:00,-1.4,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2004-12-31T00:00:00,1.2,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2005-12-31T00:00:00,1.7,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2006-12-31T00:00:00,0.7,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2007-12-31T00:00:00,1.6,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2008-12-31T00:00:00,2.3,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2009-12-31T00:00:00,3.8,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2010-12-31T00:00:00,2,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2011-12-31T00:00:00,-4.7,Quarterly,COTREGDPATE,2012-11-07T14:20:00
Ivory Coast,GDP Annual Growth Rate,2012-12-31T00:00:00,9.8,Quarterly,COTREGDPATE,2013-03-06T15:31:00
