Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Kenya,GDP Annual Growth Rate,2004-03-31T00:00:00,6.9,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2004-06-30T00:00:00,5,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2004-09-30T00:00:00,3.2,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2004-12-31T00:00:00,5.3,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2005-03-31T00:00:00,2,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2005-06-30T00:00:00,7.3,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2005-09-30T00:00:00,8.4,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2005-12-31T00:00:00,6,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2006-03-31T00:00:00,6,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2006-06-30T00:00:00,6.2,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2006-09-30T00:00:00,8.2,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2006-12-31T00:00:00,4.9,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2007-03-31T00:00:00,7,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2007-06-30T00:00:00,8.3,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2007-09-30T00:00:00,6.3,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2007-12-31T00:00:00,6.4,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2008-03-31T00:00:00,1.1,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2008-06-30T00:00:00,2.2,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2008-09-30T00:00:00,2.6,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2008-12-31T00:00:00,0.2,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2009-03-31T00:00:00,6.2,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2009-06-30T00:00:00,1.9,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2009-09-30T00:00:00,1.9,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2009-12-31T00:00:00,1.2,Quarterly,KenyaGDPYoY,2014-10-13T15:57:00
Kenya,GDP Annual Growth Rate,2010-03-31T00:00:00,7.4,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2010-06-30T00:00:00,8.5,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2010-09-30T00:00:00,7.5,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2010-12-31T00:00:00,8.7,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2011-03-31T00:00:00,5.9,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2011-06-30T00:00:00,5.4,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2011-09-30T00:00:00,5.4,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2011-12-31T00:00:00,3.8,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2012-03-31T00:00:00,3.9,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2012-06-30T00:00:00,4.8,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2012-09-30T00:00:00,5,Quarterly,KenyaGDPYoY,2017-06-30T13:47:00
Kenya,GDP Annual Growth Rate,2012-12-31T00:00:00,4.5,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2013-03-31T00:00:00,3.6,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2013-06-30T00:00:00,4.7,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2013-09-30T00:00:00,3.7,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2013-12-31T00:00:00,3.2,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2014-03-31T00:00:00,4.9,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
Kenya,GDP Annual Growth Rate,2014-06-30T00:00:00,5.9,Quarterly,KenyaGDPYoY,2021-10-04T08:35:00
