Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Kuwait,GDP Annual Growth Rate,1963-12-31T00:00:00,3.7,Quarterly,KuwwaitGDPate,2018-06-26T15:31:00
Kuwait,GDP Annual Growth Rate,1964-12-31T00:00:00,8.69,Quarterly,KuwwaitGDPate,2025-03-11T06:20:00
Kuwait,GDP Annual Growth Rate,1965-12-31T00:00:00,0.5,Quarterly,KuwwaitGDPate,2018-06-26T15:31:00
Kuwait,GDP Annual Growth Rate,1966-12-31T00:00:00,12.32,Quarterly,KuwwaitGDPate,2025-03-11T06:20:00
Kuwait,GDP Annual Growth Rate,1967-12-31T00:00:00,2.38,Quarterly,KuwwaitGDPate,2025-03-11T06:20:00
Kuwait,GDP Annual Growth Rate,1968-12-31T00:00:00,9.36,Quarterly,KuwwaitGDPate,2025-03-11T06:20:00
Kuwait,GDP Annual Growth Rate,1969-12-31T00:00:00,2.74,Quarterly,KuwwaitGDPate,2025-03-11T06:20:00
Kuwait,GDP Annual Growth Rate,1970-12-31T00:00:00,3.18,Quarterly,KuwwaitGDPate,2025-03-11T06:20:00
Kuwait,GDP Annual Growth Rate,1971-12-31T00:00:00,7.67,Quarterly,KuwwaitGDPate,2025-03-11T06:20:00
Kuwait,GDP Annual Growth Rate,1972-12-31T00:00:00,4.4,Quarterly,KuwwaitGDPate,2018-06-26T15:31:00
Kuwait,GDP Annual Growth Rate,1973-12-31T00:00:00,-4.81,Quarterly,KuwwaitGDPate,2025-03-11T06:20:00
Kuwait,GDP Annual Growth Rate,1974-12-31T00:00:00,-9.55,Quarterly,KuwwaitGDPate,2025-03-11T06:20:00
Kuwait,GDP Annual Growth Rate,1975-12-31T00:00:00,-8,Quarterly,KuwwaitGDPate,2018-06-26T15:31:00
Kuwait,GDP Annual Growth Rate,1976-12-31T00:00:00,9.1,Quarterly,KuwwaitGDPate,2018-06-26T15:31:00
Kuwait,GDP Annual Growth Rate,1977-12-31T00:00:00,-0.1,Quarterly,KuwwaitGDPate,2018-06-26T15:31:00
Kuwait,GDP Annual Growth Rate,1978-12-31T00:00:00,7.36,Quarterly,KuwwaitGDPate,2025-03-11T06:20:00
Kuwait,GDP Annual Growth Rate,1979-12-31T00:00:00,13.91,Quarterly,KuwwaitGDPate,2025-03-11T06:20:00
