Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Latvia,GDP Annual Growth Rate,1996-03-31T00:00:00,-1.2,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,1996-06-30T00:00:00,-1.2,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,1996-09-30T00:00:00,4,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,1996-12-31T00:00:00,8,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,1997-03-31T00:00:00,7.2,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,1997-06-30T00:00:00,13.1,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,1997-09-30T00:00:00,10.8,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,1997-12-31T00:00:00,4.8,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,1998-03-31T00:00:00,13.4,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,1998-06-30T00:00:00,6.8,Quarterly,LatviaGDPYoY,2016-09-02T11:58:00
Latvia,GDP Annual Growth Rate,1998-09-30T00:00:00,4.8,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,1998-12-31T00:00:00,1.8,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,1999-03-31T00:00:00,-0.9,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,1999-06-30T00:00:00,-1.3,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,1999-09-30T00:00:00,3,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,1999-12-31T00:00:00,9.8,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2000-03-31T00:00:00,6.1,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2000-06-30T00:00:00,8,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2000-09-30T00:00:00,6.8,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2000-12-31T00:00:00,2.3,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2001-03-31T00:00:00,3,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2001-06-30T00:00:00,9.8,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2001-09-30T00:00:00,3.4,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2001-12-31T00:00:00,8.5,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2002-03-31T00:00:00,4.3,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2002-06-30T00:00:00,5.2,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2002-09-30T00:00:00,9.1,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2002-12-31T00:00:00,9.2,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2003-03-31T00:00:00,10.1,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2003-06-30T00:00:00,7.5,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2003-09-30T00:00:00,9.9,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2003-12-31T00:00:00,6.7,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2004-03-31T00:00:00,9.4,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2004-06-30T00:00:00,8.1,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2004-09-30T00:00:00,7,Quarterly,LatviaGDPYoY,2016-09-02T11:58:00
Latvia,GDP Annual Growth Rate,2004-12-31T00:00:00,8.7,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2005-03-31T00:00:00,6,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2005-06-30T00:00:00,8.4,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2005-09-30T00:00:00,13.3,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2005-12-31T00:00:00,14.2,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2006-03-31T00:00:00,11.5,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2006-06-30T00:00:00,12.4,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2006-09-30T00:00:00,11.6,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2006-12-31T00:00:00,12.3,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2007-03-31T00:00:00,15,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2007-06-30T00:00:00,12.4,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2007-09-30T00:00:00,10.6,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2007-12-31T00:00:00,3.6,Quarterly,LatviaGDPYoY,2020-02-28T11:38:00
Latvia,GDP Annual Growth Rate,2008-03-31T00:00:00,4,Quarterly,LatviaGDPYoY,2018-08-31T16:01:00
Latvia,GDP Annual Growth Rate,2008-06-30T00:00:00,-1,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2008-09-30T00:00:00,-6.3,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2008-12-31T00:00:00,-8.2,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2009-03-31T00:00:00,-12.2,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
Latvia,GDP Annual Growth Rate,2009-06-30T00:00:00,-15.6,Quarterly,LatviaGDPYoY,2023-05-31T10:17:00
