Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Lithuania,GDP Annual Growth Rate,1996-03-31T00:00:00,5,Quarterly,LithuaniaGDPYoY,2025-04-30T06:32:00
Lithuania,GDP Annual Growth Rate,1996-06-30T00:00:00,2.1,Quarterly,LithuaniaGDPYoY,2025-04-30T06:32:00
Lithuania,GDP Annual Growth Rate,1996-09-30T00:00:00,8,Quarterly,LithuaniaGDPYoY,2025-04-30T06:32:00
Lithuania,GDP Annual Growth Rate,1996-12-31T00:00:00,4.6,Quarterly,LithuaniaGDPYoY,2025-04-30T06:32:00
Lithuania,GDP Annual Growth Rate,1997-03-31T00:00:00,4.5,Quarterly,LithuaniaGDPYoY,2025-04-30T06:32:00
Lithuania,GDP Annual Growth Rate,1997-06-30T00:00:00,10,Quarterly,LithuaniaGDPYoY,2025-04-30T06:32:00
Lithuania,GDP Annual Growth Rate,1997-09-30T00:00:00,8.4,Quarterly,LithuaniaGDPYoY,2025-04-30T06:32:00
Lithuania,GDP Annual Growth Rate,1997-12-31T00:00:00,9.8,Quarterly,LithuaniaGDPYoY,2025-04-30T06:32:00
Lithuania,GDP Annual Growth Rate,1998-03-31T00:00:00,10.8,Quarterly,LithuaniaGDPYoY,2017-06-01T14:14:00
Lithuania,GDP Annual Growth Rate,1998-06-30T00:00:00,10.3,Quarterly,LithuaniaGDPYoY,2017-06-01T14:14:00
Lithuania,GDP Annual Growth Rate,1998-09-30T00:00:00,5.7,Quarterly,LithuaniaGDPYoY,2017-06-01T14:14:00
Lithuania,GDP Annual Growth Rate,1998-12-31T00:00:00,4.1,Quarterly,LithuaniaGDPYoY,2017-06-01T14:14:00
Lithuania,GDP Annual Growth Rate,1999-03-31T00:00:00,2.8,Quarterly,LithuaniaGDPYoY,2017-06-01T14:14:00
Lithuania,GDP Annual Growth Rate,1999-06-30T00:00:00,1.1,Quarterly,LithuaniaGDPYoY,2017-06-01T14:14:00
Lithuania,GDP Annual Growth Rate,1999-09-30T00:00:00,-4.1,Quarterly,LithuaniaGDPYoY,2017-06-01T14:14:00
