Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Malaysia,GDP Annual Growth Rate,2000-06-30T00:00:00,3.3,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2000-09-30T00:00:00,4.5,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2000-12-31T00:00:00,-0.1,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2001-03-31T00:00:00,1.5,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2001-06-30T00:00:00,0.9,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2001-09-30T00:00:00,-0.4,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2001-12-31T00:00:00,0.2,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2002-03-31T00:00:00,2.7,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2002-06-30T00:00:00,4.7,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2002-09-30T00:00:00,7.1,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2002-12-31T00:00:00,6.9,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2003-03-31T00:00:00,6.3,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2003-06-30T00:00:00,5.9,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2003-09-30T00:00:00,4.6,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2003-12-31T00:00:00,6.5,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2004-03-31T00:00:00,8.2,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2004-06-30T00:00:00,7.9,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2004-09-30T00:00:00,6.4,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2004-12-31T00:00:00,4.9,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2005-03-31T00:00:00,5.6,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2005-06-30T00:00:00,4.3,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2005-09-30T00:00:00,5.6,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2005-12-31T00:00:00,5.9,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2006-03-31T00:00:00,6,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2006-06-30T00:00:00,6.1,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2006-09-30T00:00:00,5.8,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2006-12-31T00:00:00,5.4,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2007-03-31T00:00:00,5.4,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2007-06-30T00:00:00,5.6,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2007-09-30T00:00:00,6.5,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2007-12-31T00:00:00,7.2,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2008-03-31T00:00:00,7.5,Quarterly,MAGDHIY,2011-07-06T17:51:00
Malaysia,GDP Annual Growth Rate,2008-06-30T00:00:00,6.7,Quarterly,MAGDHIY,2011-07-06T17:51:00
Malaysia,GDP Annual Growth Rate,2008-09-30T00:00:00,5.1,Quarterly,MAGDHIY,2011-07-06T17:52:00
Malaysia,GDP Annual Growth Rate,2008-12-31T00:00:00,0.2,Quarterly,MAGDHIY,2011-07-06T17:52:00
Malaysia,GDP Annual Growth Rate,2009-03-31T00:00:00,-6.2,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2009-06-30T00:00:00,-3.9,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2009-09-30T00:00:00,-1.2,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2009-12-31T00:00:00,4.6,Quarterly,MAGDHIY,2011-07-06T17:51:00
Malaysia,GDP Annual Growth Rate,2010-03-31T00:00:00,10.3,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2010-06-30T00:00:00,9.4,Quarterly,MAGDHIY,2011-07-06T17:50:00
Malaysia,GDP Annual Growth Rate,2010-09-30T00:00:00,5.5,Quarterly,MAGDHIY,2011-06-27T00:00:00
Malaysia,GDP Annual Growth Rate,2010-12-31T00:00:00,5,Quarterly,MAGDHIY,2011-08-17T11:14:00
Malaysia,GDP Annual Growth Rate,2011-03-31T00:00:00,5,Quarterly,MAGDHIY,2017-05-19T09:38:00
Malaysia,GDP Annual Growth Rate,2011-06-30T00:00:00,4.6,Quarterly,MAGDHIY,2017-05-19T09:38:00
Malaysia,GDP Annual Growth Rate,2011-09-30T00:00:00,6,Quarterly,MAGDHIY,2017-05-19T09:38:00
Malaysia,GDP Annual Growth Rate,2011-12-31T00:00:00,5.5,Quarterly,MAGDHIY,2017-05-19T09:38:00
Malaysia,GDP Annual Growth Rate,2012-03-31T00:00:00,5.1,Quarterly,MAGDHIY,2012-11-16T10:12:00
Malaysia,GDP Annual Growth Rate,2012-06-30T00:00:00,5.2,Quarterly,MAGDHIY,2017-05-19T09:38:00
Malaysia,GDP Annual Growth Rate,2012-09-30T00:00:00,5,Quarterly,MAGDHIY,2017-05-19T09:38:00
Malaysia,GDP Annual Growth Rate,2012-12-31T00:00:00,6.5,Quarterly,MAGDHIY,2013-02-20T10:08:00
Malaysia,GDP Annual Growth Rate,2013-03-31T00:00:00,4.3,Quarterly,MAGDHIY,2017-05-19T09:38:00
Malaysia,GDP Annual Growth Rate,2013-06-30T00:00:00,4.6,Quarterly,MAGDHIY,2017-05-19T09:38:00
Malaysia,GDP Annual Growth Rate,2013-09-30T00:00:00,4.9,Quarterly,MAGDHIY,2017-05-19T09:38:00
Malaysia,GDP Annual Growth Rate,2013-12-31T00:00:00,5,Quarterly,MAGDHIY,2017-05-19T09:38:00
Malaysia,GDP Annual Growth Rate,2014-03-31T00:00:00,6.3,Quarterly,MAGDHIY,2014-05-16T11:03:00
Malaysia,GDP Annual Growth Rate,2014-06-30T00:00:00,6.5,Quarterly,MAGDHIY,2014-08-15T06:18:00
Malaysia,GDP Annual Growth Rate,2014-09-30T00:00:00,5.6,Quarterly,MAGDHIY,2014-11-14T04:06:00
Malaysia,GDP Annual Growth Rate,2014-12-31T00:00:00,5.7,Quarterly,MAGDHIY,2015-02-12T04:02:00
Malaysia,GDP Annual Growth Rate,2015-03-31T00:00:00,5.8,Quarterly,MAGDHIY,2017-05-19T09:15:00
