Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Malta,GDP Annual Growth Rate,2001-03-31T00:00:00,2.5,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2001-06-30T00:00:00,-3.2,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2001-09-30T00:00:00,1.1,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2001-12-31T00:00:00,-3.2,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2002-03-31T00:00:00,2.8,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2002-06-30T00:00:00,3.7,Quarterly,MalaltaGDPate,2020-12-07T11:32:00
Malta,GDP Annual Growth Rate,2002-09-30T00:00:00,2.3,Quarterly,MalaltaGDPate,2020-12-07T11:32:00
Malta,GDP Annual Growth Rate,2002-12-31T00:00:00,2.2,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2003-03-31T00:00:00,2.3,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2003-06-30T00:00:00,3.3,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2003-09-30T00:00:00,4,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2003-12-31T00:00:00,5,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2004-03-31T00:00:00,2.7,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2004-06-30T00:00:00,-2.5,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2004-09-30T00:00:00,-0.2,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2004-12-31T00:00:00,1.8,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2005-03-31T00:00:00,-0.7,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2005-06-30T00:00:00,6.3,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2005-09-30T00:00:00,4.1,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2005-12-31T00:00:00,1.7,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2006-03-31T00:00:00,3.7,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2006-06-30T00:00:00,2.4,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2006-09-30T00:00:00,2,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
Malta,GDP Annual Growth Rate,2006-12-31T00:00:00,1.5,Quarterly,MalaltaGDPate,2024-11-27T10:55:00
