Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Morocco,GDP Annual Growth Rate,1999-12-31T00:00:00,0.5,Quarterly,MoroccoGDPYoY,2011-06-27T00:00:00
Morocco,GDP Annual Growth Rate,2000-12-31T00:00:00,1.6,Quarterly,MoroccoGDPYoY,2011-06-27T00:00:00
Morocco,GDP Annual Growth Rate,2001-12-31T00:00:00,7.6,Quarterly,MoroccoGDPYoY,2011-06-27T00:00:00
Morocco,GDP Annual Growth Rate,2002-12-31T00:00:00,3.3,Quarterly,MoroccoGDPYoY,2011-06-27T00:00:00
Morocco,GDP Annual Growth Rate,2003-12-31T00:00:00,6.3,Quarterly,MoroccoGDPYoY,2011-06-27T00:00:00
Morocco,GDP Annual Growth Rate,2004-12-31T00:00:00,4.8,Quarterly,MoroccoGDPYoY,2011-06-27T00:00:00
Morocco,GDP Annual Growth Rate,2005-12-31T00:00:00,3,Quarterly,MoroccoGDPYoY,2011-06-27T00:00:00
Morocco,GDP Annual Growth Rate,2006-03-31T00:00:00,8.9,Quarterly,MoroccoGDPYoY,2011-06-27T00:00:00
Morocco,GDP Annual Growth Rate,2006-06-30T00:00:00,9.3,Quarterly,MoroccoGDPYoY,2011-06-27T00:00:00
Morocco,GDP Annual Growth Rate,2006-09-30T00:00:00,8.2,Quarterly,MoroccoGDPYoY,2011-06-27T00:00:00
Morocco,GDP Annual Growth Rate,2006-12-31T00:00:00,8.1,Quarterly,MoroccoGDPYoY,2011-06-27T00:00:00
Morocco,GDP Annual Growth Rate,2007-03-31T00:00:00,1.6,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2007-06-30T00:00:00,2.3,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2007-09-30T00:00:00,4.3,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2007-12-31T00:00:00,5.9,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2008-03-31T00:00:00,7.3,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2008-06-30T00:00:00,6.5,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2008-09-30T00:00:00,6,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2008-12-31T00:00:00,4,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2009-03-31T00:00:00,1.2,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2009-06-30T00:00:00,4.5,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2009-09-30T00:00:00,4.6,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2009-12-31T00:00:00,6.6,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2010-03-31T00:00:00,4.5,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2010-06-30T00:00:00,3.4,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2010-09-30T00:00:00,3.4,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2010-12-31T00:00:00,4,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2011-03-31T00:00:00,5.6,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2011-06-30T00:00:00,5.8,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2011-09-30T00:00:00,4.6,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2011-12-31T00:00:00,5,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2012-03-31T00:00:00,2.2,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2012-06-30T00:00:00,3,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2012-09-30T00:00:00,3.4,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2012-12-31T00:00:00,3.4,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2013-03-31T00:00:00,4.8,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2013-06-30T00:00:00,4.3,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2013-09-30T00:00:00,5,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2013-12-31T00:00:00,4.1,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2014-03-31T00:00:00,2.6,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2014-06-30T00:00:00,2.9,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2014-09-30T00:00:00,2.5,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2014-12-31T00:00:00,2.2,Quarterly,MoroccoGDPYoY,2016-01-06T11:24:00
Morocco,GDP Annual Growth Rate,2015-03-31T00:00:00,3.9,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2015-06-30T00:00:00,3.6,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2015-09-30T00:00:00,4.2,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2015-12-31T00:00:00,5.7,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2016-03-31T00:00:00,0.9,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2016-06-30T00:00:00,-0.5,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2016-09-30T00:00:00,0.8,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2016-12-31T00:00:00,0.9,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2017-03-31T00:00:00,4.9,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2017-06-30T00:00:00,6.2,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2017-09-30T00:00:00,4.6,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2017-12-31T00:00:00,4.5,Quarterly,MoroccoGDPYoY,2019-04-02T14:25:00
Morocco,GDP Annual Growth Rate,2018-03-31T00:00:00,3.1,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2018-06-30T00:00:00,2.8,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2018-09-30T00:00:00,3.2,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
Morocco,GDP Annual Growth Rate,2018-12-31T00:00:00,3.1,Quarterly,MoroccoGDPYoY,2023-01-03T14:37:00
