Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Namibia,GDP Annual Growth Rate,1990-12-31T00:00:00,2,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,1991-12-31T00:00:00,8.2,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,1992-12-31T00:00:00,7.2,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,1993-12-31T00:00:00,-1.6,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,1994-12-31T00:00:00,1.7,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,1995-12-31T00:00:00,3.9,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,1996-12-31T00:00:00,3.2,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,1997-12-31T00:00:00,4.2,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,1998-12-31T00:00:00,3.3,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,1999-12-31T00:00:00,3.4,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2000-12-31T00:00:00,3.5,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2001-12-31T00:00:00,1.2,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2002-12-31T00:00:00,4.8,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2003-12-31T00:00:00,4.2,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2004-03-31T00:00:00,7.9,Quarterly,NamibiaGDPYoY,2017-09-27T15:24:00
Namibia,GDP Annual Growth Rate,2004-06-30T00:00:00,8.1,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2004-09-30T00:00:00,21,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2004-12-31T00:00:00,11,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2005-03-31T00:00:00,5.2,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2005-06-30T00:00:00,3.9,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2005-09-30T00:00:00,-5.2,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2005-12-31T00:00:00,7.1,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2006-03-31T00:00:00,4.4,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2006-06-30T00:00:00,7.7,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2006-09-30T00:00:00,10.3,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2006-12-31T00:00:00,5.9,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2007-03-31T00:00:00,1.9,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2007-06-30T00:00:00,0.6,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2007-09-30T00:00:00,11.5,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2007-12-31T00:00:00,7.2,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2008-03-31T00:00:00,10.1,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2008-06-30T00:00:00,2.5,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2008-09-30T00:00:00,3.8,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2008-12-31T00:00:00,-4.8,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2009-03-31T00:00:00,-6.1,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2009-06-30T00:00:00,-4.4,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2009-09-30T00:00:00,0.9,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2009-12-31T00:00:00,10.9,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2010-03-31T00:00:00,6.6,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2010-06-30T00:00:00,12.4,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2010-09-30T00:00:00,6.3,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
Namibia,GDP Annual Growth Rate,2010-12-31T00:00:00,-0.1,Quarterly,NamibiaGDPYoY,2015-11-16T13:36:00
