Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Nigeria,GDP Annual Growth Rate,2011-03-31T00:00:00,6.88,Quarterly,NigeriaGDPYoY,2021-04-20T10:13:00
Nigeria,GDP Annual Growth Rate,2011-06-30T00:00:00,6.37,Quarterly,NigeriaGDPYoY,2021-04-20T10:13:00
Nigeria,GDP Annual Growth Rate,2011-09-30T00:00:00,3.61,Quarterly,NigeriaGDPYoY,2021-04-20T10:13:00
Nigeria,GDP Annual Growth Rate,2011-12-31T00:00:00,4.69,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2012-03-31T00:00:00,3.46,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2012-06-30T00:00:00,4.11,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2012-09-30T00:00:00,5.57,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2012-12-31T00:00:00,3.64,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2013-03-31T00:00:00,4.45,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2013-06-30T00:00:00,5.4,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2013-09-30T00:00:00,5.17,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2013-12-31T00:00:00,6.77,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2014-03-31T00:00:00,6.21,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2014-06-30T00:00:00,6.54,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2014-09-30T00:00:00,6.23,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2014-12-31T00:00:00,5.94,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2015-03-31T00:00:00,3.96,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2015-06-30T00:00:00,2.35,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2015-09-30T00:00:00,2.84,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2015-12-31T00:00:00,2.11,Quarterly,NigeriaGDPYoY,2016-05-20T18:47:00
Nigeria,GDP Annual Growth Rate,2016-03-31T00:00:00,-0.67,Quarterly,NigeriaGDPYoY,2017-05-23T09:03:00
Nigeria,GDP Annual Growth Rate,2016-06-30T00:00:00,-1.49,Quarterly,NigeriaGDPYoY,2017-05-23T12:48:00
Nigeria,GDP Annual Growth Rate,2016-09-30T00:00:00,-2.34,Quarterly,NigeriaGDPYoY,2017-05-23T12:48:00
Nigeria,GDP Annual Growth Rate,2016-12-31T00:00:00,-1.73,Quarterly,NigeriaGDPYoY,2017-05-23T12:48:00
Nigeria,GDP Annual Growth Rate,2017-03-31T00:00:00,-0.91,Quarterly,NigeriaGDPYoY,2017-09-05T09:08:00
Nigeria,GDP Annual Growth Rate,2017-06-30T00:00:00,0.72,Quarterly,NigeriaGDPYoY,2017-11-20T08:16:00
