Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Pakistan,GDP Annual Growth Rate,2016-09-30T00:00:00,3.6,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2016-12-31T00:00:00,3.6,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2017-03-31T00:00:00,5.4,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2017-06-30T00:00:00,5.8,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2017-09-30T00:00:00,7.5,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2017-12-31T00:00:00,6.2,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2018-03-31T00:00:00,5.6,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2018-06-30T00:00:00,5.2,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2018-09-30T00:00:00,3,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2018-12-31T00:00:00,2.2,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2019-03-31T00:00:00,2.7,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2019-06-30T00:00:00,4.5,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2019-09-30T00:00:00,2.1,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2019-12-31T00:00:00,2.4,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2020-03-31T00:00:00,-0.1,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2020-06-30T00:00:00,-8,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2020-09-30T00:00:00,1.8,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2020-12-31T00:00:00,4.5,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2021-03-31T00:00:00,5.1,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2021-06-30T00:00:00,12.1,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2021-09-30T00:00:00,6.1,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2021-12-31T00:00:00,4.5,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2022-03-31T00:00:00,6.8,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2022-06-30T00:00:00,7.4,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2022-09-30T00:00:00,1.4,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2022-12-31T00:00:00,2.5,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2023-03-31T00:00:00,-1.1,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2023-06-30T00:00:00,-3.5,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2023-09-30T00:00:00,2.5,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2023-12-31T00:00:00,1.8,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2024-03-31T00:00:00,2.5,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2024-06-30T00:00:00,3.3,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2024-09-30T00:00:00,1.4,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2024-12-31T00:00:00,1.5,Quarterly,PAGDPTY,2025-05-21T02:59:00
Pakistan,GDP Annual Growth Rate,2025-03-31T00:00:00,2.4,Quarterly,PAGDPTY,2025-05-21T02:59:00
