Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Peru,GDP Annual Growth Rate,1980-03-31T00:00:00,7.09,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1980-06-30T00:00:00,7.18,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1980-09-30T00:00:00,5.85,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1980-12-31T00:00:00,10.36,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1981-03-31T00:00:00,7.25,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1981-06-30T00:00:00,6.31,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1981-09-30T00:00:00,6.19,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1981-12-31T00:00:00,2.58,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1982-03-31T00:00:00,3.6,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1982-06-30T00:00:00,0.67,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1982-09-30T00:00:00,-2.58,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1982-12-31T00:00:00,-2.4,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1983-03-31T00:00:00,-8.9,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1983-06-30T00:00:00,-10.19,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1983-09-30T00:00:00,-9.83,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1983-12-31T00:00:00,-8.39,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1984-03-31T00:00:00,-2.37,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1984-06-30T00:00:00,2.23,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1984-09-30T00:00:00,6.34,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1984-12-31T00:00:00,8.36,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1985-03-31T00:00:00,11.07,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1985-06-30T00:00:00,5.02,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1985-09-30T00:00:00,-1.57,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1985-12-31T00:00:00,-4.35,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1986-03-31T00:00:00,-0.73,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1986-06-30T00:00:00,9.48,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1986-09-30T00:00:00,17.92,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1986-12-31T00:00:00,21.05,Quarterly,PRGDPYOY,2013-11-25T09:06:00
Peru,GDP Annual Growth Rate,1987-03-31T00:00:00,14.47,Quarterly,PRGDPYOY,2013-11-25T09:06:00
