Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Philippines,GDP Annual Growth Rate,1982-03-31T00:00:00,3.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1982-06-30T00:00:00,3.7,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1982-09-30T00:00:00,2.2,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1982-12-31T00:00:00,5.3,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1983-03-31T00:00:00,3.6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1983-06-30T00:00:00,5.7,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1983-09-30T00:00:00,1.8,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1983-12-31T00:00:00,-3.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1984-03-31T00:00:00,-4.4,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1984-06-30T00:00:00,-6.4,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1984-09-30T00:00:00,-10.9,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1984-12-31T00:00:00,-7.8,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1985-03-31T00:00:00,-11.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1985-06-30T00:00:00,-9.9,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1985-09-30T00:00:00,-5.5,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1985-12-31T00:00:00,-2.4,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1986-03-31T00:00:00,-0.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1986-06-30T00:00:00,2.8,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1986-09-30T00:00:00,7.7,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1986-12-31T00:00:00,3.6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1987-03-31T00:00:00,3.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1987-06-30T00:00:00,3.6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1987-09-30T00:00:00,6.7,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1987-12-31T00:00:00,3.9,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1988-03-31T00:00:00,6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1988-06-30T00:00:00,2.4,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1988-09-30T00:00:00,5.9,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1988-12-31T00:00:00,12,Quarterly,PhilippinesGDPYoY,2021-08-10T02:36:00
Philippines,GDP Annual Growth Rate,1989-03-31T00:00:00,6.3,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1989-06-30T00:00:00,5.4,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1989-09-30T00:00:00,5.4,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1989-12-31T00:00:00,7.4,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1990-03-31T00:00:00,5.2,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1990-06-30T00:00:00,3.5,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1990-09-30T00:00:00,3.7,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1990-12-31T00:00:00,0.3,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1991-03-31T00:00:00,-0.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1991-06-30T00:00:00,-1.3,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1991-09-30T00:00:00,-1.9,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1991-12-31T00:00:00,0.8,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1992-03-31T00:00:00,2.2,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1992-06-30T00:00:00,-0.3,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1992-09-30T00:00:00,0.4,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1992-12-31T00:00:00,-0.8,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1993-03-31T00:00:00,0.7,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1993-06-30T00:00:00,2.5,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1993-09-30T00:00:00,2.7,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1993-12-31T00:00:00,2.5,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1994-03-31T00:00:00,3.6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1994-06-30T00:00:00,4.6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1994-09-30T00:00:00,5.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1994-12-31T00:00:00,4.2,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1995-03-31T00:00:00,4.8,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1995-06-30T00:00:00,4.3,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1995-09-30T00:00:00,6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1995-12-31T00:00:00,3.8,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1996-03-31T00:00:00,5.2,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1996-06-30T00:00:00,6.6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1996-09-30T00:00:00,6.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1996-12-31T00:00:00,5.6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1997-03-31T00:00:00,5.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1997-06-30T00:00:00,6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1997-09-30T00:00:00,4.7,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1997-12-31T00:00:00,4.9,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1998-03-31T00:00:00,1.8,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1998-06-30T00:00:00,-0.8,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1998-09-30T00:00:00,0.2,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1998-12-31T00:00:00,-3.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1999-03-31T00:00:00,0.5,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1999-06-30T00:00:00,3.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1999-09-30T00:00:00,3.6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,1999-12-31T00:00:00,4.9,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,2000-03-31T00:00:00,4.1,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,2000-06-30T00:00:00,4.4,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,2000-09-30T00:00:00,5.5,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,2000-12-31T00:00:00,3.7,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,2001-03-31T00:00:00,2.4,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2001-06-30T00:00:00,3.3,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2001-09-30T00:00:00,3.1,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2001-12-31T00:00:00,3.3,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,2002-03-31T00:00:00,3.9,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2002-06-30T00:00:00,3.7,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2002-09-30T00:00:00,2.7,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,2002-12-31T00:00:00,4.6,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,2003-03-31T00:00:00,4.6,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2003-06-30T00:00:00,4.4,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2003-09-30T00:00:00,5.5,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2003-12-31T00:00:00,5.7,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2004-03-31T00:00:00,7.2,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2004-06-30T00:00:00,7.5,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2004-09-30T00:00:00,6.3,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2004-12-31T00:00:00,5.5,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2005-03-31T00:00:00,5,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2005-06-30T00:00:00,5.7,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2005-09-30T00:00:00,4.4,Quarterly,PhilippinesGDPYoY,2016-08-18T11:47:00
Philippines,GDP Annual Growth Rate,2005-12-31T00:00:00,4.7,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2006-03-31T00:00:00,4.5,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2006-06-30T00:00:00,5.9,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2006-09-30T00:00:00,4.7,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2006-12-31T00:00:00,6,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2007-03-31T00:00:00,6.2,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2007-06-30T00:00:00,6.8,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2007-09-30T00:00:00,6.5,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
Philippines,GDP Annual Growth Rate,2007-12-31T00:00:00,6.5,Quarterly,PhilippinesGDPYoY,2022-01-27T11:59:00
