Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Qatar,GDP Annual Growth Rate,2009-03-31T00:00:00,-0.9,Quarterly,QatarGDPYoY,2011-06-27T00:00:00
Qatar,GDP Annual Growth Rate,2009-06-30T00:00:00,-15.3,Quarterly,QatarGDPYoY,2011-06-27T00:00:00
Qatar,GDP Annual Growth Rate,2009-09-30T00:00:00,-15.3,Quarterly,QatarGDPYoY,2011-06-27T00:00:00
Qatar,GDP Annual Growth Rate,2009-12-31T00:00:00,21.1,Quarterly,QatarGDPYoY,2011-06-27T00:00:00
Qatar,GDP Annual Growth Rate,2010-03-31T00:00:00,32.9,Quarterly,QatarGDPYoY,2011-06-27T00:00:00
Qatar,GDP Annual Growth Rate,2010-06-30T00:00:00,32.9,Quarterly,QatarGDPYoY,2011-06-27T00:00:00
Qatar,GDP Annual Growth Rate,2010-09-30T00:00:00,29.3,Quarterly,QatarGDPYoY,2011-06-27T00:00:00
Qatar,GDP Annual Growth Rate,2010-12-31T00:00:00,28.7,Quarterly,QatarGDPYoY,2011-06-27T00:00:00
Qatar,GDP Annual Growth Rate,2011-03-31T00:00:00,10.7,Quarterly,QatarGDPYoY,2011-07-07T14:41:00
Qatar,GDP Annual Growth Rate,2011-06-30T00:00:00,20.6,Quarterly,QatarGDPYoY,2011-10-03T15:00:00
Qatar,GDP Annual Growth Rate,2011-09-30T00:00:00,14.4,Quarterly,QatarGDPYoY,2012-01-12T13:03:00
Qatar,GDP Annual Growth Rate,2011-12-31T00:00:00,6.9,Quarterly,QatarGDPYoY,2012-03-29T12:28:00
Qatar,GDP Annual Growth Rate,2012-03-31T00:00:00,6.7,Quarterly,QatarGDPYoY,2016-08-25T11:12:00
Qatar,GDP Annual Growth Rate,2012-06-30T00:00:00,3.9,Quarterly,QatarGDPYoY,2016-08-25T11:13:00
Qatar,GDP Annual Growth Rate,2012-09-30T00:00:00,2.8,Quarterly,QatarGDPYoY,2016-08-25T11:13:00
Qatar,GDP Annual Growth Rate,2012-12-31T00:00:00,5.4,Quarterly,QatarGDPYoY,2016-08-25T11:13:00
Qatar,GDP Annual Growth Rate,2013-03-31T00:00:00,4.7,Quarterly,QatarGDPYoY,2016-08-25T11:13:00
Qatar,GDP Annual Growth Rate,2013-06-30T00:00:00,4.3,Quarterly,QatarGDPYoY,2016-08-25T11:13:00
Qatar,GDP Annual Growth Rate,2013-09-30T00:00:00,4.7,Quarterly,QatarGDPYoY,2016-08-25T11:14:00
Qatar,GDP Annual Growth Rate,2013-12-31T00:00:00,3.9,Quarterly,QatarGDPYoY,2016-08-25T11:14:00
Qatar,GDP Annual Growth Rate,2014-03-31T00:00:00,3.6,Quarterly,QatarGDPYoY,2016-08-25T11:14:00
Qatar,GDP Annual Growth Rate,2014-06-30T00:00:00,3.1,Quarterly,QatarGDPYoY,2016-08-25T11:14:00
Qatar,GDP Annual Growth Rate,2014-09-30T00:00:00,3.4,Quarterly,QatarGDPYoY,2016-08-25T11:14:00
Qatar,GDP Annual Growth Rate,2014-12-31T00:00:00,5.8,Quarterly,QatarGDPYoY,2016-08-25T11:14:00
