Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Russia,GDP Annual Growth Rate,1996-03-31T00:00:00,-2.2,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1996-06-30T00:00:00,-3.4,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1996-09-30T00:00:00,-5.5,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1996-12-31T00:00:00,-3.1,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1997-03-31T00:00:00,-0.4,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1997-06-30T00:00:00,-0.8,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1997-09-30T00:00:00,2.8,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1997-12-31T00:00:00,3.6,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1998-03-31T00:00:00,-1.5,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1998-06-30T00:00:00,-1,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1998-09-30T00:00:00,-8.8,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1998-12-31T00:00:00,-9.1,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1999-03-31T00:00:00,-1.8,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1999-06-30T00:00:00,3.2,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1999-09-30T00:00:00,11.5,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,1999-12-31T00:00:00,12.1,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2000-03-31T00:00:00,11.4,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2000-06-30T00:00:00,10.2,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2000-09-30T00:00:00,10.5,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2000-12-31T00:00:00,8.3,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2001-03-31T00:00:00,4.7,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2001-06-30T00:00:00,5.1,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2001-09-30T00:00:00,6,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2001-12-31T00:00:00,4.5,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2002-03-31T00:00:00,3.8,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2002-06-30T00:00:00,4.4,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2002-09-30T00:00:00,4.4,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2002-12-31T00:00:00,6.2,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2003-03-31T00:00:00,7.6,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2003-06-30T00:00:00,8,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2003-09-30T00:00:00,6.2,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2003-12-31T00:00:00,7.7,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2004-03-31T00:00:00,7.2,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2004-06-30T00:00:00,8,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2004-09-30T00:00:00,7.3,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2004-12-31T00:00:00,6.2,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2005-03-31T00:00:00,5.6,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2005-06-30T00:00:00,6,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2005-09-30T00:00:00,6,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2005-12-31T00:00:00,7.8,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2006-03-31T00:00:00,7.3,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2006-06-30T00:00:00,8.1,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2006-09-30T00:00:00,8.2,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2006-12-31T00:00:00,8.9,Quarterly,RUDPRYOY,2016-01-11T11:56:00
Russia,GDP Annual Growth Rate,2007-03-31T00:00:00,8.1,Quarterly,RUDPRYOY,2016-01-11T11:56:00
