Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Sri Lanka,GDP Annual Growth Rate,2003-09-30T00:00:00,5.5,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2003-12-31T00:00:00,6.8,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2004-03-31T00:00:00,6.5,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2004-06-30T00:00:00,5.4,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2004-09-30T00:00:00,5.6,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2004-12-31T00:00:00,4.9,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2005-03-31T00:00:00,4.1,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2005-06-30T00:00:00,6.2,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2005-09-30T00:00:00,7.3,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2005-12-31T00:00:00,6.4,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2006-03-31T00:00:00,7.8,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2006-06-30T00:00:00,7.7,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2006-09-30T00:00:00,7.7,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2006-12-31T00:00:00,7.4,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2007-03-31T00:00:00,6.1,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2007-06-30T00:00:00,6.4,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2007-09-30T00:00:00,7,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2007-12-31T00:00:00,7.6,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2008-03-31T00:00:00,6.2,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2008-06-30T00:00:00,7,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2008-09-30T00:00:00,6.3,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2008-12-31T00:00:00,4.3,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2009-03-31T00:00:00,1.5,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2009-06-30T00:00:00,2.1,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2009-09-30T00:00:00,4.2,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2009-12-31T00:00:00,6.1,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2010-03-31T00:00:00,7.1,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2010-06-30T00:00:00,8.5,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2010-09-30T00:00:00,8,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2010-12-31T00:00:00,8.6,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2011-03-31T00:00:00,9.82,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2011-06-30T00:00:00,7.21,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2011-09-30T00:00:00,9.19,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2011-12-31T00:00:00,7.59,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2012-03-31T00:00:00,16.12,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2012-06-30T00:00:00,9.74,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2012-09-30T00:00:00,5.18,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
Sri Lanka,GDP Annual Growth Rate,2012-12-31T00:00:00,6.76,Quarterly,Sri LankaGDPYoY,2015-12-15T11:24:00
