Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Taiwan,GDP Annual Growth Rate,1962-03-31T00:00:00,8.87,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1962-06-30T00:00:00,9.11,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1962-09-30T00:00:00,12.39,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1962-12-31T00:00:00,6.05,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1963-03-31T00:00:00,14.39,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1963-06-30T00:00:00,10.91,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1963-09-30T00:00:00,7.35,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1963-12-31T00:00:00,10.31,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1964-03-31T00:00:00,12.94,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1964-06-30T00:00:00,13.95,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1964-09-30T00:00:00,13.4,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1964-12-31T00:00:00,10.57,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1965-03-31T00:00:00,10.33,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1965-06-30T00:00:00,11.48,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1965-09-30T00:00:00,12.91,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
Taiwan,GDP Annual Growth Rate,1965-12-31T00:00:00,12.81,Quarterly,TaiwanGDPYoY,2019-11-29T11:55:00
