Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Turkey,GDP Annual Growth Rate,1999-03-31T00:00:00,-6,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,1999-06-30T00:00:00,-2.1,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,1999-09-30T00:00:00,-4.2,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,1999-12-31T00:00:00,-1.1,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2000-03-31T00:00:00,4.3,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2000-06-30T00:00:00,7.2,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2000-09-30T00:00:00,8.5,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2000-12-31T00:00:00,7.3,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2001-03-31T00:00:00,2.7,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2001-06-30T00:00:00,-6.9,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2001-09-30T00:00:00,-7.1,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2001-12-31T00:00:00,-9.9,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2002-03-31T00:00:00,-1,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2002-06-30T00:00:00,7.9,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2002-09-30T00:00:00,7,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2002-12-31T00:00:00,11.2,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2003-03-31T00:00:00,6.7,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2003-06-30T00:00:00,3.6,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2003-09-30T00:00:00,5.9,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2003-12-31T00:00:00,6.8,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2004-03-31T00:00:00,11,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2004-06-30T00:00:00,11.8,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2004-09-30T00:00:00,8.4,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2004-12-31T00:00:00,8.5,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2005-03-31T00:00:00,9.6,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2005-06-30T00:00:00,7.9,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2005-09-30T00:00:00,8.1,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2005-12-31T00:00:00,10.4,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2006-03-31T00:00:00,6.5,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2006-06-30T00:00:00,9.4,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2006-09-30T00:00:00,6,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2006-12-31T00:00:00,6.2,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2007-03-31T00:00:00,8.2,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2007-06-30T00:00:00,3.2,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2007-09-30T00:00:00,3.6,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2007-12-31T00:00:00,5.5,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2008-03-31T00:00:00,7.3,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2008-06-30T00:00:00,2.3,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2008-09-30T00:00:00,1,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2008-12-31T00:00:00,-6,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2009-03-31T00:00:00,-14.5,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2009-06-30T00:00:00,-6.8,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2009-09-30T00:00:00,-1.6,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2009-12-31T00:00:00,3,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2010-03-31T00:00:00,6.9,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2010-06-30T00:00:00,8.1,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2010-09-30T00:00:00,8.7,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2010-12-31T00:00:00,9.7,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2011-03-31T00:00:00,11.8,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2011-06-30T00:00:00,11.5,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2011-09-30T00:00:00,11.6,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2011-12-31T00:00:00,10,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2012-03-31T00:00:00,6.7,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2012-06-30T00:00:00,5,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2012-09-30T00:00:00,3.6,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2012-12-31T00:00:00,4.2,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2013-03-31T00:00:00,8.4,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2013-06-30T00:00:00,9.7,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2013-09-30T00:00:00,8.9,Quarterly,TUGPCOYR,2016-12-28T10:19:00
Turkey,GDP Annual Growth Rate,2013-12-31T00:00:00,7,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2014-03-31T00:00:00,8.6,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2014-06-30T00:00:00,2.8,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2014-09-30T00:00:00,3.4,Quarterly,TUGPCOYR,2021-09-01T11:30:00
Turkey,GDP Annual Growth Rate,2014-12-31T00:00:00,5.5,Quarterly,TUGPCOYR,2021-09-01T11:30:00
