Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uganda,GDP Annual Growth Rate,2009-03-31T00:00:00,8.5,Quarterly,UGAANDAGDPATE,2019-04-04T17:45:00
Uganda,GDP Annual Growth Rate,2009-06-30T00:00:00,11.7,Quarterly,UGAANDAGDPATE,2019-04-04T17:45:00
Uganda,GDP Annual Growth Rate,2009-09-30T00:00:00,33.7,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2009-12-31T00:00:00,37.3,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2010-03-31T00:00:00,39.8,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2010-06-30T00:00:00,29.4,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2010-09-30T00:00:00,10,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2010-12-31T00:00:00,12.2,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2011-03-31T00:00:00,8.3,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2011-06-30T00:00:00,2.4,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2011-09-30T00:00:00,5.8,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2011-12-31T00:00:00,0.1,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2012-03-31T00:00:00,1,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2012-06-30T00:00:00,5,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2012-09-30T00:00:00,6.2,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2012-12-31T00:00:00,3.6,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2013-03-31T00:00:00,0.7,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2013-06-30T00:00:00,-2.2,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2013-09-30T00:00:00,-2,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2013-12-31T00:00:00,1,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2014-03-31T00:00:00,6.5,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2014-06-30T00:00:00,13.3,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2014-09-30T00:00:00,3.4,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2014-12-31T00:00:00,11.3,Quarterly,UGAANDAGDPATE,2020-07-01T14:33:00
Uganda,GDP Annual Growth Rate,2015-03-31T00:00:00,5.9,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2015-06-30T00:00:00,3.8,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2015-09-30T00:00:00,8.5,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2015-12-31T00:00:00,5.9,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2016-03-31T00:00:00,0.9,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2016-06-30T00:00:00,-0.4,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2016-09-30T00:00:00,-0.3,Quarterly,UGAANDAGDPATE,2021-10-13T10:14:00
Uganda,GDP Annual Growth Rate,2016-12-31T00:00:00,0.5,Quarterly,UGAANDAGDPATE,2021-10-13T10:14:00
Uganda,GDP Annual Growth Rate,2017-03-31T00:00:00,6.7,Quarterly,UGAANDAGDPATE,2021-10-13T10:13:00
Uganda,GDP Annual Growth Rate,2017-06-30T00:00:00,6.2,Quarterly,UGAANDAGDPATE,2021-10-13T10:13:00
Uganda,GDP Annual Growth Rate,2017-09-30T00:00:00,7.7,Quarterly,UGAANDAGDPATE,2021-10-13T10:13:00
Uganda,GDP Annual Growth Rate,2017-12-31T00:00:00,6.5,Quarterly,UGAANDAGDPATE,2021-10-13T10:13:00
Uganda,GDP Annual Growth Rate,2018-03-31T00:00:00,5.4,Quarterly,UGAANDAGDPATE,2021-10-13T10:13:00
Uganda,GDP Annual Growth Rate,2018-06-30T00:00:00,5.6,Quarterly,UGAANDAGDPATE,2020-10-13T10:47:00
Uganda,GDP Annual Growth Rate,2018-09-30T00:00:00,5.6,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2018-12-31T00:00:00,5.7,Quarterly,UGAANDAGDPATE,2022-10-13T10:39:00
Uganda,GDP Annual Growth Rate,2019-03-31T00:00:00,7.7,Quarterly,UGAANDAGDPATE,2021-10-13T10:12:00
Uganda,GDP Annual Growth Rate,2019-06-30T00:00:00,6.9,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2019-09-30T00:00:00,7.6,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2019-12-31T00:00:00,8.4,Quarterly,UGAANDAGDPATE,2023-07-11T09:52:00
Uganda,GDP Annual Growth Rate,2020-03-31T00:00:00,1.2,Quarterly,UGAANDAGDPATE,2023-06-30T11:16:00
Uganda,GDP Annual Growth Rate,2020-06-30T00:00:00,-5.6,Quarterly,UGAANDAGDPATE,2024-12-26T09:29:00
Uganda,GDP Annual Growth Rate,2020-09-30T00:00:00,-0.4,Quarterly,UGAANDAGDPATE,2023-12-15T10:55:00
Uganda,GDP Annual Growth Rate,2020-12-31T00:00:00,0,Quarterly,UGAANDAGDPATE,2023-06-30T11:16:00
Uganda,GDP Annual Growth Rate,2021-03-31T00:00:00,2.8,Quarterly,UGAANDAGDPATE,2023-03-31T10:25:00
Uganda,GDP Annual Growth Rate,2021-06-30T00:00:00,13,Quarterly,UGAANDAGDPATE,2023-12-15T10:54:00
Uganda,GDP Annual Growth Rate,2021-09-30T00:00:00,2.3,Quarterly,UGAANDAGDPATE,2023-12-15T10:54:00
Uganda,GDP Annual Growth Rate,2021-12-31T00:00:00,4.8,Quarterly,UGAANDAGDPATE,2024-12-26T09:29:00
Uganda,GDP Annual Growth Rate,2022-03-31T00:00:00,5.6,Quarterly,UGAANDAGDPATE,2023-09-26T07:30:00
Uganda,GDP Annual Growth Rate,2022-06-30T00:00:00,5.8,Quarterly,UGAANDAGDPATE,2024-12-26T09:29:00
Uganda,GDP Annual Growth Rate,2022-09-30T00:00:00,8.8,Quarterly,UGAANDAGDPATE,2024-12-26T09:29:00
Uganda,GDP Annual Growth Rate,2022-12-31T00:00:00,4.3,Quarterly,UGAANDAGDPATE,2024-12-26T09:29:00
Uganda,GDP Annual Growth Rate,2023-03-31T00:00:00,2.2,Quarterly,UGAANDAGDPATE,2024-09-26T07:36:00
Uganda,GDP Annual Growth Rate,2023-06-30T00:00:00,5.7,Quarterly,UGAANDAGDPATE,2024-12-26T09:29:00
Uganda,GDP Annual Growth Rate,2023-09-30T00:00:00,5.6,Quarterly,UGAANDAGDPATE,2024-12-26T09:29:00
Uganda,GDP Annual Growth Rate,2023-12-31T00:00:00,5.8,Quarterly,UGAANDAGDPATE,2024-12-26T09:22:00
Uganda,GDP Annual Growth Rate,2024-03-31T00:00:00,7.1,Quarterly,UGAANDAGDPATE,2024-12-26T09:22:00
Uganda,GDP Annual Growth Rate,2024-06-30T00:00:00,6.2,Quarterly,UGAANDAGDPATE,2024-12-26T09:21:00
Uganda,GDP Annual Growth Rate,2024-09-30T00:00:00,6.7,Quarterly,UGAANDAGDPATE,2024-12-26T09:00:00
Uganda,GDP Annual Growth Rate,2024-12-31T00:00:00,5.3,Quarterly,UGAANDAGDPATE,2025-03-31T10:20:00
Uganda,GDP Annual Growth Rate,2025-03-31T00:00:00,8.6,Quarterly,UGAANDAGDPATE,2025-06-27T10:09:00
