Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ukraine,GDP Annual Growth Rate,2000-03-31T00:00:00,5.2,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2000-06-30T00:00:00,4.3,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2000-09-30T00:00:00,6.8,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2000-12-31T00:00:00,6.7,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2001-03-31T00:00:00,7.7,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2001-06-30T00:00:00,8.6,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2001-09-30T00:00:00,11.3,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2001-12-31T00:00:00,8.5,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2002-03-31T00:00:00,5.8,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2002-06-30T00:00:00,5,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2002-09-30T00:00:00,5.6,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2002-12-31T00:00:00,4.8,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2003-03-31T00:00:00,9.1,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2003-06-30T00:00:00,11.3,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2003-09-30T00:00:00,5.9,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2003-12-31T00:00:00,12.2,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2004-03-31T00:00:00,12.9,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2004-06-30T00:00:00,12.7,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2004-09-30T00:00:00,14.3,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2004-12-31T00:00:00,9.1,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2005-03-31T00:00:00,4.9,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2005-06-30T00:00:00,3.4,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2005-09-30T00:00:00,1.4,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2005-12-31T00:00:00,1.7,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2006-03-31T00:00:00,4.3,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2006-06-30T00:00:00,7.2,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2006-09-30T00:00:00,7.3,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2006-12-31T00:00:00,9.6,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2007-03-31T00:00:00,10.6,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2007-06-30T00:00:00,9.7,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2007-09-30T00:00:00,4.4,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2007-12-31T00:00:00,6.9,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2008-03-31T00:00:00,8.5,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2008-06-30T00:00:00,6.2,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2008-09-30T00:00:00,4.3,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2008-12-31T00:00:00,-7.8,Quarterly,UkraineGDPYoY,2011-06-27T00:00:00
Ukraine,GDP Annual Growth Rate,2009-03-31T00:00:00,-19.6,Quarterly,UkraineGDPYoY,2011-07-27T15:50:00
Ukraine,GDP Annual Growth Rate,2009-06-30T00:00:00,-17.3,Quarterly,UkraineGDPYoY,2011-07-27T15:51:00
Ukraine,GDP Annual Growth Rate,2009-09-30T00:00:00,-15.7,Quarterly,UkraineGDPYoY,2011-07-27T15:51:00
Ukraine,GDP Annual Growth Rate,2009-12-31T00:00:00,-6.7,Quarterly,UkraineGDPYoY,2011-07-27T15:51:00
Ukraine,GDP Annual Growth Rate,2010-03-31T00:00:00,4.5,Quarterly,UkraineGDPYoY,2012-05-10T18:32:00
Ukraine,GDP Annual Growth Rate,2010-06-30T00:00:00,5.4,Quarterly,UkraineGDPYoY,2012-05-10T18:32:00
Ukraine,GDP Annual Growth Rate,2010-09-30T00:00:00,3.3,Quarterly,UkraineGDPYoY,2012-05-10T18:32:00
Ukraine,GDP Annual Growth Rate,2010-12-31T00:00:00,3.7,Quarterly,UkraineGDPYoY,2012-05-10T18:33:00
Ukraine,GDP Annual Growth Rate,2011-03-31T00:00:00,5.5,Quarterly,UkraineGDPYoY,2018-09-18T16:11:00
