Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United Arab Emirates,GDP Annual Growth Rate,2013-03-31T00:00:00,7.3,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2013-06-30T00:00:00,6.9,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2013-09-30T00:00:00,5.3,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2013-12-31T00:00:00,0.7,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2014-03-31T00:00:00,4.6,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2014-06-30T00:00:00,6.4,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2014-09-30T00:00:00,4.6,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2014-12-31T00:00:00,0.9,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2015-03-31T00:00:00,5.7,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2015-06-30T00:00:00,4.2,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2015-09-30T00:00:00,5.1,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2015-12-31T00:00:00,12.8,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2016-03-31T00:00:00,4.9,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2016-06-30T00:00:00,5.2,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2016-09-30T00:00:00,5.8,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2016-12-31T00:00:00,6.4,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2017-03-31T00:00:00,3.7,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2017-06-30T00:00:00,0.6,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2017-09-30T00:00:00,-0.8,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2017-12-31T00:00:00,-0.5,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2018-03-31T00:00:00,-0.7,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2018-06-30T00:00:00,1.1,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2018-09-30T00:00:00,1.7,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2018-12-31T00:00:00,3.2,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2019-03-31T00:00:00,2.1,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2019-06-30T00:00:00,2.1,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2019-09-30T00:00:00,1.2,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2019-12-31T00:00:00,-1.1,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2020-03-31T00:00:00,1,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2020-06-30T00:00:00,-5.2,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2020-09-30T00:00:00,-6.7,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2020-12-31T00:00:00,-9.1,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2021-03-31T00:00:00,-4.4,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2021-06-30T00:00:00,5.5,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2021-09-30T00:00:00,6.7,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2021-12-31T00:00:00,8.7,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2022-03-31T00:00:00,8.4,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2022-06-30T00:00:00,8.5,Quarterly,UAGDCYOY,2023-02-10T13:46:00
United Arab Emirates,GDP Annual Growth Rate,2022-09-30T00:00:00,8.3,Quarterly,UAGDCYOY,2024-04-25T09:35:00
United Arab Emirates,GDP Annual Growth Rate,2022-12-31T00:00:00,5.5,Quarterly,UAGDCYOY,2023-11-22T14:37:00
United Arab Emirates,GDP Annual Growth Rate,2023-03-31T00:00:00,3.7,Quarterly,UAGDCYOY,2024-04-16T12:41:00
United Arab Emirates,GDP Annual Growth Rate,2023-06-30T00:00:00,3.8,Quarterly,UAGDCYOY,2024-04-25T09:32:00
United Arab Emirates,GDP Annual Growth Rate,2023-09-30T00:00:00,2.5,Quarterly,UAGDCYOY,2024-04-25T09:28:00
United Arab Emirates,GDP Annual Growth Rate,2023-12-31T00:00:00,4.3,Quarterly,UAGDCYOY,2024-07-04T13:58:00
United Arab Emirates,GDP Annual Growth Rate,2024-03-31T00:00:00,3.4,Quarterly,UAGDCYOY,2024-09-24T08:54:00
United Arab Emirates,GDP Annual Growth Rate,2024-06-30T00:00:00,3.6,Quarterly,UAGDCYOY,2025-04-08T01:24:00
United Arab Emirates,GDP Annual Growth Rate,2024-09-30T00:00:00,3.8,Quarterly,UAGDCYOY,2025-04-08T01:25:00
