Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,GDP Annual Growth Rate,2000-06-30T00:00:00,5.63,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2000-12-31T00:00:00,6.79,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2001-03-31T00:00:00,7.19,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2001-06-30T00:00:00,6.98,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2001-09-30T00:00:00,7.04,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2001-12-31T00:00:00,6.89,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2002-03-31T00:00:00,6.59,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2002-06-30T00:00:00,6.85,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2002-09-30T00:00:00,6.94,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2002-12-31T00:00:00,7.08,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2003-03-31T00:00:00,6.8,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2003-06-30T00:00:00,6.6,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2003-09-30T00:00:00,7.12,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2003-12-31T00:00:00,7.34,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2004-03-31T00:00:00,6.98,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2004-06-30T00:00:00,7.04,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2004-09-30T00:00:00,7.37,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2004-12-31T00:00:00,7.79,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2005-03-31T00:00:00,7.44,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2005-06-30T00:00:00,7.79,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2005-09-30T00:00:00,8.3,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2005-12-31T00:00:00,8.44,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2006-03-31T00:00:00,7.35,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2006-06-30T00:00:00,7.39,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2006-09-30T00:00:00,7.88,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2006-12-31T00:00:00,8.23,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2007-03-31T00:00:00,7.66,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2007-06-30T00:00:00,7.85,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2007-09-30T00:00:00,8.16,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2007-12-31T00:00:00,8.48,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2008-03-31T00:00:00,7.52,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2008-06-30T00:00:00,6.54,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2008-09-30T00:00:00,6.52,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2008-12-31T00:00:00,6.15,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2009-03-31T00:00:00,3.12,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2009-06-30T00:00:00,3.87,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2009-09-30T00:00:00,4.34,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2009-12-31T00:00:00,5.46,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
Vietnam,GDP Annual Growth Rate,2010-03-31T00:00:00,5.93,Quarterly,VietnamGDPYoY,2012-10-01T12:39:00
