Date,NEER_120_AE,NEER_120_AF,NEER_120_AG,NEER_120_AL,NEER_120_AM,NEER_120_AN,NEER_120_AO,NEER_120_AR,NEER_120_AT,NEER_120_AU,NEER_120_AZ,NEER_120_BA,NEER_120_BB,NEER_120_BD,NEER_120_BE,NEER_120_BF,NEER_120_BG,NEER_120_BH,NEER_120_BI,NEER_120_BJ,NEER_120_BN,NEER_120_BO,NEER_120_BR,NEER_120_BS,NEER_120_BT,NEER_120_BW,NEER_120_BY,NEER_120_BZ,NEER_120_CA,NEER_120_CD,NEER_120_CF,NEER_120_CG,NEER_120_CH,NEER_120_CI,NEER_120_CL,NEER_120_CM,NEER_120_CN,NEER_120_CO,NEER_120_CR,NEER_120_CV,NEER_120_CY,NEER_120_CZ,NEER_120_DE,NEER_120_DJ,NEER_120_DK,NEER_120_DM,NEER_120_DO,NEER_120_DZ,NEER_120_EA12,NEER_120_EC,NEER_120_EE,NEER_120_EG,NEER_120_ES,NEER_120_ET,NEER_120_FI,NEER_120_FJ,NEER_120_FR,NEER_120_GA,NEER_120_GB,NEER_120_GD,NEER_120_GE,NEER_120_GH,NEER_120_GM,NEER_120_GN,NEER_120_GQ,NEER_120_GR,NEER_120_GT,NEER_120_GW,NEER_120_GY,NEER_120_HK,NEER_120_HN,NEER_120_HR,NEER_120_HT,NEER_120_HU,NEER_120_ID,NEER_120_IE,NEER_120_IL,NEER_120_IN,NEER_120_IQ,NEER_120_IR,NEER_120_IS,NEER_120_IT,NEER_120_JM,NEER_120_JO,NEER_120_JP,NEER_120_KE,NEER_120_KG,NEER_120_KH,NEER_120_KI,NEER_120_KM,NEER_120_KN,NEER_120_KR,NEER_120_KW,NEER_120_KZ,NEER_120_LA,NEER_120_LB,NEER_120_LC,NEER_120_LK,NEER_120_LR,NEER_120_LS,NEER_120_LT,NEER_120_LU,NEER_120_LV,NEER_120_LY,NEER_120_MA,NEER_120_MD,NEER_120_MG,NEER_120_MK,NEER_120_ML,NEER_120_MM,NEER_120_MN,NEER_120_MR,NEER_120_MT,NEER_120_MU,NEER_120_MV,NEER_120_MW,NEER_120_MX,NEER_120_MY,NEER_120_MZ,NEER_120_NA,NEER_120_NE,NEER_120_NG,NEER_120_NI,NEER_120_NL,NEER_120_NO,NEER_120_NP,NEER_120_NZ,NEER_120_OM,NEER_120_PA,NEER_120_PE,NEER_120_PG,NEER_120_PH,NEER_120_PK,NEER_120_PL,NEER_120_PT,NEER_120_PY,NEER_120_QA,NEER_120_RO,NEER_120_RU,NEER_120_RW,NEER_120_SA,NEER_120_SB,NEER_120_SC,NEER_120_SD,NEER_120_SE,NEER_120_SG,NEER_120_SI,NEER_120_SK,NEER_120_SL,NEER_120_SN,NEER_120_SQ,NEER_120_SR,NEER_120_ST,NEER_120_SV,NEER_120_SY,NEER_120_SZ,NEER_120_TD,NEER_120_TG,NEER_120_TH,NEER_120_TJ,NEER_120_TN,NEER_120_TO,NEER_120_TR,NEER_120_TT,NEER_120_TW,NEER_120_TZ,NEER_120_UA,NEER_120_UG,NEER_120_US,NEER_120_UY,NEER_120_UZ,NEER_120_VC,NEER_120_VE,NEER_120_VN,NEER_120_WS,NEER_120_YE,NEER_120_ZA,NEER_120_ZM
1993M01,84.49,86.56,93.40,61.85,"7,233.63",70.57,"14,283,891,198.60",77.78,78.08,69.56,"1,925.40",,86.50,153.73,78.21,123.48,"3,973.81",87.32,361.72,128.94,87.19,68.38,"23,778.32",93.24,114.87,162.91,,76.75,70.50,"5,530,917,758.32",156.42,141.79,73.16,116.06,73.66,143.19,112.46,167.69,291.26,83.79,68.94,58.80,71.98,80.57,79.41,75.24,234.20,225.86,62.18,858.89,73.18,129.02,93.61,134.94,63.35,94.66,75.56,164.45,70.65,88.54,,"1,467.06",186.21,336.12,160.01,87.23,103.33,127.93,127.66,89.24,279.03,531.10,258.95,193.68,404.22,89.71,121.54,126.47,47.21,"9,084.32",93.21,75.16,255.72,79.65,76.37,135.30,232.76,179.50,66.20,95.50,90.78,99.54,77.27,"5,487.13","1,102.17",71.29,88.75,200.56,121.72,207.37,43.35,84.36,41.23,339.09,79.63,149.00,427.23,280.81,131.12,,600.59,174.93,74.59,152.76,108.85,"1,971.03",323.90,116.53,546.70,168.25,128.19,451.15,239.20,78.09,79.12,123.00,64.41,86.57,74.99,109.84,219.79,153.38,203.75,148.84,93.09,63.06,94.67,"4,520.33","2,996.01",291.33,89.22,236.86,123.63,"1,150.48",83.38,76.55,136.02,75.46,504.48,137.51,,"121,384.08","3,279.99",74.45,66.07,129.13,155.46,110.71,118.54,"20,654.30",123.51,137.89,"11,834.59",122.80,114.31,263.13,"24,441.54",104.81,75.60,179.10,,87.37,"1,605.66",137.23,107.44,"1,102.57",185.30,711.57
1993M02,85.76,87.65,95.17,62.77,"6,223.71",71.45,"6,765,007,550.34",82.76,78.53,70.96,"1,869.79",,87.72,155.41,78.57,123.79,"3,931.59",88.49,364.95,128.83,88.48,70.71,"18,890.74",94.11,115.45,163.89,,77.50,71.90,"5,208,221,653.56",157.08,141.84,72.65,117.22,74.76,143.64,112.98,169.89,293.16,83.90,69.20,59.95,72.46,81.65,80.38,76.22,235.97,227.59,62.04,878.93,74.96,131.56,93.39,137.57,60.33,94.88,76.15,164.70,67.49,89.62,,"1,397.11",192.84,337.20,159.68,87.62,103.11,127.84,129.57,90.26,276.18,444.01,252.72,193.37,406.22,82.96,122.40,128.47,48.28,"9,302.41",93.37,74.03,258.46,80.56,79.84,136.56,248.67,162.42,67.20,95.68,91.50,99.47,78.97,"4,797.74","1,114.07",74.61,89.79,214.39,123.32,204.64,41.20,84.73,44.08,346.39,79.88,154.45,429.95,254.70,131.27,,607.35,174.98,73.98,152.83,110.80,"1,973.59",327.07,115.60,553.89,169.29,128.55,424.94,229.00,78.45,79.79,114.85,65.15,87.64,75.30,107.50,223.08,153.64,203.91,150.30,92.62,66.24,95.79,"4,264.26","2,642.19",294.98,90.17,236.36,125.79,"1,185.28",82.33,77.29,138.03,76.59,508.58,137.85,,"123,021.51","3,259.68",74.74,67.39,129.17,155.10,111.10,119.13,"18,587.60",122.53,139.47,"11,651.93",123.91,112.88,257.65,"19,115.53",106.46,76.27,184.47,,88.86,"1,602.50",138.33,107.74,"1,118.87",185.78,638.03
1993M03,86.83,88.69,96.23,64.08,"5,507.95",72.14,"4,434,075,297.26",87.45,79.00,73.64,"1,805.40",,87.85,156.81,79.05,124.19,"3,953.76",89.06,372.79,129.34,88.31,72.80,"15,074.10",94.41,106.58,163.20,,77.82,72.77,"5,504,591,551.37",157.06,143.02,72.99,118.51,74.35,144.09,113.69,168.71,294.53,83.93,69.41,60.48,72.79,82.57,80.70,76.33,236.86,228.51,62.04,882.55,75.89,133.09,93.97,140.34,59.50,96.09,76.20,164.64,68.88,89.73,,"1,350.01",192.95,340.09,159.05,87.43,102.30,130.66,130.54,90.26,272.49,350.10,235.48,192.06,405.50,87.13,123.84,108.12,48.97,"1,461.74",93.65,72.64,259.63,81.59,82.75,117.19,264.70,150.69,69.40,96.13,91.68,99.78,79.88,"4,149.79","1,116.14",76.46,89.87,213.50,124.29,201.10,37.60,85.06,50.81,352.21,80.44,158.82,433.23,228.68,131.71,,610.83,175.21,74.05,153.86,111.70,"2,019.95",326.64,116.37,557.52,167.38,129.44,378.99,229.29,78.79,80.07,111.28,66.51,88.18,75.26,104.31,229.15,152.64,202.03,146.98,91.56,67.93,96.09,"3,755.59","2,336.83",304.06,90.43,232.29,127.75,"1,120.68",80.31,77.26,138.56,77.18,511.26,139.54,,"123,705.50","3,208.61",75.56,68.28,128.53,155.49,111.96,119.14,"16,641.30",123.60,140.82,"11,351.39",124.37,111.70,263.57,"11,159.38",110.62,76.34,188.02,,89.55,"1,589.07",138.06,106.93,"1,132.05",183.81,573.42
1993M04,85.51,88.19,95.60,63.18,"4,793.69",72.13,"3,688,620,872.47",91.48,79.85,73.01,"1,514.69",,88.15,154.07,79.81,126.15,"3,928.87",87.88,381.20,132.06,87.98,74.33,"11,653.83",93.54,105.70,161.42,,77.70,71.56,"5,074,173,363.13",159.25,145.82,74.44,121.66,74.03,146.50,112.79,167.41,293.14,84.73,70.50,60.32,73.76,81.47,81.41,76.03,236.02,229.45,63.46,874.70,76.61,131.40,93.44,138.78,62.52,97.00,77.35,166.74,71.60,90.99,,"1,328.58",196.07,336.20,162.55,88.18,100.88,133.32,131.50,89.12,267.23,279.76,231.66,186.87,399.68,88.30,124.26,106.62,48.40,394.38,94.49,73.95,259.74,81.26,85.55,96.13,278.36,106.33,69.12,97.88,91.87,98.29,79.44,"3,556.12","1,100.36",75.23,90.59,207.17,122.67,201.01,34.23,85.60,55.01,352.77,81.04,159.31,436.06,199.56,133.73,,609.56,176.33,75.00,155.16,108.82,"2,072.06",327.19,116.17,544.64,165.15,132.01,410.63,227.73,79.49,80.89,111.54,66.80,86.82,74.45,100.75,227.40,146.35,198.32,144.37,91.94,70.79,94.29,"3,562.80","1,955.59",311.55,88.92,229.48,129.34,"1,084.34",81.57,77.29,137.24,76.75,498.19,142.13,,"124,370.16","3,188.57",75.52,67.58,128.33,158.09,114.41,118.31,"14,797.23",122.70,139.46,"10,950.57",91.14,110.38,252.25,"6,566.16",112.10,75.63,190.73,,89.51,"1,572.30",135.59,106.28,"1,119.82",181.64,528.53
1993M05,85.79,89.05,96.68,64.15,"4,137.40",72.74,"3,233,682,150.75",97.08,79.84,71.70,"1,338.80",,88.51,152.16,79.76,126.63,"3,952.00",88.25,387.59,132.39,88.39,76.67,"9,062.44",93.64,105.83,161.53,,78.21,71.30,"4,493,201,381.58",159.77,145.71,75.37,123.06,74.88,146.87,112.76,168.09,295.10,86.17,70.80,60.56,73.73,81.77,80.99,76.49,237.26,231.16,63.86,872.30,76.76,132.20,89.54,139.77,64.51,97.64,77.60,166.96,72.19,91.44,,"1,334.96",202.48,340.56,162.78,88.47,100.54,133.94,132.54,89.41,264.17,219.92,220.13,188.09,399.42,82.96,125.27,107.24,48.88,392.45,94.73,77.79,261.50,81.68,87.60,80.68,297.83,92.86,68.26,98.31,92.17,98.02,79.53,"3,109.47","1,103.61",75.69,90.86,206.77,123.93,200.72,34.97,85.43,56.96,353.54,81.51,163.07,437.84,178.45,134.11,,492.15,166.39,75.11,154.98,104.55,"2,096.49",325.35,116.88,536.36,165.47,132.60,426.52,228.45,79.56,80.75,112.68,67.57,87.08,74.62,99.78,229.63,141.26,198.23,143.13,90.52,74.68,94.26,"3,458.45","1,630.93",318.64,89.04,228.69,130.60,"1,091.63",83.45,77.88,134.64,77.09,499.80,142.73,,"125,504.35","3,147.68",76.09,68.10,128.85,158.19,114.87,118.45,"12,968.17",122.97,139.40,"10,570.00",91.63,110.56,254.81,"6,851.58",116.02,76.17,195.47,,90.17,"1,565.82",135.64,106.07,"1,126.57",182.30,510.40
1993M06,86.79,89.83,99.05,65.29,"3,468.49",73.74,"2,922,576,293.54",103.79,79.43,70.14,"1,182.68",,89.49,153.68,79.26,125.39,"3,910.92",89.29,389.44,130.84,88.78,79.34,"7,037.91",94.40,106.19,161.89,,78.91,71.16,"3,841,128,302.12",158.48,143.82,75.60,122.73,77.17,145.65,112.93,170.17,294.62,85.48,70.38,60.98,73.02,82.84,80.71,77.45,239.33,232.42,62.96,889.11,75.78,134.47,87.24,141.81,64.73,98.04,77.03,165.67,71.72,92.12,,"1,358.94",204.52,346.56,160.23,87.60,100.18,132.47,134.26,90.08,260.26,174.80,213.84,186.75,400.62,82.21,125.47,108.22,49.60,402.80,93.39,78.39,261.15,81.98,91.07,79.21,281.65,115.53,67.01,97.66,92.81,98.16,80.21,"2,590.76","1,113.62",77.08,91.66,217.04,126.38,197.41,40.00,85.04,58.60,359.40,81.48,165.63,439.13,161.82,133.09,,233.47,169.42,74.38,154.88,103.72,"2,117.63",327.19,117.34,500.32,165.14,131.45,434.58,230.20,78.87,79.90,114.05,68.01,87.90,74.94,99.67,231.58,140.56,198.47,141.53,89.64,79.44,95.20,"3,187.05","1,746.90",322.92,89.88,230.53,131.65,"1,078.97",84.03,78.06,132.89,77.94,507.04,141.46,,"127,356.53","3,105.08",76.76,69.14,128.57,156.51,113.43,118.90,"11,104.37",123.35,138.24,"10,244.31",92.80,109.76,259.87,"5,663.32",119.37,77.00,199.04,,91.85,"1,586.13",136.34,106.41,"1,142.36",181.65,497.05
1993M07,88.51,91.56,102.17,68.10,"3,722.47",74.67,"2,708,200,336.72",111.81,79.25,71.24,"1,206.65",,90.94,156.40,78.28,123.69,"3,952.22",91.01,390.97,128.03,89.30,82.65,"5,478.03",95.94,107.15,160.75,,80.04,71.58,"3,379,471,052.81",156.00,140.62,75.80,121.47,79.49,143.51,114.05,172.04,293.36,85.18,69.74,61.60,72.56,84.73,79.33,79.60,242.53,233.48,61.31,901.24,74.97,137.81,85.27,145.49,63.97,98.88,75.82,163.34,73.15,93.09,,"1,287.92",205.78,354.66,155.61,86.94,99.91,129.87,136.42,91.13,243.12,141.94,241.81,184.27,404.87,80.34,125.62,110.43,50.84,419.80,87.40,76.73,241.37,83.13,92.08,79.73,269.49,136.48,68.04,96.28,93.76,99.08,81.59,"2,164.09","1,132.79",79.39,92.87,208.70,130.56,192.36,43.96,84.33,59.43,366.78,81.76,169.62,440.20,148.23,130.95,,236.19,175.22,74.19,153.27,106.64,"2,128.35",329.60,118.61,475.12,163.98,129.23,448.60,453.52,78.13,78.88,115.11,70.09,89.61,75.64,99.82,236.75,140.27,193.56,141.24,87.53,85.12,97.00,"2,960.60","1,926.49",327.55,91.52,232.58,132.39,"1,058.53",80.65,78.77,132.96,73.30,519.67,139.15,,"130,100.50","3,080.54",77.39,70.91,128.04,153.62,111.36,120.00,"11,933.24",123.99,140.15,"9,885.61",95.60,109.42,222.79,"4,573.30",122.46,78.43,205.76,,94.50,"1,569.14",138.64,106.87,"1,168.01",180.22,538.83
1993M08,88.77,92.05,102.82,72.05,"3,909.73",75.54,"2,478,786,835.27",119.14,80.42,71.34,"1,214.06",,91.49,156.57,76.53,122.80,"3,938.05",91.31,392.62,127.07,89.74,85.46,"4,162.56",96.24,107.15,161.18,,80.46,70.20,"2,915,701,729.71",154.71,139.11,77.00,121.55,80.55,142.60,113.41,172.37,293.56,84.69,69.45,62.11,74.01,85.16,76.48,80.37,243.77,233.98,61.22,903.45,75.82,138.66,83.30,146.29,63.65,99.79,75.09,162.34,73.28,93.34,"8,521.95","1,249.13",200.70,357.14,154.12,86.49,100.05,129.14,137.82,91.31,240.58,116.87,252.67,183.39,403.38,79.41,124.56,110.83,51.10,424.94,88.22,76.23,231.54,83.83,96.13,80.09,219.35,142.41,68.21,95.72,94.06,98.60,81.76,"1,794.49","1,133.36",79.98,93.23,208.34,131.50,191.89,47.03,82.53,60.58,373.23,82.00,170.26,443.42,131.97,130.13,,240.27,174.21,74.18,152.01,107.99,"2,148.68",331.77,119.13,430.89,164.10,128.51,452.39,232.70,79.43,78.75,115.24,70.76,89.59,76.12,99.83,238.37,137.73,183.73,137.53,85.25,90.24,97.04,"2,831.32","2,016.66",333.50,91.57,232.14,133.87,"1,001.90",80.25,79.12,136.50,71.62,523.87,138.33,,"130,759.09","3,029.03",78.78,71.34,128.42,152.66,110.59,120.16,"12,410.70",124.43,140.55,"9,540.42",96.89,107.81,211.92,"3,520.25",123.11,78.85,216.68,,95.34,"1,556.45",137.53,106.43,"1,175.36",180.15,629.70
1993M09,87.94,91.99,102.16,72.80,"3,370.83",75.63,"2,220,541,415.49",126.07,82.20,68.23,"1,225.65",,91.34,155.19,78.46,125.95,"3,796.70",90.61,392.38,130.99,89.79,87.97,"3,069.13",95.64,106.72,159.28,,80.42,69.44,"2,195,470,328.39",158.14,143.05,79.64,125.90,81.34,146.35,113.02,172.20,289.42,86.06,71.23,62.45,76.26,84.29,78.23,80.19,243.32,235.38,63.91,904.20,78.61,137.19,86.57,145.08,63.34,99.69,76.88,165.56,73.52,93.13,"4,802.58","1,209.68",196.91,353.67,158.88,87.07,98.87,132.79,137.67,91.00,233.67,92.62,251.34,182.90,400.79,80.58,123.38,109.93,50.47,421.82,89.61,76.65,222.38,83.61,94.20,79.00,203.34,142.17,66.14,98.27,93.83,98.63,81.46,"1,514.97","1,123.41",78.77,92.94,206.58,130.75,188.98,43.58,84.11,61.85,343.75,82.84,169.93,445.64,115.02,133.06,,242.43,177.83,75.41,152.45,107.70,"2,184.48",331.73,119.09,382.40,161.10,132.31,448.78,232.05,81.66,80.63,114.44,70.69,88.89,76.31,99.60,237.99,136.03,182.27,126.68,86.43,94.90,96.05,"2,575.10","1,842.62",333.41,90.81,231.03,134.40,940.18,79.28,79.50,140.44,71.69,512.58,141.84,,"130,533.50","2,990.32",79.03,70.72,127.21,156.16,114.14,119.85,"11,540.50",124.96,138.95,"9,193.04",95.81,107.76,210.63,"3,558.22",123.99,78.82,219.92,,94.16,"1,526.85",135.43,106.46,"1,168.30",175.97,720.23
1993M10,89.02,93.34,104.15,75.28,"2,113.56",76.50,"1,966,629,220.10",136.03,83.04,69.92,"1,226.70",,92.48,156.50,77.83,126.40,"3,715.96",91.68,384.71,130.83,91.57,91.59,"2,274.60",96.61,107.15,158.92,,81.27,69.58,"1,762,179,974.69",158.53,142.72,79.72,127.28,82.75,146.85,114.23,174.64,288.77,86.88,72.14,63.33,76.87,85.31,79.49,81.29,245.46,237.78,64.02,922.77,78.99,139.45,87.03,147.68,64.75,99.78,77.14,165.66,72.57,93.89,"2,581.77","1,189.14",197.63,358.02,158.32,87.12,99.70,132.71,138.46,91.86,236.04,70.73,252.90,177.52,404.23,81.60,123.75,111.36,51.40,431.47,89.95,75.20,217.80,84.24,93.41,77.47,180.81,140.90,67.91,98.14,94.59,99.45,82.56,"1,306.85","1,133.72",80.15,93.91,208.05,133.57,190.43,46.78,83.46,64.26,348.32,83.20,175.14,446.70,104.17,133.00,,244.00,179.61,75.58,152.48,109.48,"2,189.97",333.53,119.96,354.82,163.43,132.60,457.23,233.61,82.01,80.60,115.17,71.31,89.95,77.32,99.93,240.81,132.65,183.36,126.08,86.23,101.65,97.13,"2,320.83","1,694.31",336.67,91.74,231.42,135.36,881.72,80.40,81.43,141.92,72.74,519.85,142.19,,"132,624.93","2,959.97",79.59,71.98,128.59,155.76,114.33,120.60,"10,876.13",126.08,140.53,"8,859.27",96.13,108.99,210.20,"3,680.94",127.18,79.89,228.29,,95.68,"1,524.63",136.63,106.54,"1,184.74",179.23,827.91
