"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","NGA.BCA_NGDPD.A","OBS_VALUE","Nigeria","Current account balance (credit less debit), Percent of GDP","Annual","Units","8.024","2.0","4.338","-1.374","-2.656","-1.95","2.031","0.294","-2.024","0.88","10.951","3.388","1.152","3.294","12.92","21.533","16.391","10.381","8.69","4.586","3.505","2.54","3.719","3.65","0.157","-3.123","1.254","3.61","1.727","-2.884","-3.698","-0.738","0.214","1.655","9.144","6.879"
"IMF.RES:WEO(6.0.0)","PLW.BCA_NGDPD.A","OBS_VALUE","Palau, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","-50.632","-32.645","-30.054","-27.593","-34.774","-27.015","-28.184","-21.269","-23.078","-13.719","-12.196","-16.871","-19.389","-18.0","-22.796","-13.397","-16.097","-22.851","-18.636","-30.43","-43.805","-43.758","-49.103","-49.124","-34.574","-30.521"
"IMF.RES:WEO(6.0.0)","PRI.BCA_NGDPD.A","OBS_VALUE","Puerto Rico","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","WBG.BCA_NGDPD.A","OBS_VALUE","West Bank and Gaza","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","-29.547","-31.665","-30.974","-31.417","-26.447","-34.761","-19.856","-20.678","-13.654","-26.978","-34.496","-26.634","-23.063","-7.196","5.206","-14.061","-13.499","-18.501","-14.916","-14.773","-13.586","-13.879","-13.907","-13.207","-13.15","-10.385","-12.25","-9.818","-10.626","-13.009","",""
"IMF.RES:WEO(6.0.0)","YEM.BCA_NGDPD.A","OBS_VALUE","Yemen, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","5.83","-3.408","-2.305","-2.149","0.975","0.302","0.897","0.321","-5.034","7.195","13.808","6.808","4.147","1.496","1.621","3.782","1.214","-6.967","-4.65","-10.057","-3.411","-3.001","-1.711","-3.072","1.315","-2.795","-5.424","-1.49","-3.182","-4.177","-15.71","-13.903","-15.13","-12.157","-17.635","-12.082"
"IMF.RES:WEO(6.0.0)","MLT.BCA_NGDPD.A","OBS_VALUE","Malta","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","-4.889","-5.294","-2.758","-2.685","-1.518","-5.182","-1.562","0.999","-1.231","-5.434","-8.176","-9.363","-3.856","-1.034","-6.423","-4.479","-0.195","1.631","2.505","8.315","2.639","-0.551","18.929","13.341","17.897","16.01","9.377","-0.755","6.403","6.083","6.191"
"IMF.RES:WEO(6.0.0)","MHL.BCA_NGDPD.A","OBS_VALUE","Marshall Islands, Republic of the","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","-12.271","-11.173","-12.167","-13.268","-4.811","5.939","-0.722","3.543","6.255","-2.907","2.28","1.006","-11.829","-18.107","-0.621","-4.085","-8.997","-0.484","11.415","9.919","-0.907","-2.03","-31.172","14.907","22.695","10.047","16.819","16.861","14.938"
"IMF.RES:WEO(6.0.0)","G163.BCA_NGDPD.A","OBS_VALUE","Euro Area (EA)","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","0.817","0.322","-0.505","-1.444","-0.357","0.601","0.243","0.702","0.105","-0.164","0.04","-1.818","-0.3","-0.319","-0.347","0.972","1.918","2.352","2.886","3.33","3.353","2.97","2.389","1.827","2.724","-0.107","1.666","2.811","2.285"
"IMF.RES:WEO(6.0.0)","MAC.BCA_NGDPD.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","31.529","30.617","32.955","23.653","14.893","21.685","15.562","27.547","38.92","40.383","38.834","39.335","32.706","23.342","26.524","30.765","32.878","33.542","14.805","8.734","13.904","31.395","31.72","30.01"
"IMF.RES:WEO(6.0.0)","AFG.BCA_NGDPD.A","OBS_VALUE","Afghanistan, Islamic Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","33.908","29.616","37.216","30.226","20.844","63.39","33.769","41.587","29.43","26.574","10.864","1.444","6.549","3.709","9.029","7.576","12.143","11.705","13.974","-0.056","-18.532","-20.306","",""
"IMF.RES:WEO(6.0.0)","AND.BCA_NGDPD.A","OBS_VALUE","Andorra, Principality of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.01","15.526","15.022","11.643","14.221","15.074","16.893"
"IMF.RES:WEO(6.0.0)","ARM.BCA_NGDPD.A","OBS_VALUE","Armenia, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","-46.28","-5.993","3.804","-16.972","-18.202","-19.315","-21.992","-16.937","-15.781","-10.44","-6.219","-6.181","-2.204","-2.529","-2.395","-7.357","-14.225","-16.484","-13.622","-10.44","-9.962","-7.297","-7.75","-2.662","-0.957","-1.261","-7.228","-7.057","-3.998","-3.482","0.333","-2.309","-3.905","-4.522"
"IMF.RES:WEO(6.0.0)","ATG.BCA_NGDPD.A","OBS_VALUE","Antigua and Barbuda","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","-0.038","2.034","-2.388","-7.697","-13.994","-6.505","-15.566","-17.782","-15.626","-13.513","-7.011","-10.49"
"IMF.RES:WEO(6.0.0)","AZE.BCA_NGDPD.A","OBS_VALUE","Azerbaijan, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","-16.598","-12.199","-5.461","-13.165","-25.894","-21.214","-31.883","-13.09","-3.539","-0.945","-12.329","-27.772","-29.824","1.264","17.67","27.288","33.68","22.965","28.425","25.998","21.406","16.609","13.864","-0.42","-3.604","4.071","12.844","9.061","-0.533","15.124","29.792","11.5","7.835","7.794"
"IMF.RES:WEO(6.0.0)","LUX.BCA_NGDPD.A","OBS_VALUE","Luxembourg","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","12.022","11.566","9.978","8.556","10.771","12.654","8.275","7.609","7.145","7.074","6.938","6.642","6.549","6.129","5.785","5.778","5.64","4.991","3.935","4.095","5.604","7.401","6.443","8.313","8.528","4.918","6.416","9.514","11.234","13.776","8.759"
"IMF.RES:WEO(6.0.0)","ABW.BCA_NGDPD.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","-25.271","11.345","16.35","-16.996","-8.182","12.156","4.908","12.702","9.687","0.018","6.935","-18.737","-10.02","3.602","-11.957","-4.797","3.881","4.557","0.959","-0.53","0.194","-17.099","-2.213","6.48","5.234","11.137","9.701"
"IMF.RES:WEO(6.0.0)","GX123.BCA_NGDPD.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","Current account balance (credit less debit), Percent of GDP","Annual","Units","0.255","0.652","0.765","1.394","0.742","0.198","0.353","0.986","2.943","2.819","2.947","3.48","3.375","4.264","4.105","3.821","4.221","3.431","2.836","3.919","4.695","3.861","3.96","4.716","4.833","5.263","4.825","4.497","4.245","4.396","5.002","6.729","6.571","5.506","6.496","5.984"
"IMF.RES:WEO(6.0.0)","BLR.BCA_NGDPD.A","OBS_VALUE","Belarus, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","1.733","-3.813","-2.829","-4.351","-3.56","-6.098","-6.681","-1.597","-4.257","-4.139","-2.158","-2.476","-4.981","1.468","-3.631","-6.435","-7.896","-12.059","-14.471","-8.233","-2.836","-10.023","-6.64","-3.251","-3.379","-1.74","0.038","-1.934","-0.291","3.163","3.413","-1.806","-2.798","-2.788"
