"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","MAR.GGXWDG_NGDP.A","OBS_VALUE","Morocco","Gross debt, General government, Percent of GDP","Annual","Units","70.476","59.138","67.032","74.701","69.29","72.22","65.335","67.956","64.52","63.363","64.86","60.435","59.372","56.929","54.431","54.767","50.642","47.066","41.991","42.622","45.276","48.555","52.282","57.076","58.564","58.394","60.084","60.261","60.458","60.27","72.245","69.351","71.532","69.475","70.028","68.938"
"IMF.RES:WEO(6.0.0)","MRT.GGXWDG_NGDP.A","OBS_VALUE","Mauritania, Islamic Republic of","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","","55.527","63.465","59.452","22.936","22.015","71.059","38.003","61.5","57.236","54.344","43.947","38.839","39.317","40.734","49.542","59.888","57.554","55.664","59.182","57.687","56.489","54.45","50.457","47.453","44.92","45.72"
"IMF.RES:WEO(6.0.0)","LKA.GGXWDG_NGDP.A","OBS_VALUE","Sri Lanka","Gross debt, General government, Percent of GDP","Annual","Units","78.938","80.493","77.942","79.171","77.897","77.807","76.227","70.147","74.243","77.695","79.202","84.364","96.301","86.45","86.499","76.589","74.29","71.849","68.782","72.75","68.731","69.428","67.504","69.457","69.561","76.334","75.0","72.26","83.585","82.594","96.881","102.669","115.942","110.376","99.434",""
"IMF.RES:WEO(6.0.0)","G110.GGXWDG_NGDP.A","OBS_VALUE","Advanced Economies","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","70.211","71.257","73.368","76.741","76.209","73.479","71.158","77.848","91.056","97.408","101.349","105.588","104.024","103.521","103.08","105.398","102.984","102.525","103.593","121.963","115.497","109.256","108.169","108.517","110.075"
"IMF.RES:WEO(6.0.0)","PAN.GGXWDG_NGDP.A","OBS_VALUE","Panama","Gross debt, General government, Percent of GDP","Annual","Units","","","","","78.366","76.671","65.034","60.194","58.138","55.149","53.586","57.822","56.982","56.476","58.781","59.33","54.74","47.44","40.033","39.067","38.109","35.644","34.044","33.738","34.733","34.25","33.618","33.572","35.593","39.863","61.493","54.404","52.702","51.494","56.619","58.105"
"IMF.RES:WEO(6.0.0)","PRY.GGXWDG_NGDP.A","OBS_VALUE","Paraguay","Gross debt, General government, Percent of GDP","Annual","Units","67.003","49.392","34.39","26.586","18.691","17.557","16.791","17.963","22.138","32.015","33.58","37.097","50.537","37.508","36.045","28.285","20.966","16.812","16.041","14.939","12.976","11.052","12.312","13.495","15.589","18.613","19.39","19.847","22.331","25.768","36.899","37.501","40.528","41.06","45.244","43.906"
"IMF.RES:WEO(6.0.0)","OMN.GGXWDG_NGDP.A","OBS_VALUE","Oman","Gross debt, General government, Percent of GDP","Annual","Units","17.782","22.608","23.076","22.229","23.632","21.88","21.219","20.769","30.925","28.925","21.739","22.452","15.882","13.034","14.526","8.388","7.563","4.44","3.199","5.805","5.462","4.442","4.586","4.661","4.039","13.857","29.338","40.106","44.691","52.464","67.902","61.873","41.673","37.488","35.515","35.446"
"IMF.RES:WEO(6.0.0)","PHL.GGXWDG_NGDP.A","OBS_VALUE","Philippines","Gross debt, General government, Percent of GDP","Annual","Units","","","","73.874","63.603","60.849","53.074","56.891","50.773","54.218","59.203","59.471","65.184","71.393","71.082","64.674","57.189","50.168","50.01","49.805","47.587","45.434","45.691","43.863","40.299","39.688","37.376","38.13","37.147","36.973","51.644","57.005","57.389","56.484","57.06","58.142"
"IMF.RES:WEO(6.0.0)","ROU.GGXWDG_NGDP.A","OBS_VALUE","Romania","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","","29.558","27.409","27.383","24.88","21.329","17.767","12.691","12.431","13.004","22.451","30.164","32.597","36.167","39.262","40.474","39.354","39.548","37.107","36.167","36.533","49.26","51.532","51.721","52.142","57.244","61.64"
"IMF.RES:WEO(6.0.0)","RUS.GGXWDG_NGDP.A","OBS_VALUE","Russian Federation","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","51.519","135.193","92.379","55.868","44.438","37.577","28.334","20.828","14.851","9.804","8.033","7.446","9.918","10.105","10.34","11.167","12.348","15.136","15.286","14.849","14.311","13.62","13.748","19.156","16.524","18.48","19.487","20.303","21.383"
"IMF.RES:WEO(6.0.0)","STP.GGXWDG_NGDP.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","418.38","366.512","329.366","354.452","334.172","283.181","110.14","60.673","70.315","82.992","86.018","86.318","77.142","67.427","84.318","81.689","74.726","71.493","76.387","70.752","59.228","55.077","44.687","43.465","37.301"
"IMF.RES:WEO(6.0.0)","SMR.GGXWDG_NGDP.A","OBS_VALUE","San Marino, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","11.557","17.211","16.062","16.914","14.478","14.154","12.628","15.489","20.066","19.964","16.621","17.242","23.16","21.01","19.307","21.385","56.585","56.672","56.214","69.789","77.189","71.339","69.881","65.195","64.138"
"IMF.RES:WEO(6.0.0)","SRB.GGXWDG_NGDP.A","OBS_VALUE","Serbia, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","","200.635","95.891","68.42","64.446","57.583","50.133","37.041","30.011","29.414","32.63","38.198","42.01","51.727","54.102","63.474","67.078","64.978","55.257","51.137","49.454","54.325","53.637","50.907","45.667","44.479","44.388"
"IMF.RES:WEO(6.0.0)","SYC.GGXWDG_NGDP.A","OBS_VALUE","Seychelles","Gross debt, General government, Percent of GDP","Annual","Units","80.353","89.223","79.905","82.18","123.453","133.522","146.661","143.013","161.24","159.787","177.837","199.787","195.86","176.975","163.226","144.064","135.071","143.997","192.102","106.125","82.224","82.508","80.069","68.199","70.392","64.673","62.844","56.653","51.258","48.854","77.371","71.248","60.008","55.293","57.804","59.32"
"IMF.RES:WEO(6.0.0)","LCA.GGXWDG_NGDP.A","OBS_VALUE","St. Lucia","Gross debt, General government, Percent of GDP","Annual","Units","16.736","19.278","22.125","22.694","23.352","22.703","23.924","26.625","29.079","28.795","32.805","38.012","47.653","44.692","48.774","50.426","47.954","48.196","46.898","50.237","52.23","54.941","60.18","61.236","61.854","60.551","60.214","59.919","60.282","62.114","94.982","81.868","73.432","74.846","73.97","73.634"
"IMF.RES:WEO(6.0.0)","TON.GGXWDG_NGDP.A","OBS_VALUE","Tonga","Gross debt, General government, Percent of GDP","Annual","Units","","","","","","","","","","38.402","43.562","53.397","60.662","56.221","52.248","43.349","39.55","37.816","34.005","39.727","44.732","51.853","60.047","48.915","47.356","51.115","49.382","44.718","45.824","42.797","42.552","43.044","43.802","43.948","38.248","44.128"
"IMF.RES:WEO(6.0.0)","TTO.GGXWDG_NGDP.A","OBS_VALUE","Trinidad and Tobago","Gross debt, General government, Percent of GDP","Annual","Units","49.529","50.042","49.451","59.621","54.837","51.099","47.982","46.531","43.402","43.372","40.587","37.212","37.232","31.807","25.089","20.66","17.467","16.881","14.245","18.652","17.404","27.301","22.061","21.925","23.63","26.397","34.699","40.071","41.471","45.849","60.302","60.536","52.991","59.321","64.502","67.773"
