"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","FSM.GGXONLB_NGDP.A","OBS_VALUE","Micronesia, Federated States of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","2.599","4.915","4.954","-1.632","-3.872","-2.69","-5.205","7.435","2.823","-15.346","-5.452","-5.269","-3.365","-1.32","2.172","0.747","-0.242","1.225","3.312","11.604","10.848","7.681","14.731","24.938","19.833","6.706","4.685","17.575","9.372","7.836","5.999"
"IMF.RES:WEO(6.0.0)","NPL.GGXONLB_NGDP.A","OBS_VALUE","Nepal","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","-0.781","-1.707","-1.596","0.677","0.654","0.952","0.828","-0.055","0.313","-1.61","0.029","0.024","-0.403","2.241","1.849","0.922","1.463","-2.401","-5.401","-4.488","-4.731","-3.219","-2.252","-4.507","-1.347","-2.451"
"IMF.RES:WEO(6.0.0)","NGA.GGXONLB_NGDP.A","OBS_VALUE","Nigeria","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","5.362","4.052","8.105","-2.247","-0.22","6.057","6.47","3.342","-2.965","3.19","8.123","0.794","3.223","1.907","6.867","6.775","9.436","-0.488","6.33","-4.675","-3.543","1.274","0.845","-1.675","-1.459","-2.67","-3.363","-4.06","-2.261","-2.768","-3.201","-2.985","-3.185","-0.381","-0.837","-0.774"
"IMF.RES:WEO(6.0.0)","OMN.GGXONLB_NGDP.A","OBS_VALUE","Oman","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","4.357","-0.836","-5.036","-7.187","-7.541","-3.543","2.552","5.098","-4.322","0.8","12.443","7.449","4.97","4.051","4.732","10.454","11.029","9.15","13.595","-1.172","4.16","7.825","2.928","2.249","-1.866","-14.075","-20.013","-11.089","-5.214","-4.634","-12.993","-0.963","11.154","7.456","6.653","1.563"
"IMF.RES:WEO(6.0.0)","PLW.GGXONLB_NGDP.A","OBS_VALUE","Palau, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","POL.GGXONLB_NGDP.A","OBS_VALUE","Poland, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","1.316","-0.299","-0.093","-0.257","0.639","-0.986","-1.618","-1.929","-3.058","-2.297","-1.47","-1.167","0.295","-1.488","-4.79","-4.93","-2.432","-1.115","-1.703","-1.694","-0.844","-0.679","0.075","1.179","0.625","-5.563","-0.652","-1.907","-3.21","-4.274","-3.625"
"IMF.RES:WEO(6.0.0)","G110.GGXONLB_NGDP.A","OBS_VALUE","Advanced Economies","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","0.591","-1.405","-2.051","-1.423","-0.66","0.282","0.433","-1.815","-6.991","-5.952","-4.404","-3.689","-2.088","-1.472","-1.084","-1.132","-1.007","-0.94","-1.55","-9.04","-5.912","-1.087","-2.667","-2.52","-1.972"
"IMF.RES:WEO(6.0.0)","WSM.GGXONLB_NGDP.A","OBS_VALUE","Samoa","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","SEN.GGXONLB_NGDP.A","OBS_VALUE","Senegal","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","8.617","4.552","2.656","2.691","1.852","0.432","1.843","-0.806","1.01","0.361","1.063","0.442","-2.975","-2.286","-3.017","-3.067","-3.184","-3.689","-2.991","-3.124","-2.556","-2.144","-1.609","-1.051","-1.669","-7.964","-7.229","-9.487","-10.343","-9.212","-7.598","-3.026"
"IMF.RES:WEO(6.0.0)","SYC.GGXONLB_NGDP.A","OBS_VALUE","Seychelles","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","19.897","11.09","14.299","4.273","1.401","7.119","0.371","3.854","-6.546","-1.14","-7.286","-1.642","-8.643","10.298","6.894","6.83","2.792","-3.362","14.743","13.509","6.503","6.368","6.639","5.259","5.161","4.345","3.404","1.069","1.954","2.493","-13.187","-2.909","1.267","1.638","1.54","1.662"
