"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","NAM.NGDPD.A","OBS_VALUE","Namibia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.568","2.841","3.296","3.156","3.537","3.948","3.954","4.11","3.832","3.824","3.941","3.577","3.396","4.974","6.673","7.324","7.711","8.73","8.496","8.915","11.281","12.423","13.016","12.168","12.434","11.45","10.719","12.883","13.676","12.539","10.583","12.399","12.564","12.402","13.37","14.214"
"IMF.RES:WEO(6.0.0)","MNE.NGDPD.A","OBS_VALUE","Montenegro","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","0.966","1.15","1.269","1.681","2.073","2.261","2.724","3.686","4.564","4.171","4.146","4.544","4.09","4.466","4.595","4.055","4.376","4.855","5.509","5.543","4.777","5.865","6.243","7.532","8.023","8.562"
"IMF.RES:WEO(6.0.0)","PAK.NGDPD.A","OBS_VALUE","Pakistan","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","65.276","74.158","79.338","83.969","84.642","98.917","103.296","101.848","101.381","96.008","99.421","96.784","98.169","112.507","132.206","145.209","161.871","184.141","202.204","187.074","196.712","230.577","250.094","258.674","271.422","299.93","313.623","339.229","356.163","321.071","300.41","348.481","374.85","337.754","373.078",""
"IMF.RES:WEO(6.0.0)","SVK.NGDPD.A","OBS_VALUE","Slovak Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","13.906","16.046","20.297","21.871","22.037","22.917","20.89","20.711","21.384","24.849","33.864","43.023","48.912","57.48","77.26","97.122","89.246","91.187","99.688","94.784","99.136","101.739","89.188","90.322","95.944","106.66","105.855","107.646","120.672","116.02","132.947","140.636","147.031"
"IMF.RES:WEO(6.0.0)","TJK.NGDPD.A","OBS_VALUE","Tajikistan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","0.291","0.678","0.829","0.569","1.052","1.121","1.32","1.087","0.991","1.057","1.212","1.555","2.073","2.311","2.811","3.712","5.135","4.977","5.642","6.523","7.592","8.506","9.242","7.857","6.994","7.535","7.762","8.301","8.134","8.934","10.493","11.854","13.544","14.836"
"IMF.RES:WEO(6.0.0)","MAC.NGDPD.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","","6.86","7.372","8.247","10.643","12.16","14.874","18.44","21.027","21.588","28.242","36.844","43.19","51.536","54.903","45.048","45.071","50.384","55.191","55.082","25.344","30.969","24.998","45.802","50.182","53.354"
"IMF.RES:WEO(6.0.0)","AND.NGDPD.A","OBS_VALUE","Andorra, Principality of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","1.429","1.547","1.758","2.362","2.896","3.158","3.456","3.952","4.082","3.675","3.446","3.625","3.189","3.193","3.267","2.789","2.895","2.993","3.217","3.155","2.885","3.325","3.376","3.786","4.038","4.035"
"IMF.RES:WEO(6.0.0)","ARM.NGDPD.A","OBS_VALUE","Armenia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","0.108","0.835","0.648","1.287","1.597","1.639","1.892","1.845","1.912","2.118","2.376","2.807","3.577","4.9","6.384","9.206","11.662","8.648","9.26","10.142","10.619","11.121","11.61","10.553","10.546","11.527","12.458","13.619","12.642","13.879","19.514","24.086","25.533","26.258"
"IMF.RES:WEO(6.0.0)","ABW.NGDPD.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","1.321","1.38","1.532","1.665","1.723","1.873","1.896","1.962","2.044","2.255","2.36","2.47","2.678","2.843","2.554","2.454","2.638","2.615","2.728","2.791","2.963","2.984","3.092","3.276","3.341","2.486","2.929","3.279","3.649","3.952","4.1"
"IMF.RES:WEO(6.0.0)","AZE.NGDPD.A","OBS_VALUE","Azerbaijan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","1.193","1.309","2.258","2.417","3.177","4.317","4.28","4.581","5.273","5.475","6.232","7.276","8.682","13.239","20.983","33.05","48.852","44.297","52.909","65.952","69.684","74.164","75.235","52.997","37.83","41.375","47.113","48.174","42.693","54.825","78.807","72.428","74.316","78.87"
