"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","AFG.NGDPDPC.A","OBS_VALUE","Afghanistan, Islamic Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","","","","","","","","","","","","","207.946","201.051","218.461","252.618","272.189","330.295","389.63","440.607","543.652","611.642","666.089","639.473","630.136","594.213","520.267","529.773","499.799","499.762","516.664","356.063","352.456","409.006","",""
"IMF.RES:WEO(6.0.0)","ERI.NGDPDPC.A","OBS_VALUE","Eritrea, The State of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","","","268.192","167.084","195.44","219.091","263.808","270.574","283.919","274.584","238.508","245.162","227.498","258.933","315.55","300.697","321.219","340.334","301.238","415.601","501.424","642.502","693.804","596.754","786.54","603.193","655.424","557.857","580.845","566.731","","","","","",""
"IMF.RES:WEO(6.0.0)","BDI.NGDPDPC.A","OBS_VALUE","Burundi","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","207.113","207.674","187.243","162.572","157.474","167.177","142.588","157.054","141.755","133.412","130.225","127.349","116.392","108.066","122.381","148.71","164.575","170.174","195.79","208.78","231.549","247.097","250.118","255.319","273.133","304.243","281.062","291.859","271.289","261.011","260.164","274.353","311.318","327.255","354.838","489.941"
"IMF.RES:WEO(6.0.0)","CAF.NGDPDPC.A","OBS_VALUE","Central African Republic","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","547.344","505.678","488.498","414.585","263.389","333.619","291.002","277.148","285.44","278.512","226.367","229.449","245.313","289.622","312.4","329.417","351.222","393.237","445.966","454.642","476.409","533.358","544.728","364.378","410.048","366.36","387.069","432.172","467.286","460.809","475.203","505.68","482.598","505.083","531.056","531.751"
"IMF.RES:WEO(6.0.0)","MWI.NGDPDPC.A","OBS_VALUE","Malawi","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","420.593","523.591","422.469","483.263","278.145","319.894","512.064","583.417","373.078","368.272","352.65","338.478","384.137","345.163","365.696","377.042","400.898","432.115","504.65","571.113","623.414","695.331","506.3","446.999","484.322","497.737","415.016","466.559","501.113","543.685","567.59","580.923","567.203","591.286","504.486","580.245"
"IMF.RES:WEO(6.0.0)","MDG.NGDPDPC.A","OBS_VALUE","Madagascar, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","347.714","280.355","311.649","331.998","279.38","295.539","368.663","309.351","310.104","292.558","307.335","350.5","334.838","387.055","298.635","335.388","355.397","459.855","561.654","488.901","492.67","553.45","538.541","560.939","548.905","481.807","489.439","528.379","535.948","531.75","477.375","509.43","529.174","533.148","569.409","594.938"
"IMF.RES:WEO(6.0.0)","MOZ.NGDPDPC.A","OBS_VALUE","Mozambique, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","271.733","289.247","202.714","200.623","197.895","197.737","252.506","297.228","330.149","364.482","334.841","310.076","317.135","340.566","398.646","432.738","451.128","498.838","579.997","535.666","484.961","604.414","671.212","672.832","683.942","599.4","433.672","463.005","510.38","512.216","456.582","504.038","572.757","618.167","629.531","663.34"
"IMF.RES:WEO(6.0.0)","NER.NGDPDPC.A","OBS_VALUE","Niger","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","435.341","394.9","393.718","343.177","211.016","241.954","243.965","224.475","250.234","231.66","197.275","207.769","227.424","267.41","285.39","320.925","335.336","389.258","477.272","462.269","476.064","511.49","528.921","551.557","562.888","484.173","497.885","517.589","570.983","554.124","568.606","593.802","592.621","621.04","707.47","751.037"
"IMF.RES:WEO(6.0.0)","TCD.NGDPDPC.A","OBS_VALUE","Chad","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","397.24","381.19","384.851","325.735","255.43","302.801","325.43","302.218","329.659","280.127","244.063","289.42","324.655","429.337","666.642","857.713","928.578","1004.499","1196.721","1064.381","1177.208","1349.601","1400.357","1351.405","1328.236","1031.895","894.293","888.615","990.693","934.731","910.416","997.979","1026.002","1023.545","1034.768","991.084"
"IMF.RES:WEO(6.0.0)","EGY.NGDPDPC.A","OBS_VALUE","Egypt, Arab Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","1870.847","923.843","825.448","897.202","968.914","1098.086","1209.49","1327.405","1454.957","1518.197","1636.752","1566.199","1355.278","1252.404","1195.597","1331.362","1563.739","1862.164","2271.232","2578.884","2922.796","3077.343","3569.482","3583.854","3705.465","3933.927","3862.011","2592.707","2710.158","3214.301","3802.438","4145.939","4587.172","3743.608","3570.313","3173.523"
"IMF.RES:WEO(6.0.0)","GNQ.NGDPDPC.A","OBS_VALUE","Equatorial Guinea, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","312.102","299.071","351.662","343.493","245.881","333.846","527.121","965.017","777.254","1251.452","1885.985","2616.505","3105.658","5373.616","8187.817","10816.42","12744.023","15784.548","22831.933","16578.72","17167.174","21476.215","21570.068","20253.043","19276.253","11219.121","9200.0","9621.136","10129.619","8355.696","7045.629","8415.533","9155.152","7990.773","7888.213","7750.401"
"IMF.RES:WEO(6.0.0)","GTM.NGDPDPC.A","OBS_VALUE","Guatemala","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","832.552","986.745","1062.283","1128.142","1243.494","1365.822","1422.779","1574.094","1671.278","1540.251","1563.752","1662.394","1804.84","1859.96","1969.469","2176.293","2369.443","2599.124","2928.945","2714.018","2909.793","3265.46","3375.857","3522.256","3778.493","3994.231","4172.065","4452.202","4485.926","4646.84","4610.073","5053.653","5509.385","5933.036","6306.597","6698.035"
"IMF.RES:WEO(6.0.0)","GMB.NGDPDPC.A","OBS_VALUE","Gambia, The","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","790.827","801.579","830.589","840.415","804.334","815.289","826.192","818.814","815.332","811.257","766.199","737.063","631.566","581.319","642.755","665.721","662.362","780.379","924.514","833.282","860.639","762.761","742.78","700.515","607.429","649.511","683.998","676.656","729.035","768.921","747.886","820.584","831.843","886.873","939.184","987.643"
"IMF.RES:WEO(6.0.0)","IRN.NGDPDPC.A","OBS_VALUE","Iran, Islamic Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","10661.483","5445.574","890.842","1121.078","1368.369","1941.99","2631.462","3018.96","3314.906","4400.622","5776.857","5124.766","2020.838","2353.361","2764.807","3291.94","3863.502","5045.686","5890.712","6016.8","6983.777","8322.461","5548.304","5561.454","5910.083","5172.134","5730.832","6005.051","4054.938","2908.918","2326.664","3441.728","4431.515","4347.193","4633.211","3897.301"
"IMF.RES:WEO(6.0.0)","ATG.NGDPDPC.A","OBS_VALUE","Antigua and Barbuda","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","7942.795","8300.01","8503.023","8956.805","9647.492","9257.868","9930.48","10443.403","10931.956","11286.196","11918.516","11416.566","11563.672","12091.262","12959.362","14297.453","16123.605","18197.385","18843.264","16580.39","15342.915","15045.044","15723.96","15050.657","15423.336","15839.184","16163.761","16401.359","17470.66","17899.372","14419.909","16128.189","18522.672","19627.038","21490.99","22630.226"
"IMF.RES:WEO(6.0.0)","AGO.NGDPDPC.A","OBS_VALUE","Angola","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","1397.414","1310.218","977.93","687.658","484.971","585.668","730.731","830.042","680.922","623.486","771.405","730.652","988.318","1122.365","1438.272","2128.257","2909.07","3493.014","4554.334","3630.103","4089.461","5175.442","5699.986","5880.641","6061.865","4680.829","3936.361","4628.964","3651.304","2926.143","1989.939","2445.388","4002.427","2992.131","3053.759","2884.268"
"IMF.RES:WEO(6.0.0)","ALB.NGDPDPC.A","OBS_VALUE","Albania","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","683.777","412.878","262.841","458.009","744.787","914.747","1021.986","715.032","826.34","1049.947","1142.468","1298.508","1444.665","1851.405","2399.347","2705.592","3008.122","3637.835","4422.573","4163.049","4146.598","4492.726","4299.472","4468.147","4639.481","4000.659","4173.486","4596.819","5350.646","5459.304","5381.096","6432.353","6906.842","8504.966","10012.917","10526.859"
"IMF.RES:WEO(6.0.0)","AND.NGDPDPC.A","OBS_VALUE","Andorra, Principality of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","","","","","","","","","","","","","","","","","","","","","49030.229","51957.313","45713.97","45630.195","46299.282","38877.485","39595.317","40017.741","42229.903","40688.491","36973.845","41806.876","41378.881","44483.604","46359.174","45263.077"
"IMF.RES:WEO(6.0.0)","DZA.NGDPDPC.A","OBS_VALUE","Algeria","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","2684.465","1975.201","2033.196","2056.556","1674.567","1626.997","1783.41","1800.196","1772.368","1769.091","1947.755","1919.41","1958.238","2304.603","2839.82","3258.153","3690.572","4208.244","5214.762","4262.144","4941.493","5946.345","6057.974","5997.896","6108.878","4691.686","4426.58","4554.15","4568.244","4452.856","3757.585","4169.217","4983.545","5389.842","5681.632","5690.504"
"IMF.RES:WEO(6.0.0)","ARG.NGDPDPC.A","OBS_VALUE","Argentina","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","4857.796","6429.454","7653.711","7796.24","8378.735","8295.123","8645.455","9196.516","9283.175","8709.072","8638.543","8085.356","2997.621","3761.088","4314.098","5163.55","5976.082","7315.726","9146.79","8337.811","10412.974","12787.806","13889.792","14488.829","13208.831","14895.316","12772.868","14618.327","11786.433","9941.59","8489.332","10610.191","13676.216","13835.967","13415.312","14362.247"
"IMF.RES:WEO(6.0.0)","BGD.NGDPDPC.A","OBS_VALUE","Bangladesh","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","398.05","402.354","400.912","395.867","411.91","450.133","471.268","479.354","488.077","491.461","483.217","480.724","490.919","532.343","563.21","572.014","610.469","668.54","760.65","841.252","935.755","1032.313","1057.884","1176.16","1340.289","1495.538","1679.021","1839.755","1991.739","2154.227","2270.348","2497.741","2730.846","2651.738","2622.368","2689.241"
"IMF.RES:WEO(6.0.0)","ABW.NGDPDPC.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","","","","","","13707.689","13947.141","15339.075","16580.538","16989.122","18403.086","18615.357","18990.055","19483.689","21184.269","22019.19","22734.054","24605.935","26166.555","23394.098","22460.205","24440.021","24334.522","25458.466","25945.458","27482.4","27619.362","28578.308","30243.242","30804.096","22899.202","26966.948","30182.637","33581.286","36385.97","37775.045"
"IMF.RES:WEO(6.0.0)","ARM.NGDPDPC.A","OBS_VALUE","Armenia, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","","","31.321","247.884","196.98","399.576","503.774","521.869","608.415","597.241","620.638","692.287","779.122","923.387","1180.399","1628.063","2128.151","3079.031","3913.436","2911.763","3121.778","3417.172","3575.529","3732.035","3889.004","3529.026","3524.0","3868.906","4195.963","4596.861","4268.681","4685.183","6660.868","8125.625","8613.224","8856.811"
"IMF.RES:WEO(6.0.0)","AZE.NGDPDPC.A","OBS_VALUE","Azerbaijan, Republic of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","","","159.971","174.875","297.162","316.227","411.14","553.468","543.344","576.005","656.386","674.783","760.812","879.863","1039.818","1567.194","2453.261","3813.751","5564.444","4964.696","5880.509","7238.602","7545.553","7926.6","7938.578","5524.527","3897.788","4217.653","4759.796","4841.145","4280.429","5468.269","7831.176","7151.946","7251.303","7604.382"
