"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","PLW.LP.A","OBS_VALUE","Palau, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","","","","","","19000.0","19000.0","19000.0","20000.0","20000.0","20000.0","20000.0","19000.0","19000.0","18000.0","18000.0","18000.0","17000.0","18000.0","18000.0","18000.0","18000.0","18000.0","18000.0","18000.0","18000.0","18000.0","18000.0","18000.0","18000.0","18000.0"
"IMF.RES:WEO(6.0.0)","SVN.LP.A","OBS_VALUE","Slovenia, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","1989000.0","1990000.0","1987000.0","1985000.0","1978000.0","1988000.0","1990000.0","1994000.0","1995000.0","1996000.0","1998000.0","2003000.0","2010000.0","2010000.0","2032000.0","2047000.0","2050000.0","2055000.0","2059000.0","2061000.0","2063000.0","2064000.0","2066000.0","2067000.0","2081000.0","2096000.0","2109000.0","2107000.0","2117000.0","2124000.0","2129000.0"
"IMF.RES:WEO(6.0.0)","AFG.LP.A","OBS_VALUE","Afghanistan, Islamic Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","2.1E7","2.2645E7","2.3554E7","2.4411E7","2.5443E7","2.5903E7","2.6427E7","2.7385E7","2.819E7","2.9249E7","3.0466E7","3.1541E7","3.2716E7","3.3753E7","3.4636E7","3.5643E7","3.6687E7","3.7769E7","3.8972E7","4.0099E7","4.1142E7","4.2171E7","",""
"IMF.RES:WEO(6.0.0)","AND.LP.A","OBS_VALUE","Andorra, Principality of","Population, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","","","","","","","","70000.0","70000.0","70000.0","70000.0","71000.0","72000.0","73000.0","75000.0","76000.0","78000.0","78000.0","80000.0","82000.0","85000.0","87000.0","89000.0"
"IMF.RES:WEO(6.0.0)","ARM.LP.A","OBS_VALUE","Armenia, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","3220000.0","3170000.0","3140000.0","3110000.0","3090000.0","3080000.0","3060000.0","3050000.0","3040000.0","3030000.0","3010000.0","3000000.0","2990000.0","2980000.0","2970000.0","2966000.0","2968000.0","2970000.0","2980000.0","2985000.0","2990000.0","2993000.0","2979000.0","2969000.0","2963000.0","2962000.0","2962000.0","2930000.0","2964000.0","2964000.0","2965000.0"
"IMF.RES:WEO(6.0.0)","ABW.LP.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Population, Persons for countries / Index for country groups","Annual","Millions","96000.0","99000.0","100000.0","100000.0","101000.0","102000.0","102000.0","103000.0","105000.0","106000.0","107000.0","109000.0","109000.0","109000.0","109000.0","109000.0","108000.0","107000.0","107000.0","108000.0","108000.0","108000.0","108000.0","108000.0","108000.0","109000.0","109000.0","109000.0","109000.0","109000.0","109000.0"
"IMF.RES:WEO(6.0.0)","AZE.LP.A","OBS_VALUE","Azerbaijan, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","7644000.0","7726000.0","7800000.0","7877000.0","7953000.0","8033000.0","8114000.0","8191000.0","8269000.0","8349000.0","8447000.0","8553000.0","8666000.0","8779000.0","8922000.0","8997000.0","9111000.0","9235000.0","9356000.0","9477000.0","9593000.0","9705000.0","9810000.0","9898000.0","9951000.0","9974000.0","1.0026E7","1.0063E7","1.0127E7","1.0249E7","1.0372E7"
"IMF.RES:WEO(6.0.0)","BLR.LP.A","OBS_VALUE","Belarus, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","1.0177E7","1.0142E7","1.0093E7","1.0045E7","1.0019E7","9990000.0","9929000.0","9866000.0","9797000.0","9730000.0","9664000.0","9605000.0","9561000.0","9528000.0","9505000.0","9484000.0","9462000.0","9447000.0","9443000.0","9449000.0","9461000.0","9469000.0","9459000.0","9439000.0","9420000.0","9380000.0","9303000.0","9228000.0","9178000.0","9132000.0","9087000.0"
"IMF.RES:WEO(6.0.0)","LKA.LP.A","OBS_VALUE","Sri Lanka","Population, Persons for countries / Index for country groups","Annual","Millions","1.8243E7","1.8367E7","1.8471E7","1.8565E7","1.8663E7","1.8778E7","1.8912E7","1.9062E7","1.9224E7","1.9387E7","1.9545E7","1.9696E7","1.9842E7","1.9984E7","2.0124E7","2.0262E7","2.0398E7","2.0425E7","2.0585E7","2.0778E7","2.097E7","2.1203E7","2.1444E7","2.167E7","2.1803E7","2.1919E7","2.2156E7","2.2396E7","2.2638E7","2.2882E7",""
"IMF.RES:WEO(6.0.0)","BOL.LP.A","OBS_VALUE","Bolivia","Population, Persons for countries / Index for country groups","Annual","Millions","7567000.0","7717000.0","7871000.0","8026000.0","8183000.0","8430000.0","8590000.0","8750000.0","8910000.0","9070000.0","9230000.0","9390000.0","9550000.0","9710000.0","9870000.0","1.003E7","1.019E7","1.035E7","1.051E7","1.067E7","1.083E7","1.099E7","1.115E7","1.131E7","1.147E7","1.163E7","1.18E7","1.196E7","1.213E7","1.229E7","1.245E7"
"IMF.RES:WEO(6.0.0)","BIH.LP.A","OBS_VALUE","Bosnia and Herzegovina","Population, Persons for countries / Index for country groups","Annual","Millions","","3763000.0","3736000.0","3732000.0","3743000.0","3751000.0","3755000.0","3759000.0","3760000.0","3763000.0","3766000.0","3768000.0","3762000.0","3754000.0","3736000.0","3704000.0","3660000.0","3605000.0","3531000.0","3526000.0","3518000.0","3511000.0","3504000.0","3496000.0","3491000.0","3487000.0","3481000.0","3473000.0","3464000.0","3455000.0","3445000.0"
"IMF.RES:WEO(6.0.0)","BRN.LP.A","OBS_VALUE","Brunei Darussalam","Population, Persons for countries / Index for country groups","Annual","Millions","287000.0","295000.0","302000.0","310000.0","317000.0","325000.0","333000.0","340000.0","346000.0","352000.0","359000.0","365000.0","370000.0","375000.0","380000.0","387000.0","393000.0","399000.0","403000.0","408000.0","412000.0","417000.0","426000.0","437000.0","451000.0","442000.0","441000.0","445000.0","451000.0","454000.0","458000.0"
"IMF.RES:WEO(6.0.0)","KHM.LP.A","OBS_VALUE","Cambodia","Population, Persons for countries / Index for country groups","Annual","Millions","1.0427E7","1.0738E7","1.1034E7","1.1314E7","1.1581E7","1.1835E7","1.2027E7","1.2223E7","1.2421E7","1.2623E7","1.2829E7","1.3037E7","1.3249E7","1.3465E7","1.3684E7","1.3906E7","1.4132E7","1.4362E7","1.4596E7","1.4833E7","1.5074E7","1.5319E7","1.5568E7","1.5821E7","1.6079E7","1.6338E7","1.6592E7","1.6843E7","1.7012E7","1.7182E7","1.7354E7"
"IMF.RES:WEO(6.0.0)","MAC.LP.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Population, Persons for countries / Index for country groups","Annual","Millions","","","","","","","436000.0","441000.0","447000.0","463000.0","484000.0","513000.0","538000.0","549000.0","542000.0","552000.0","557000.0","582000.0","608000.0","636000.0","647000.0","645000.0","653000.0","667000.0","680000.0","683000.0","683000.0","673000.0","684000.0","688000.0","699000.0"
"IMF.RES:WEO(6.0.0)","TJK.LP.A","OBS_VALUE","Tajikistan, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","5668000.0","5735000.0","5822000.0","5939000.0","6115000.0","6216000.0","6327000.0","6448000.0","6577000.0","6713000.0","6854000.0","7001000.0","7152000.0","7310000.0","7473000.0","7642000.0","7816000.0","7995000.0","8178000.0","8363000.0","8549000.0","8735000.0","8921000.0","9107000.0","9292000.0","9475000.0","9657000.0","9836000.0","1.0013E7","1.0188E7","1.036E7"
"IMF.RES:WEO(6.0.0)","HRV.LP.A","OBS_VALUE","Croatia, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","4453000.0","4494000.0","4572000.0","4501000.0","4554000.0","4381000.0","4300000.0","4302000.0","4303000.0","4305000.0","4310000.0","4311000.0","4310000.0","4310000.0","4305000.0","4295000.0","4281000.0","4268000.0","4256000.0","4202000.0","4152000.0","4107000.0","4041000.0","3989000.0","3949000.0","3914000.0","3879000.0","3856000.0","3860000.0","3856000.0","3854000.0"
"IMF.RES:WEO(6.0.0)","DMA.LP.A","OBS_VALUE","Dominica","Population, Persons for countries / Index for country groups","Annual","Millions","71000.0","71000.0","71000.0","71000.0","71000.0","71000.0","71000.0","71000.0","71000.0","71000.0","71000.0","71000.0","71000.0","71000.0","71000.0","71000.0","70000.0","69000.0","70000.0","70000.0","71000.0","71000.0","69000.0","70000.0","72000.0","73000.0","74000.0","74000.0","74000.0","75000.0","75000.0"
"IMF.RES:WEO(6.0.0)","ERI.LP.A","OBS_VALUE","Eritrea, The State of","Population, Persons for countries / Index for country groups","Annual","Millions","2204000.0","2196000.0","2195000.0","2206000.0","2237000.0","2292000.0","2375000.0","2481000.0","2601000.0","2720000.0","2827000.0","2918000.0","2997000.0","3063000.0","3120000.0","3170000.0","3214000.0","3250000.0","3281000.0","3311000.0","3343000.0","3377000.0","3413000.0","3453000.0","3497000.0","","","","","",""
"IMF.RES:WEO(6.0.0)","GEO.LP.A","OBS_VALUE","Georgia","Population, Persons for countries / Index for country groups","Annual","Millions","4742000.0","4573000.0","4410000.0","4290000.0","4198000.0","4117000.0","4038000.0","3991000.0","3966000.0","3938000.0","3917000.0","3888000.0","3873000.0","3848000.0","3829000.0","3800000.0","3774000.0","3739000.0","3718000.0","3717000.0","3722000.0","3729000.0","3726000.0","3730000.0","3724000.0","3717000.0","3729000.0","3689000.0","3736000.0","3695000.0","3694000.0"
"IMF.RES:WEO(6.0.0)","GIN.LP.A","OBS_VALUE","Guinea","Population, Persons for countries / Index for country groups","Annual","Millions","7837000.0","8095000.0","8296000.0","8457000.0","8601000.0","8746000.0","8895000.0","9046000.0","9205000.0","9380000.0","9576000.0","9799000.0","1.0047E7","1.0315E7","1.0593E7","1.0876E7","1.1162E7","1.1451E7","1.1745E7","1.2044E7","1.2345E7","1.2654E7","1.297E7","1.3294E7","1.3627E7","1.3967E7","1.4317E7","1.4674E7","1.5041E7","1.5417E7","1.5803E7"
"IMF.RES:WEO(6.0.0)","IRQ.LP.A","OBS_VALUE","Iraq","Population, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","2.596E7","2.6674E7","2.7377E7","2.8064E7","2.8741E7","2.943E7","3.0163E7","3.0962E7","3.176E7","3.2578E7","3.3417E7","3.5E7","3.5213E7","3.6169E7","3.714E7","3.8124E7","3.9128E7","4.015E7","4.1191E7","4.2249E7","4.3324E7","4.4415E7","4.5521E7"
"IMF.RES:WEO(6.0.0)","LTU.LP.A","OBS_VALUE","Lithuania, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","3629000.0","3602000.0","3575000.0","3549000.0","3524000.0","3500000.0","3471000.0","3443000.0","3415000.0","3377000.0","3323000.0","3270000.0","3231000.0","3198000.0","3163000.0","3097000.0","3028000.0","2988000.0","2958000.0","2932000.0","2905000.0","2868000.0","2828000.0","2802000.0","2794000.0","2795000.0","2801000.0","2824000.0","2883000.0","2892000.0","2893000.0"
"IMF.RES:WEO(6.0.0)","KOS.LP.A","OBS_VALUE","Kosovo, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","","","","","","1472000.0","1472000.0","1511000.0","1537000.0","1631000.0","1651000.0","1674000.0","1699000.0","1720000.0","1748000.0","1775000.0","1802000.0","1786000.0","1769000.0","1753000.0","1736000.0","1719000.0","1703000.0","1686000.0","1670000.0","1653000.0","1637000.0","1620000.0","1604000.0","1587000.0","1577000.0"
"IMF.RES:WEO(6.0.0)","KWT.LP.A","OBS_VALUE","Kuwait","Population, Persons for countries / Index for country groups","Annual","Millions","1802000.0","1894000.0","1980000.0","2027000.0","2107000.0","2138000.0","2183000.0","2262000.0","2325000.0","2391000.0","2245000.0","2328000.0","2411000.0","2778000.0","2778000.0","2933000.0","3247000.0","3428000.0","3588000.0","3744000.0","3925000.0","4083000.0","4227000.0","4420000.0","4465000.0","4336000.0","4217000.0","4794000.0","4913000.0","5012000.0","5112000.0"
"IMF.RES:WEO(6.0.0)","KAZ.LP.A","OBS_VALUE","Kazakhstan, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","1.5676E7","1.5481E7","1.5188E7","1.4955E7","1.4902E7","1.4884E7","1.4858E7","1.4859E7","1.4909E7","1.5013E7","1.5147E7","1.5308E7","1.5484E7","1.5674E7","1.6093E7","1.6322E7","1.6557E7","1.6792E7","1.7036E7","1.7288E7","1.7543E7","1.7794E7","1.8038E7","1.8276E7","1.8514E7","1.8756E7","1.9001E7","1.9635E7","1.99E7","2.0129E7","2.0351E7"
"IMF.RES:WEO(6.0.0)","LVA.LP.A","OBS_VALUE","Latvia, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","2501000.0","2470000.0","2445000.0","2421000.0","2399000.0","2382000.0","2353000.0","2321000.0","2299000.0","2277000.0","2250000.0","2228000.0","2209000.0","2192000.0","2163000.0","2121000.0","2075000.0","2045000.0","2024000.0","2001000.0","1986000.0","1969000.0","1950000.0","1934000.0","1920000.0","1908000.0","1893000.0","1876000.0","1883000.0","1872000.0","1868000.0"
"IMF.RES:WEO(6.0.0)","KGZ.LP.A","OBS_VALUE","Kyrgyz Republic","Population, Persons for countries / Index for country groups","Annual","Millions","4525000.0","4596000.0","4661000.0","4732000.0","4806000.0","4875000.0","4922000.0","4968000.0","5013000.0","5073000.0","5136000.0","5189000.0","5248000.0","5289000.0","5348000.0","5418000.0","5478000.0","5552000.0","5663000.0","5777000.0","5895000.0","6019000.0","6140000.0","6257000.0","6389000.0","6517000.0","6654000.0","6795000.0","6931000.0","7077000.0","7227000.0"
"IMF.RES:WEO(6.0.0)","FSM.LP.A","OBS_VALUE","Micronesia, Federated States of","Population, Persons for countries / Index for country groups","Annual","Millions","106000.0","106000.0","106000.0","107000.0","107000.0","107000.0","107000.0","106000.0","106000.0","106000.0","106000.0","105000.0","104000.0","104000.0","103000.0","103000.0","104000.0","104000.0","104000.0","103000.0","103000.0","102000.0","101000.0","100000.0","98000.0","97000.0","96000.0","95000.0","95000.0","95000.0","95000.0"
"IMF.RES:WEO(6.0.0)","MDA.LP.A","OBS_VALUE","Moldova, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","2970000.0","2960000.0","2950000.0","2946000.0","2941000.0","2934000.0","2928000.0","2920000.0","2911000.0","2906000.0","2897000.0","2890000.0","2883000.0","2879000.0","2876000.0","2873000.0","2873000.0","2873000.0","2871000.0","2869000.0","2845000.0","2824000.0","2780000.0","2730000.0","2685000.0","2644000.0","2627000.0","2565000.0","2492000.0","2423000.0","2356000.0"
"IMF.RES:WEO(6.0.0)","MHL.LP.A","OBS_VALUE","Marshall Islands, Republic of the","Population, Persons for countries / Index for country groups","Annual","Millions","","","49000.0","50000.0","51000.0","51000.0","51000.0","50000.0","50000.0","50000.0","51000.0","51000.0","52000.0","52000.0","52000.0","53000.0","53000.0","53000.0","52000.0","51000.0","50000.0","49000.0","47000.0","45000.0","44000.0","44000.0","42000.0","41000.0","40000.0","38000.0","36000.0"
"IMF.RES:WEO(6.0.0)","MRT.LP.A","OBS_VALUE","Mauritania, Islamic Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","2292000.0","2358000.0","2425000.0","2495000.0","2568000.0","2643000.0","2720000.0","2800000.0","2882000.0","2965000.0","3047000.0","2953000.0","3036000.0","3119000.0","3202000.0","3285000.0","3369000.0","3454000.0","3537000.0","3621000.0","3706000.0","3794000.0","3881000.0","3970000.0","4058000.0","4147000.0","4240000.0","4334000.0","4430000.0","4529000.0","4629000.0"
"IMF.RES:WEO(6.0.0)","NRU.LP.A","OBS_VALUE","Nauru, Republic of","Population, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","","10000.0","10000.0","9000.0","9000.0","9000.0","10000.0","10000.0","10000.0","10000.0","11000.0","11000.0","12000.0","12000.0","13000.0","12000.0","12000.0","12000.0","12000.0","13000.0","13000.0","13000.0","13000.0"
"IMF.RES:WEO(6.0.0)","MNE.LP.A","OBS_VALUE","Montenegro","Population, Persons for countries / Index for country groups","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","633000.0","634000.0","634000.0"
"IMF.RES:WEO(6.0.0)","MNG.LP.A","OBS_VALUE","Mongolia","Population, Persons for countries / Index for country groups","Annual","Millions","2243000.0","2276000.0","2307000.0","2340000.0","2373000.0","2403000.0","2432000.0","2466000.0","2495000.0","2522000.0","2551000.0","2583000.0","2620000.0","2666000.0","2716000.0","2761000.0","2812000.0","2868000.0","2930000.0","2996000.0","3058000.0","3120000.0","3178000.0","3238000.0","3297000.0","3358000.0","3410000.0","3458000.0","3505000.0","3545000.0","3584000.0"
