Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGFRA10D,France 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,France Franc (Euro from 01/01/1999),France,,,,,,,Percent per Annum,Units,Stock,none,Annual From Dec 1387 To Dec 1745<BR>Monthly From Jan 1746 To Jan 1798<BR>Daily From Jan 1798 To Nov 1816<BR>Monthly From Dec 1816 To Nov 1819<BR>Daily From Nov 1819 To Feb 1834<BR>Monthly From Mar 1834 To Jul 1836<BR>Daily From Aug 1836 To Nov 1837<BR>Monthly From Dec 1837 To May 1844<BR>Weekly From May 1844 To Dec 1844<BR>Daily From Dec 1844 To Jan 1862<BR>Monthly From Feb 1862 To Nov 1983<BR>Weekly From Dec 1983 To Jan 1985<BR>Daily From Feb 1985 To Jul 2025<BR>,"Sources: Paul Schmelzing, Eight Centuries of Global Real interest Rates, R-G, and the 'suprasecular' decline, 1311-2018,' Bank of England Staff Working Paper No. 845; Francois R. Velde and David R. Weir, The Financial Market and Government Debt Policy in France, 1746-1793, Journal of Economic History, 52 (1), March 1992, pp. 1-39; Alphonse Courtois, Tableaux des cours des principales valeurs, 2nd Edition, Paris 1873; Alphonse Courtois, Tableaux des Cours des Principales Valeurs, Paris: Garnier Freres, 1877; The Times, London (1822-1844), The Banker's Magazine, London (1845-1865), Investor's Monthly Manual, London: The Economist (1866-1873), L'Economiste Francais (1874-1897); Jean Dessirer, 'Le Prevision statistique des Mouvements des Valeurs de Bourse,' Journal de la Societe Statistique de Paris, (May 1928): 160-192, (1898-1911) as collected from Reforme Economique; Institut National de la Statistique et des Etudes Economiques, Annuaire Statistique de la France, Paris: INSEE, BULLETIN MENSAL STATISTIQUE, PARIS: INSEE and INSEE, Bulletin Mensuel Statistique, Paris: INSEE (1800-)  <br />Notes: Annual data from 1387 to 1745 is taken from Schmelzing. The Paris Stock Exchange was formally founded on September 24, 1724. Although numerous bonds, annuities and lotteries were listed on the Paris Stock Exchange in the 1700s, the only bond for which consistent data is available is the Compagnie des Indes 5% Billets d'Emprunt (CIND1B5-PA) and we use this as a proxy for French government bonds since its yield tracked those of French government bonds very well. The Stock Exchange was closed on June 27, 1793, reopened near the Louvre on May 10, 1795, closed again on December 13, 1795, reopened on January 12, 1795. The France Inscriptions de Rente de 1797 was quoted between August 1795 and March 1796. France defaulted on its pre-revolutionary debts in 1796 and provided holders with new 5% Rentes at 1/3 of the value of the original bonds imposing a 2/3 loss on bondholders. After reopening the France 5% Rentes Consolides (BGFRA5R-PA) was the primary government bond traded on the stock Exchange and it is used from January 1797 until April 1825 when it was replaced by the France 3% Rentes of 1825 (BGFRA325-PA) which is used from May 1825 to January 1862. For bond yields in France, the France 3% Rentes of 1862 (BGFRA362-PA) is used from February 1862 to June 1949.  External yields are provided by France 3% Perpetual Rentes of 1862 (BGFRA362-LO) from February 1862 to June 1930. The 5% consols issued in 1949 are used from 1950 until 1971, and an index of public and semi-public bond yields for issues guaranteed by the government is used from 1972 to 1983.  Data for the 10-year bond begins in November 1983. The Tec-10 Index Yields for Constant Maturity French Bonds is used beginning April 9, 1996.",
Date,Ticker,Open,High,Low,Close
12/31/1660,IGFRA10D,14.0500000,14.0500000,14.0500000,14.0500000
12/31/1661,IGFRA10D,11.1500000,11.1500000,11.1500000,11.1500000
12/31/1662,IGFRA10D,11.1452381,11.1452381,11.1452381,11.1452381
12/31/1663,IGFRA10D,11.1404762,11.1404762,11.1404762,11.1404762
12/31/1664,IGFRA10D,11.1357143,11.1357143,11.1357143,11.1357143
12/31/1665,IGFRA10D,11.1309524,11.1309524,11.1309524,11.1309524
12/31/1666,IGFRA10D,11.1261905,11.1261905,11.1261905,11.1261905
12/31/1667,IGFRA10D,11.1214286,11.1214286,11.1214286,11.1214286
12/31/1668,IGFRA10D,11.1166667,11.1166667,11.1166667,11.1166667
12/31/1669,IGFRA10D,11.1119048,11.1119048,11.1119048,11.1119048
12/31/1670,IGFRA10D,11.1071429,11.1071429,11.1071429,11.1071429
12/31/1671,IGFRA10D,7.6523810,7.6523810,7.6523810,7.6523810
12/31/1672,IGFRA10D,7.6476190,7.6476190,7.6476190,7.6476190
12/31/1673,IGFRA10D,7.6428571,7.6428571,7.6428571,7.6428571
12/31/1674,IGFRA10D,7.6380952,7.6380952,7.6380952,7.6380952
12/31/1675,IGFRA10D,7.6333333,7.6333333,7.6333333,7.6333333
12/31/1676,IGFRA10D,7.6285714,7.6285714,7.6285714,7.6285714
12/31/1677,IGFRA10D,7.6238095,7.6238095,7.6238095,7.6238095
12/31/1678,IGFRA10D,7.6190476,7.6190476,7.6190476,7.6190476
12/31/1679,IGFRA10D,7.6142857,7.6142857,7.6142857,7.6142857
12/31/1680,IGFRA10D,7.6095238,7.6095238,7.6095238,7.6095238
12/31/1681,IGFRA10D,7.6047619,7.6047619,7.6047619,7.6047619
12/31/1682,IGFRA10D,7.6000000,7.6000000,7.6000000,7.6000000
12/31/1683,IGFRA10D,7.5952381,7.5952381,7.5952381,7.5952381
12/31/1684,IGFRA10D,7.5904762,7.5904762,7.5904762,7.5904762
12/31/1685,IGFRA10D,7.5857143,7.5857143,7.5857143,7.5857143
12/31/1686,IGFRA10D,7.5809524,7.5809524,7.5809524,7.5809524
12/31/1687,IGFRA10D,7.5761905,7.5761905,7.5761905,7.5761905
12/31/1688,IGFRA10D,7.5714286,7.5714286,7.5714286,7.5714286
12/31/1689,IGFRA10D,8.6380952,8.6380952,8.6380952,8.6380952
12/31/1690,IGFRA10D,7.5619048,7.5619048,7.5619048,7.5619048
12/31/1691,IGFRA10D,7.8349206,7.8349206,7.8349206,7.8349206
12/31/1692,IGFRA10D,7.8301587,7.8301587,7.8301587,7.8301587
12/31/1693,IGFRA10D,8.5694444,8.5694444,8.5694444,8.5694444
12/31/1694,IGFRA10D,8.6142857,8.6142857,8.6142857,8.6142857
12/31/1695,IGFRA10D,8.6095238,8.6095238,8.6095238,8.6095238
12/31/1696,IGFRA10D,9.1570447,9.1570447,9.1570447,9.1570447
12/31/1697,IGFRA10D,7.8410714,7.8410714,7.8410714,7.8410714
12/31/1698,IGFRA10D,7.9384633,7.9384633,7.9384633,7.9384633
12/31/1699,IGFRA10D,7.5190476,7.5190476,7.5190476,7.5190476
12/31/1700,IGFRA10D,7.5142857,7.5142857,7.5142857,7.5142857
