Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGGRC10D,Greece 10-year Government Note Yield,Government Bond Yields,Greece Drachma (Euro from 01/01/2001),Greece,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Feb 1824 To Apr 1970<BR>Annual From Dec 1970 To Dec 1980<BR>Monthly From Jan 1981 To Sep 1992<BR>Daily From Oct 1992 To Jul 2025<BR>,"Sources: The Economist (1863-1926), League of Nations, Statistical Yearbook, Geneva: League of Nations (1927-1940)  Notes: Greece first issued bonds even before it was an independent country. The Greece 5% Blue Bond of 1825 (BGGRC525-LO) is used from February 1824 to December 1844.  Greece issued bonds guaranteed by Britain, France and Russia in 1833, but these are not used since they reflected the risk of the guarantors rather than Greece which eventually defaulted forcing the guarantors to redeem the bonds. The Greece 5% Bonds of 1824-1825 ex. Coupons (BGGRC525X-LO) are used from January 1845 to July 1881, the Greece Independence 5% Loan of 1879 (BGGRC579-LO) is used from June 1880 to February 1888, the Greece 4% Monopoly Loan of 1887 (Redeemable 1962) (BGGRC4M-LO) is used from March 1888 to November 1936, and the Greece 7% Refugee Loan of 1924 (Redeemable 1964) (BGGRC7-LO) is used from December 1936 to April 1970.Greece made 5 coupon payments between 1824 and 1826 before defaulting and remained in default until 1881. Partial interest payments of 30% were made between 1893 to 1898 before Greece returned to full payment. Interest payments were reduced to 32% of the face value on the 5s and 43% of face value on the 4s generating a true coupon of 1.6% in 1922 and interest payments were suspended in 1932. Notes: The Greek 5s of 1824-1825 are used from February 1824 through May 1880. No data are available from June 1880 through January 1881 when the Greek loans were reorganized. The Greek Independence 5s of 1879 are used from February 1881 through December 1889. Two other series are available for the pre-World War I period.  The Greek 5s of 1881 are available from November 1882 through July 1914. The Greece 5% Loan of 1914 in London is used from January 1915 to April 1928, the Greece 6% Stabilization Loan from May 1928 to 1939, the Greece 6% S.F. Securities of 1928 due 1968 Partially Paid from 1940 to 1966 and again the Greece 6% Stabilization Loan from 1967 to 1970.The Greek Monopoly 4s are replaced by the 4s of 1884 in March 1922 and are available through November 1925. Yields for the two series are based upon coupons of 5% and 4% respectively; however, the 5s were paid at 32% of face value and the 4s were paid at 43% of face value generating a true coupon of about 1.6% from 1907 through 1914. The general series uses the 5s of 1824/1879 through November 1887, the 4% Monopoly series from December 1887 through November 1924. Annual data in the 1970s uses the 5% 20 Pound bond of 1881.
Source: Bank of Greece The benchmark bond is used for this series.  The benchmark bond is the bond that is closest to the stated maturity without exceeding it.  When the government issues a new bond of the stated maturity, it replaces the bond used for the index to keep the maturity as close to the stated time period as possible.  Depending on how much of a difference there is in maturities, there may be some adjustment in the yield when the new bond is introduced. Source: Eurostat. Eurostat collects data from the statistical agencies of the 27 member countries of the European Economic Community, candidate countries (Macedonia, Croatia and Turkey), EFTA countries (Iceland, Norway, Liechtenstein and Switzerland) as well as other countries (Japan, Australia, United States). Statistical agencies within each country disseminate their national data to Eurostat in order that it can be made available in a consistent format.",
Date,Ticker,Open,High,Low,Close
02/29/1824,IGGRC10D,,,,9.4560000
03/31/1824,IGGRC10D,,,,9.5010000
04/30/1824,IGGRC10D,,,,10.4440000
05/31/1824,IGGRC10D,,,,11.9050000
06/30/1824,IGGRC10D,,,,12.4610000
07/31/1824,IGGRC10D,,,,14.4930000
08/31/1824,IGGRC10D,,,,14.2860000
09/30/1824,IGGRC10D,,,,14.4930000
10/31/1824,IGGRC10D,,,,11.1730000
11/30/1824,IGGRC10D,,,,11.1730000
12/31/1824,IGGRC10D,,,,11.1730000
01/31/1825,IGGRC10D,,,,11.1730000
02/28/1825,IGGRC10D,,,,9.8400000
03/31/1825,IGGRC10D,,,,11.0800000
04/30/1825,IGGRC10D,,,,10.9890000
05/31/1825,IGGRC10D,,,,12.5390000
06/30/1825,IGGRC10D,,,,12.8620000
07/31/1825,IGGRC10D,,,,13.3780000
08/31/1825,IGGRC10D,,,,14.7060000
09/30/1825,IGGRC10D,,,,19.3240000
10/31/1825,IGGRC10D,,,,19.6080000
11/30/1825,IGGRC10D,,,,27.0270000
12/31/1825,IGGRC10D,,,,30.5340000
01/31/1826,IGGRC10D,,,,31.0080000
02/28/1826,IGGRC10D,,,,27.9720000
03/31/1826,IGGRC10D,,,,28.1690000
04/30/1826,IGGRC10D,,,,35.7140000
05/31/1826,IGGRC10D,,,,33.8980000
06/30/1826,IGGRC10D,,,,35.0880000
07/31/1826,IGGRC10D,,,,40.0000000
08/31/1826,IGGRC10D,,,,37.3830000
09/30/1826,IGGRC10D,,,,36.3640000
10/31/1826,IGGRC10D,,,,37.0370000
11/30/1826,IGGRC10D,,,,25.4780000
12/31/1826,IGGRC10D,,,,28.9860000
01/31/1827,IGGRC10D,,,,31.4960000
02/28/1827,IGGRC10D,,,,30.5340000
03/31/1827,IGGRC10D,,,,31.0080000
04/30/1827,IGGRC10D,,,,30.5340000
05/31/1827,IGGRC10D,,,,30.3030000
06/30/1827,IGGRC10D,,,,29.4120000
07/31/1827,IGGRC10D,,,,32.2580000
08/31/1827,IGGRC10D,,,,32.2580000
09/30/1827,IGGRC10D,,,,31.7460000
10/31/1827,IGGRC10D,,,,31.4960000
11/30/1827,IGGRC10D,,,,26.6670000
12/31/1827,IGGRC10D,,,,29.4120000
01/31/1828,IGGRC10D,,,,28.5710000
02/29/1828,IGGRC10D,,,,29.4120000
03/31/1828,IGGRC10D,,,,29.4120000
04/30/1828,IGGRC10D,,,,29.8510000
05/31/1828,IGGRC10D,,,,28.9860000
06/30/1828,IGGRC10D,,,,27.7780000
07/31/1828,IGGRC10D,,,,28.5710000
08/31/1828,IGGRC10D,,,,27.0270000
09/30/1828,IGGRC10D,,,,25.6410000
10/31/1828,IGGRC10D,,,,28.5710000
11/30/1828,IGGRC10D,,,,28.5710000
12/31/1828,IGGRC10D,,,,30.3030000
01/31/1829,IGGRC10D,,,,32.2580000
02/28/1829,IGGRC10D,,,,35.0880000
03/31/1829,IGGRC10D,,,,34.4830000
04/30/1829,IGGRC10D,,,,33.3330000
