Country,Date,Agency,Rating,Outlook
Argentina,7/17/2025,Moody's,Caa1,Stable
Argentina,5/12/2025,Fitch,CCC+,N/A
Argentina,1/25/2025,Moody's,Caa3,Positive
Argentina,11/25/2024,DBRS,B (low),Stable
Argentina,11/15/2024,Fitch,CCC,N/A
Argentina,3/15/2024,S&P,CCC,Stable
Argentina,6/13/2023,Fitch,CC,N/A
Argentina,3/29/2023,S&P,CCC-,Negative
Argentina,3/24/2023,Fitch,C,N/A
Argentina,11/16/2022,S&P,CCC+,Negative
Argentina,10/26/2022,Fitch,CCC-,N/A
Argentina,9/28/2020,Moody's,Ca,Stable
Argentina,9/10/2020,Fitch,CCC,N/A
Argentina,9/10/2020,DBRS,CCC,Stable
Argentina,9/7/2020,S&P,CCC+,Stable
Argentina,5/26/2020,Fitch,RD,N/A
Argentina,4/17/2020,Fitch,C,N/A
Argentina,4/7/2020,Fitch,CC,N/A
Argentina,4/7/2020,S&P,SD,N/A
Argentina,4/6/2020,Fitch,RD,N/A
Argentina,4/3/2020,Moody's,Ca,Negative
Argentina,1/7/2020,S&P,CCC-,Negative
Argentina,12/30/2019,S&P,CC,Negative
Argentina,12/23/2019,Fitch,CC,N/A
Argentina,12/23/2019,DBRS,SD,N/A
Argentina,12/20/2019,Fitch,RD,N/A
Argentina,12/20/2019,S&P,SD,Negative
Argentina,9/3/2019,Fitch,CC,N/A
Argentina,8/30/2019,Fitch,RD,N/A
Argentina,8/30/2019,Moody's,Caa2,Under Review
Argentina,8/30/2019,S&P,CCC-,Negative
Argentina,8/30/2019,DBRS,CC,Under Review
Argentina,8/29/2019,S&P,SD,N/A
Argentina,8/16/2019,S&P,B-,Negative
Argentina,8/16/2019,Fitch,CCC,Negative
Argentina,7/12/2019,Moody's,B2,Negative
Argentina,11/12/2018,S&P,B,Stable
Argentina,11/7/2018,Fitch,B,Negative
Argentina,8/31/2018,S&P,B+,Negative Watch
Argentina,5/4/2018,Fitch,B,Stable
Argentina,11/29/2017,Moody's,B2,Stable
Argentina,11/7/2017,Fitch,B,Positive
Argentina,10/30/2017,S&P,B+,Stable
Argentina,4/4/2017,S&P,B,Stable
Argentina,3/6/2017,Moody's,B3,Positive
Argentina,5/13/2016,DBRS,B,Stable
Argentina,5/10/2016,Fitch,B,Stable
Argentina,5/6/2016,S&P,B-,Stable
Argentina,4/15/2016,Moody's,B3,Stable
Argentina,11/24/2015,Moody's,Caa1,Positive
Argentina,11/2/2015,Moody's,Caa1,Stable
Argentina,7/31/2014,Moody's,Caa1,Negative
Argentina,7/31/2014,Fitch,RD,N/A
Argentina,7/31/2014,DBRS,SD,N/A
Argentina,7/30/2014,S&P,SD,N/A
Argentina,7/1/2014,S&P,CCC-,Negative Watch
Argentina,6/20/2014,DBRS,CC,Under Review
Argentina,6/17/2014,S&P,CCC-,Negative
Argentina,3/17/2014,Moody's,Caa1,Stable
Argentina,2/18/2014,DBRS,CCC (high),Negative
Argentina,9/10/2013,S&P,CCC+,Negative
Argentina,8/30/2013,DBRS,B (low),Under Review
Argentina,11/27/2012,Fitch,CC,N/A
Argentina,11/12/2012,DBRS,B,Under Review
Argentina,10/30/2012,Fitch,B,Negative Watch
Argentina,10/30/2012,S&P,B-,Negative
Argentina,9/17/2012,Moody's,B3,Negative
Argentina,4/23/2012,S&P,B,Negative
Argentina,10/5/2011,DBRS,B,Stable
Argentina,10/19/2010,DBRS,B (low),Positive
Argentina,9/13/2010,S&P,B,Stable
Argentina,7/12/2010,Fitch,B,Stable
Argentina,10/31/2008,S&P,B-,Stable
Argentina,10/22/2008,DBRS,B (low),Negative
Argentina,8/14/2008,Moody's,B3,Stable
Argentina,8/11/2008,S&P,B,Stable
Argentina,4/25/2008,S&P,B+,Negative
Argentina,9/6/2007,DBRS,B (low),Stable
Argentina,1/16/2007,Moody's,B3,Positive
Argentina,10/2/2006,S&P,B+,Stable
Argentina,3/23/2006,S&P,B,Stable
Argentina,12/14/2005,Fitch,RD,N/A
Argentina,6/29/2005,Moody's,B3,Stable
Argentina,6/3/2005,Fitch,DDD,N/A
Argentina,6/1/2005,S&P,B-,Stable
Argentina,1/14/2005,Fitch,D,N/A
Argentina,8/20/2003,Moody's,Caa1,Stable
Argentina,12/21/2001,Moody's,Ca,Stable
Argentina,12/3/2001,Fitch,DDD,N/A
Argentina,11/6/2001,Fitch,C,Negative Watch
Argentina,11/6/2001,S&P,SD,N/A
Argentina,11/2/2001,Fitch,CC,Negative Watch
Argentina,10/30/2001,S&P,CC,Negative
Argentina,10/12/2001,Fitch,CCC-,Negative
Argentina,10/12/2001,Moody's,Caa3,Stable
Argentina,10/9/2001,S&P,CCC+,Negative
Argentina,7/26/2001,Moody's,Caa1,Negative
Argentina,7/13/2001,Moody's,B3,Negative Watch
Argentina,7/12/2001,S&P,B-,Negative
Argentina,7/11/2001,Fitch,B-,Negative
Argentina,6/6/2001,S&P,B,Negative
Argentina,5/8/2001,S&P,B,Negative Watch
Argentina,3/28/2001,Fitch,B+,Negative Watch
Argentina,3/28/2001,Moody's,B2,Negative Watch
Argentina,3/26/2001,S&P,B+,Negative Watch
Argentina,3/20/2001,Fitch,BB-,Negative Watch
Argentina,3/19/2001,S&P,BB-,Negative Watch
Argentina,11/21/2000,Moody's,B1,Negative
Argentina,11/14/2000,S&P,BB-,Stable
Argentina,9/22/2000,S&P,BB,Negative Watch
Argentina,9/21/2000,Fitch,BB,Negative
Argentina,2/10/2000,S&P,BB,Stable
Argentina,10/6/1999,Moody's,B1,Stable
Argentina,8/20/1999,Moody's,Ba3,Negative Watch
Argentina,7/22/1999,S&P,BB,Negative
Argentina,9/3/1998,Moody's,Ba3,Negative Watch
Argentina,10/2/1997,Moody's,Ba3,Stable
Argentina,5/28/1997,Fitch,BB,N/A
Argentina,4/2/1997,S&P,BB,Stable
Argentina,5/16/1995,Moody's,B1,Positive Watch
Argentina,3/8/1995,S&P,BB-,Stable
Argentina,2/4/1994,S&P,BB-,Positive
Argentina,8/25/1993,S&P,BB-,Stable
Argentina,7/13/1992,Moody's,B1,Positive
Argentina,5/26/1989,Moody's,B3,Negative
Argentina,12/4/1987,Moody's,B2,Negative
Argentina,11/18/1985,Moody's,Ba3,Stable
