Country,Date,Agency,Rating,Outlook
Brazil,5/30/2025,Moody's,Ba1,Stable
Brazil,10/1/2024,Moody's,Ba1,Positive
Brazil,5/1/2024,Moody's,Ba2,Positive
Brazil,12/19/2023,S&P,BB,Stable
Brazil,7/28/2023,DBRS,BB,Stable
Brazil,7/26/2023,Fitch,BB,Stable
Brazil,6/14/2023,S&P,BB-,Positive
Brazil,7/15/2022,Fitch,BB-,Stable
Brazil,5/5/2020,Fitch,BB-,Negative
Brazil,4/6/2020,S&P,BB-,Stable
Brazil,12/11/2019,S&P,BB-,Positive
Brazil,4/9/2018,Moody's,Ba2,Stable
Brazil,3/16/2018,DBRS,BB (low),Stable
Brazil,2/23/2018,Fitch,BB-,Stable
Brazil,1/11/2018,S&P,BB-,Stable
Brazil,8/15/2017,S&P,BB,Negative
Brazil,5/26/2017,Moody's,Ba2,Negative
Brazil,5/22/2017,S&P,BB,Negative Watch
Brazil,3/15/2017,Moody's,Ba2,Stable
Brazil,8/1/2016,DBRS,BB,Negative
Brazil,5/5/2016,Fitch,BB,Negative
Brazil,3/15/2016,DBRS,BB (high),Negative
Brazil,3/15/2016,DBRS,BBB (low),Negative
Brazil,2/24/2016,Moody's,Ba2,Negative
Brazil,2/17/2016,S&P,BB,Negative
Brazil,12/16/2015,Fitch,BB+,Negative
Brazil,12/9/2015,Moody's,Baa3,Negative Watch
Brazil,10/15/2015,Fitch,BBB-,Negative
Brazil,9/9/2015,S&P,BB+,Negative
Brazil,8/11/2015,Moody's,Baa3,Stable
Brazil,8/7/2015,DBRS,BBB (low),Stable
Brazil,7/28/2015,S&P,BBB-,Negative
Brazil,4/9/2015,Fitch,BBB,Negative
Brazil,9/9/2014,Moody's,Baa2,Negative
Brazil,8/1/2014,DBRS,BBB,Stable
Brazil,3/24/2014,S&P,BBB-,Stable
Brazil,10/2/2013,Moody's,Baa2,Stable
Brazil,6/6/2013,S&P,BBB,Negative
Brazil,11/18/2011,DBRS,BBB,Stable
Brazil,11/17/2011,S&P,BBB,Stable
Brazil,6/20/2011,Moody's,Baa2,Positive
Brazil,5/23/2011,S&P,BBB-,Positive
Brazil,4/4/2011,Fitch,BBB,Stable
Brazil,6/28/2010,Fitch,BBB-,Positive
Brazil,9/22/2009,Moody's,Baa3,Positive
Brazil,7/6/2009,Moody's,Ba1,Positive Watch
Brazil,5/29/2008,Fitch,BBB-,Stable
Brazil,5/28/2008,DBRS,BBB (low),Stable
Brazil,4/30/2008,S&P,BBB-,Stable
Brazil,8/23/2007,Moody's,Ba1,Stable
Brazil,6/18/2007,DBRS,BB (high),Positive
Brazil,5/24/2007,Moody's,Ba2,Positive Watch
Brazil,5/16/2007,S&P,BB+,Positive
Brazil,5/10/2007,Fitch,BB+,Stable
Brazil,2/5/2007,Fitch,BB,Positive
Brazil,11/22/2006,S&P,BB,Positive
Brazil,8/31/2006,Moody's,Ba2,Stable
Brazil,8/1/2006,Moody's,Ba3,Positive Watch
Brazil,7/6/2006,DBRS,BB,Stable
Brazil,6/28/2006,Fitch,BB,Stable
Brazil,2/28/2006,S&P,BB,Stable
Brazil,11/8/2005,S&P,BB-,Positive
Brazil,10/12/2005,Moody's,Ba3,Stable
Brazil,10/11/2005,Fitch,BB-,Positive
Brazil,9/28/2004,Fitch,BB-,Stable
Brazil,9/17/2004,S&P,BB-,Stable
Brazil,9/9/2004,Moody's,B1,Stable
Brazil,12/11/2003,S&P,B+,Positive
Brazil,11/6/2003,Fitch,B+,Stable
Brazil,6/3/2003,Fitch,B,Positive
Brazil,4/29/2003,S&P,B+,Stable
Brazil,3/10/2003,Fitch,B,Stable
Brazil,10/21/2002,Fitch,B,Negative
Brazil,8/12/2002,Moody's,B2,Stable
Brazil,8/1/2002,Fitch,B+,Negative Watch
Brazil,7/2/2002,S&P,B+,Negative
Brazil,6/20/2002,Moody's,B1,Negative
Brazil,6/20/2002,Fitch,B+,Negative
Brazil,6/4/2002,Moody's,B1,Stable
Brazil,2/27/2002,Moody's,B1,Positive
Brazil,8/9/2001,S&P,BB-,Negative
Brazil,7/17/2001,Fitch,BB-,Negative
Brazil,1/3/2001,S&P,BB-,Stable
Brazil,10/16/2000,Moody's,B1,Stable
Brazil,9/21/2000,Fitch,BB-,Stable
Brazil,8/17/2000,Moody's,B2,Positive Watch
Brazil,5/19/2000,Fitch,BB-,N/A
Brazil,2/29/2000,S&P,B+,Positive
Brazil,2/22/2000,Fitch,B+,N/A
Brazil,11/10/1999,S&P,B+,Stable
Brazil,1/26/1999,Fitch,B,N/A
Brazil,1/14/1999,S&P,B+,Negative
Brazil,9/10/1998,S&P,BB-,Negative
Brazil,9/3/1998,Moody's,B2,Stable
Brazil,4/2/1997,S&P,BB-,Stable
Brazil,12/20/1995,S&P,B+,Positive
Brazil,7/18/1995,S&P,B+,Stable
Brazil,12/1/1994,Fitch,B+,N/A
Brazil,11/30/1994,S&P,B,Positive
Brazil,11/30/1994,Moody's,B1,Stable
Brazil,10/5/1994,Moody's,B2,Positive Watch
Brazil,3/28/1989,Moody's,B2,Stable
Brazil,12/4/1987,Moody's,B1,Stable
Brazil,10/18/1986,Moody's,Ba1,Stable
