Country,Date,Agency,Rating,Outlook
Bulgaria,7/10/2025,Fitch,BBB+,Stable
Bulgaria,7/10/2025,S&P,BBB+,Stable
Bulgaria,5/2/2025,DBRS,BBB (high),Stable
Bulgaria,11/24/2023,S&P,BBB,Positive
Bulgaria,2/19/2021,Fitch,BBB,Positive
Bulgaria,10/9/2020,Moody's,Baa1,Stable
Bulgaria,5/29/2020,S&P,BBB,Stable
Bulgaria,4/24/2020,Fitch,BBB,Stable
Bulgaria,11/29/2019,S&P,BBB,Positive
Bulgaria,8/30/2019,Moody's,Baa2,Positive
Bulgaria,3/22/2019,Fitch,BBB,Positive
Bulgaria,6/1/2018,S&P,BBB-,Positive
Bulgaria,12/1/2017,Fitch,BBB,Stable
Bulgaria,12/1/2017,S&P,BBB-,Stable
Bulgaria,6/2/2017,S&P,BB+,Positive
Bulgaria,6/2/2017,Fitch,BBB-,Positive
Bulgaria,12/12/2014,S&P,BB+,Stable
Bulgaria,6/13/2014,S&P,BBB-,Stable
Bulgaria,1/10/2014,Fitch,BBB-,Stable
Bulgaria,12/13/2013,S&P,BBB,Negative
Bulgaria,12/13/2011,Fitch,BBB-,Stable
Bulgaria,7/22/2011,Moody's,Baa2,Stable
Bulgaria,5/24/2011,Fitch,BBB-,Positive
Bulgaria,4/5/2011,Moody's,Baa3,Positive Watch
Bulgaria,12/1/2009,S&P,BBB,Stable
Bulgaria,4/30/2009,Fitch,BBB-,Negative
Bulgaria,11/9/2008,Fitch,BBB-,Stable
Bulgaria,10/30/2008,S&P,BBB,Negative
Bulgaria,10/23/2008,S&P,BBB+,Negative Watch
Bulgaria,1/31/2008,Fitch,BBB,Negative
Bulgaria,10/26/2006,S&P,BBB+,Stable
Bulgaria,3/1/2006,Moody's,Baa3,Stable
Bulgaria,12/21/2005,Moody's,Ba1,Positive Watch
Bulgaria,10/27/2005,S&P,BBB,Positive
Bulgaria,8/17/2005,Fitch,BBB,Stable
Bulgaria,2/10/2005,S&P,BBB-,Positive
Bulgaria,11/17/2004,Moody's,Ba1,Stable
Bulgaria,8/25/2004,Moody's,Ba2,Positive Watch
Bulgaria,8/4/2004,Fitch,BBB-,Positive
Bulgaria,6/24/2004,S&P,BBB-,Stable
Bulgaria,7/24/2003,Fitch,BB+,Positive
Bulgaria,6/5/2003,Moody's,Ba2,Positive
Bulgaria,5/22/2003,S&P,BB+,Stable
Bulgaria,12/16/2002,Moody's,B1,Positive
Bulgaria,10/29/2002,Fitch,BB,Positive
Bulgaria,10/7/2002,S&P,BB,Positive
Bulgaria,1/14/2002,Fitch,BB-,Stable
Bulgaria,12/19/2001,Moody's,B1,Stable
Bulgaria,11/7/2001,S&P,BB-,Stable
Bulgaria,9/21/2000,Fitch,B+,Positive
Bulgaria,5/10/2000,S&P,B+,Positive
Bulgaria,11/23/1998,S&P,B,Positive
Bulgaria,4/17/1998,Fitch,B+,N/A
Bulgaria,12/26/1997,Moody's,B2,Stable
Bulgaria,9/27/1996,Moody's,B3,Stable
