Country,Date,Agency,Rating,Outlook
Chile,10/15/2024,S&P,A,Stable
Chile,10/19/2023,S&P,A,Negative
Chile,9/15/2022,Moody's,A2,Stable
Chile,3/24/2021,S&P,A,Stable
Chile,10/15/2020,Fitch,A-,Stable
Chile,8/25/2020,Moody's,A1,Negative
Chile,4/27/2020,S&P,A+,Negative
Chile,3/12/2020,Fitch,A,Negative
Chile,7/26/2018,Moody's,A1,Stable
Chile,8/24/2017,Moody's,Aa3,Negative
Chile,8/11/2017,Fitch,A,Stable
Chile,7/13/2017,S&P,A+,Stable
Chile,4/12/2017,DBRS,N/A,N/A
Chile,1/26/2017,S&P,AA-,Negative
Chile,12/13/2016,Fitch,A+,Negative
Chile,2/8/2013,DBRS,AA (low),Stable
Chile,12/26/2012,S&P,AA-,Stable
Chile,12/20/2011,DBRS,A (high),Positive
Chile,11/21/2011,Fitch,A+,Stable
Chile,2/1/2011,Fitch,A+,Stable
Chile,12/16/2010,S&P,A+,Positive
Chile,6/16/2010,Moody's,Aa3,Stable
Chile,3/23/2009,Moody's,A1,Stable
Chile,11/20/2008,Moody's,A2,Positive Watch
Chile,11/10/2008,Fitch,A,Stable
Chile,12/18/2007,S&P,A+,Stable
Chile,5/15/2007,Fitch,A,Positive
Chile,12/14/2006,S&P,A,Positive
Chile,7/7/2006,Moody's,A2,Stable
Chile,5/30/2006,DBRS,A (high),Stable
Chile,3/21/2006,Moody's,Baa1,Positive Watch
Chile,3/28/2005,Fitch,A,Stable
Chile,2/2/2004,Fitch,A-,Positive
Chile,1/14/2004,S&P,A,Stable
Chile,2/24/2003,Fitch,A-,Stable
Chile,4/16/2002,S&P,A-,Positive
Chile,9/21/2000,Fitch,A-,Stable
Chile,8/30/1995,Fitch,A-,N/A
Chile,7/11/1995,S&P,A-,Stable
Chile,6/29/1995,Moody's,Baa1,Stable
Chile,5/3/1995,Moody's,Baa2,Positive Watch
Chile,11/10/1994,Fitch,BBB+,N/A
Chile,2/17/1994,Moody's,Baa2,Stable
Chile,12/20/1993,S&P,BBB+,Stable
Chile,8/17/1992,S&P,BBB,Stable
