Country,Date,Agency,Rating,Outlook
China,4/3/2025,Fitch,A,Stable
China,4/9/2024,Fitch,A+,Negative
China,12/5/2023,Moody's,A1,Negative
China,11/9/2023,DBRS,A,Stable
China,11/10/2022,DBRS,A (high),Negative
China,11/13/2020,DBRS,A (high),Stable
China,3/21/2019,DBRS,A (high),Negative
China,9/21/2017,S&P,A+,Stable
China,5/24/2017,Moody's,A1,Stable
China,3/31/2016,S&P,AA-,Negative
China,3/2/2016,Moody's,Aa3,Negative
China,9/29/2014,DBRS,A (high),Stable
China,4/16/2013,Moody's,Aa3,Stable
China,12/16/2010,S&P,AA-,Stable
China,11/11/2010,Moody's,Aa3,Positive
China,11/9/2009,Moody's,A1,Positive
China,7/31/2008,S&P,A+,Stable
China,11/5/2007,Fitch,A+,Stable
China,7/26/2007,Moody's,A1,Stable
China,7/26/2007,S&P,A,Positive
China,5/30/2007,Moody's,A2,Positive
China,9/13/2006,Fitch,A,Positive
China,7/27/2006,S&P,A,Stable
China,10/16/2005,Fitch,A,Stable
China,7/19/2005,S&P,A-,Positive
China,2/17/2004,S&P,BBB+,Positive
China,10/15/2003,Moody's,A2,Stable
China,10/13/2003,Fitch,A-,Positive
China,5/14/2003,Fitch,A-,Stable
China,4/15/2003,S&P,BBB,Positive
China,11/22/2002,Moody's,A3,Positive
China,8/14/2001,Moody's,A3,Stable
China,9/21/2000,Fitch,A-,Stable
China,7/20/1999,S&P,BBB,Stable
China,7/16/1998,S&P,BBB+,Negative
China,2/19/1998,Moody's,A3,Negative
China,12/11/1997,Fitch,A-,N/A
China,5/14/1997,S&P,BBB+,Stable
China,9/10/1993,Moody's,A3,Stable
China,7/19/1993,S&P,BBB,Positive
China,2/20/1992,S&P,BBB,Stable
China,11/8/1989,Moody's,Baa1,Stable
China,5/18/1988,Moody's,A3,Stable
