Country,Date,Agency,Rating,Outlook
Colombia,6/26/2025,S&P,BB,Negative
Colombia,6/26/2025,Moody's,Baa3,Stable
Colombia,5/16/2025,DBRS,BBB (low),Negative
Colombia,3/6/2025,Fitch,BB+,Negative
Colombia,6/27/2024,Moody's,Baa2,Negative
Colombia,1/18/2024,S&P,BB+,Negative
Colombia,12/16/2022,Fitch,BB+,Stable
Colombia,10/6/2021,Moody's,Baa2,Stable
Colombia,7/1/2021,Fitch,BB+,Stable
Colombia,6/24/2021,DBRS,BBB (low),Stable
Colombia,5/19/2021,S&P,BB+,Stable
Colombia,12/3/2020,Moody's,Baa2,Negative
Colombia,4/6/2020,DBRS,BBB,Negative
Colombia,4/1/2020,Fitch,BBB-,Negative
Colombia,3/26/2020,S&P,BBB-,Negative
Colombia,5/23/2019,Moody's,Baa2,Stable
Colombia,5/23/2019,Fitch,BBB,Negative
Colombia,2/22/2018,Moody's,Baa2,Negative
Colombia,12/12/2017,S&P,BBB-,Stable
Colombia,3/10/2017,Fitch,BBB,Stable
Colombia,7/22/2016,Fitch,BBB,Negative
Colombia,2/16/2016,S&P,BBB,Negative
Colombia,7/28/2014,Moody's,Baa2,Stable
Colombia,12/10/2013,Fitch,BBB,Stable
Colombia,12/10/2013,Fitch,BBB,Stable
Colombia,7/8/2013,Moody's,Baa3,Positive
Colombia,4/24/2013,S&P,BBB,Stable
Colombia,3/28/2013,DBRS,BBB,Stable
Colombia,3/6/2013,Fitch,BBB-,Positive
Colombia,8/15/2012,S&P,BBB-,Positive
Colombia,2/27/2012,DBRS,BBB (low),Positive
Colombia,6/23/2011,Fitch,BBB-,Stable
Colombia,5/31/2011,Moody's,Baa3,Stable
Colombia,3/16/2011,S&P,BBB-,Stable
Colombia,10/14/2010,Fitch,BB+,Positive
Colombia,9/9/2010,Moody's,Ba1,Positive
Colombia,7/7/2010,S&P,BB+,Positive
Colombia,6/11/2009,DBRS,BBB (low),Stable
Colombia,8/11/2008,DBRS,BB (high),Positive
Colombia,6/19/2008,Moody's,Ba1,Stable
Colombia,6/25/2007,Moody's,Ba2,Positive
Colombia,6/21/2007,Fitch,BB+,Stable
Colombia,3/5/2007,S&P,BB+,Stable
Colombia,12/11/2006,DBRS,BB (high),Stable
Colombia,6/5/2006,Fitch,BB,Positive
Colombia,3/9/2006,Moody's,Ba2,Stable
Colombia,2/22/2006,S&P,BB,Positive
Colombia,5/3/2004,Fitch,BB,Stable
Colombia,7/14/2003,S&P,BB,Stable
Colombia,8/29/2002,Fitch,BB,Negative
Colombia,3/27/2002,Moody's,Ba2,Negative
Colombia,1/10/2002,Fitch,BB,Stable
Colombia,10/24/2000,Fitch,BB+,Negative
Colombia,9/21/2000,Fitch,BB+,Stable
Colombia,5/24/2000,S&P,BB,Negative
Colombia,4/10/2000,S&P,BB+,Negative
Colombia,3/17/2000,Fitch,BB+,N/A
Colombia,9/21/1999,S&P,BB+,Stable
Colombia,8/11/1999,Moody's,Ba2,Stable
Colombia,6/11/1999,S&P,BBB-,Negative
Colombia,9/30/1998,Moody's,Baa3,Negative Watch
Colombia,10/7/1997,S&P,BBB-,Stable
Colombia,9/19/1995,Moody's,Baa3,Stable
Colombia,6/6/1995,Moody's,Ba1,Positive Watch
Colombia,9/21/1994,S&P,BBB-,Positive
Colombia,8/10/1994,Fitch,BBB,N/A
Colombia,8/4/1993,Moody's,Ba1,Stable
Colombia,6/21/1993,S&P,BBB-,Stable
