Country,Date,Agency,Rating,Outlook
Croatia,4/25/2025,DBRS,A,Stable
Croatia,11/8/2024,Moody's,A3,Stable
Croatia,9/20/2024,Fitch,A-,Stable
Croatia,9/13/2024,S&P,A-,Positive
Croatia,11/10/2023,Moody's,Baa2,Positive
Croatia,10/6/2023,Fitch,BBB+,Positive
Croatia,9/15/2023,S&P,BBB+,Positive
Croatia,7/15/2022,Moody's,Baa2,Stable
Croatia,7/14/2022,S&P,BBB+,Stable
Croatia,7/13/2022,Fitch,BBB+,Stable
Croatia,6/24/2022,Moody's,Ba1,Under Review
Croatia,11/12/2021,Fitch,BBB,Positive
Croatia,11/13/2020,Moody's,Ba1,Stable
Croatia,4/1/2020,Fitch,BBB-,Stable
Croatia,6/7/2019,Fitch,BBB-,Positive
Croatia,4/26/2019,Moody's,Ba2,Positive
Croatia,3/22/2019,S&P,BBB-,Stable
Croatia,9/21/2018,S&P,BB+,Positive
Croatia,7/6/2018,Fitch,BB+,Positive
Croatia,3/23/2018,S&P,BB+,Stable
Croatia,1/12/2018,Fitch,BB+,Stable
Croatia,9/22/2017,S&P,BB,Positive
Croatia,3/10/2017,Moody's,Ba2,Stable
Croatia,1/27/2017,Fitch,BB,Stable
Croatia,12/16/2016,S&P,BB,Stable
Croatia,3/11/2016,Moody's,Ba2,Negative
Croatia,7/31/2015,Fitch,BB,Negative
Croatia,7/17/2015,S&P,BB,Negative
Croatia,8/9/2014,Fitch,BB,Stable
Croatia,8/8/2014,Fitch,BB,Stable
Croatia,3/21/2014,Moody's,Ba1,Negative
Croatia,2/14/2014,Fitch,BB+,Negative
Croatia,1/24/2014,S&P,BB,Stable
Croatia,9/20/2013,Fitch,BB+,Stable
Croatia,8/2/2013,S&P,BB+,Negative
Croatia,2/1/2013,Moody's,Ba1,Stable
Croatia,12/14/2012,S&P,BB+,Stable
Croatia,11/29/2012,Fitch,BBB-,Negative
Croatia,9/5/2012,Fitch,BBB-,Stable
Croatia,5/31/2012,Moody's,Baa3,Negative
Croatia,12/21/2010,S&P,BBB-,Negative
Croatia,5/21/2009,Fitch,BBB-,Negative
Croatia,11/19/2008,Moody's,Baa3,Stable
Croatia,10/27/2008,S&P,BBB,Negative
Croatia,7/18/2007,Moody's,Baa3,Positive
Croatia,7/6/2005,Fitch,BBB-,Stable
Croatia,12/22/2004,S&P,BBB,Stable
Croatia,6/23/2004,S&P,BBB-,Positive
Croatia,7/8/2003,Fitch,BBB-,Positive
Croatia,1/14/2002,Moody's,Baa3,Stable
Croatia,6/28/2001,Fitch,BBB-,Stable
Croatia,2/9/2001,S&P,BBB-,Stable
Croatia,9/21/2000,Fitch,BB+,Positive
Croatia,6/11/1999,Moody's,Baa3,Negative
Croatia,6/3/1999,S&P,BBB-,Negative
Croatia,4/29/1999,Fitch,BB+,N/A
Croatia,1/27/1997,Moody's,Baa3,Stable
Croatia,1/17/1997,Fitch,BBB-,N/A
Croatia,1/17/1997,S&P,BBB-,Stable
