Country,Date,Agency,Rating,Outlook
Cyprus,3/21/2025,DBRS,A (low),Positive
Cyprus,12/13/2024,S&P,A-,Stable
Cyprus,12/6/2024,Fitch,A-,Stable
Cyprus,11/22/2024,Moody's,A3,Stable
Cyprus,9/20/2024,DBRS,BBB (high),Positive
Cyprus,6/14/2024,S&P,BBB+,Positive
Cyprus,6/7/2024,Fitch,BBB+,Positive
Cyprus,5/24/2024,Moody's,Baa2,Positive
Cyprus,12/8/2023,Fitch,BBB,Positive
Cyprus,9/29/2023,DBRS,BBB (high),Stable
Cyprus,9/29/2023,Moody's,Baa2,Stable
Cyprus,9/1/2023,S&P,BBB,Positive
Cyprus,3/13/2023,Fitch,BBB,Stable
Cyprus,9/2/2022,S&P,BBB,Stable
Cyprus,8/19/2022,Moody's,Ba1,Positive
Cyprus,4/8/2022,DBRS,BBB,Stable
Cyprus,10/22/2021,DBRS,BBB (low),Positive
Cyprus,9/3/2021,S&P,BBB-,Positive
Cyprus,7/23/2021,Moody's,Ba1,Stable
Cyprus,5/15/2020,DBRS,BBB (low),Stable
Cyprus,4/3/2020,Fitch,BBB-,Stable
Cyprus,11/15/2019,DBRS,BBB (low),Positive
Cyprus,10/11/2019,Fitch,BBB-,Positive
Cyprus,9/20/2019,Moody's,Ba2,Positive
Cyprus,11/23/2018,DBRS,BBB (low),Stable
Cyprus,10/19/2018,Fitch,BBB-,Stable
Cyprus,9/14/2018,S&P,BBB-,Stable
Cyprus,7/27/2018,Moody's,Ba2,Stable
Cyprus,5/25/2018,DBRS,BB,Positive
Cyprus,4/20/2018,Fitch,BB+,Positive
Cyprus,12/1/2017,DBRS,BB (low),Positive
Cyprus,10/20/2017,Fitch,BB,Positive
Cyprus,9/15/2017,S&P,BB+,Positive
Cyprus,7/28/2017,Moody's,Ba3,Positive
Cyprus,6/2/2017,DBRS,BB (low),Stable
Cyprus,3/17/2017,S&P,BB+,Stable
Cyprus,12/2/2016,DBRS,B,Positive
Cyprus,11/11/2016,Moody's,B1,Positive
Cyprus,10/21/2016,Fitch,BB-,Positive
Cyprus,9/16/2016,S&P,BB,Positive
Cyprus,12/4/2015,DBRS,B,Stable
Cyprus,11/13/2015,Moody's,B1,Stable
Cyprus,10/24/2015,Fitch,B+,Positive
Cyprus,10/23/2015,Fitch,B+,Positive
Cyprus,9/25/2015,S&P,BB-,Positive
Cyprus,3/27/2015,S&P,B+,Positive
Cyprus,11/14/2014,Moody's,B3,Stable
Cyprus,10/24/2014,Fitch,B-,Positive
Cyprus,10/24/2014,S&P,B+,Stable
Cyprus,6/27/2014,DBRS,B (low),Stable
Cyprus,4/25/2014,S&P,B,Positive
Cyprus,4/25/2014,Fitch,B-,Stable
Cyprus,3/21/2014,Moody's,Caa3,Positive
Cyprus,11/29/2013,S&P,B-,Stable
Cyprus,7/12/2013,DBRS,CCC,Negative
Cyprus,7/3/2013,S&P,CCC+,Stable
Cyprus,6/28/2013,S&P,SD,N/A
Cyprus,6/3/2013,Fitch,B-,Negative
Cyprus,4/10/2013,S&P,CCC,Stable
Cyprus,3/26/2013,Fitch,B,Negative Watch
Cyprus,3/21/2013,S&P,CCC,Negative
Cyprus,1/25/2013,Fitch,B,Negative
Cyprus,1/10/2013,Moody's,Caa3,Negative
Cyprus,12/20/2012,S&P,CCC+,Negative
Cyprus,11/21/2012,Fitch,BB-,Negative
Cyprus,11/16/2012,Moody's,B3,Negative Watch
Cyprus,10/17/2012,S&P,B,Negative Watch
Cyprus,10/8/2012,Moody's,B3,Negative
Cyprus,8/1/2012,S&P,BB,Negative Watch
Cyprus,6/25/2012,Fitch,BB+,Negative
Cyprus,6/13/2012,Moody's,Ba3,Negative Watch
Cyprus,3/13/2012,Moody's,Ba1,Negative
Cyprus,1/27/2012,Fitch,BBB-,Negative
Cyprus,1/13/2012,S&P,BB+,Negative
Cyprus,11/4/2011,Moody's,Baa3,Negative Watch
Cyprus,10/27/2011,S&P,BBB,Negative Watch
Cyprus,8/12/2011,S&P,BBB+,Negative Watch
Cyprus,8/10/2011,Fitch,BBB,Negative
Cyprus,7/29/2011,S&P,BBB+,Negative
Cyprus,7/27/2011,Moody's,Baa1,Negative
Cyprus,5/31/2011,Fitch,A-,Negative
Cyprus,5/16/2011,Moody's,A2,Negative Watch
Cyprus,3/30/2011,S&P,A-,Negative
Cyprus,2/24/2011,Moody's,A2,Stable
Cyprus,1/17/2011,Fitch,AA-,Negative Watch
Cyprus,1/13/2011,Moody's,Aa3,Negative Watch
Cyprus,11/16/2010,S&P,A,Negative
Cyprus,7/21/2010,S&P,A+,Negative Watch
Cyprus,4/24/2008,S&P,A+,Stable
Cyprus,1/3/2008,Moody's,Aa3,Stable
Cyprus,7/12/2007,Fitch,AA-,Stable
Cyprus,7/10/2007,Moody's,A1,Stable
Cyprus,5/17/2007,Moody's,A2,Positive Watch
Cyprus,3/29/2007,S&P,A,Positive
Cyprus,11/4/2003,Fitch,A+,Positive
Cyprus,2/1/2002,Fitch,A+,Stable
Cyprus,3/12/2001,Moody's,A2,Stable
Cyprus,5/30/2000,Moody's,A2,Negative
Cyprus,12/3/1999,S&P,A,Stable
Cyprus,11/9/1998,S&P,A+,Stable
Cyprus,2/28/1996,Moody's,A2,Stable
Cyprus,2/14/1994,S&P,AA-,Stable
