Country,Date,Agency,Rating,Outlook
Czech Republic,4/25/2025,DBRS,AA,Stable
Czech Republic,2/23/2024,Fitch,AA-,Stable
Czech Republic,11/24/2023,Moody's,Aa3,Stable
Czech Republic,8/5/2022,Moody's,Aa3,Negative
Czech Republic,5/6/2022,Fitch,AA-,Negative
Czech Republic,10/4/2019,Moody's,Aa3,Stable
Czech Republic,8/3/2018,Fitch,AA-,Stable
Czech Republic,4/20/2018,Moody's,A1,Positive
Czech Republic,9/1/2017,Fitch,A+,Positive
Czech Republic,12/13/2011,Fitch,A+,Stable
Czech Republic,11/21/2011,Fitch,A+,Positive
Czech Republic,8/24/2011,S&P,AA-,Stable
Czech Republic,8/10/2010,S&P,A,Positive
Czech Republic,6/4/2010,Fitch,A+,Positive
Czech Republic,12/8/2008,Moody's,A1,Stable
Czech Republic,3/4/2008,Fitch,A+,Stable
Czech Republic,10/2/2007,S&P,A,Stable
Czech Republic,3/30/2006,Moody's,A1,Positive
Czech Republic,11/30/2005,S&P,A-,Positive
Czech Republic,8/26/2005,Fitch,A,Stable
Czech Republic,6/20/2003,Fitch,A-,Stable
Czech Republic,11/12/2002,Moody's,A1,Stable
Czech Republic,9/21/2000,Fitch,BBB+,Stable
Czech Republic,11/5/1998,S&P,A-,Stable
Czech Republic,11/24/1997,Fitch,BBB+,N/A
Czech Republic,11/6/1995,S&P,A,Stable
Czech Republic,9/18/1995,Moody's,Baa1,Stable
Czech Republic,8/10/1995,Fitch,A-,N/A
Czech Republic,5/2/1995,Moody's,Baa2,Positive Watch
Czech Republic,7/18/1994,S&P,BBB+,Positive
Czech Republic,5/25/1994,Moody's,Baa2,Stable
Czech Republic,7/28/1993,S&P,BBB,Positive
Czech Republic,3/10/1993,Moody's,Baa3,Stable
