Country,Date,Agency,Rating,Outlook
Egypt,4/11/2025,S&P,B-,Stable
Egypt,11/1/2024,Fitch,B,Stable
Egypt,5/3/2024,Fitch,B-,Positive
Egypt,3/18/2024,S&P,B-,Positive
Egypt,3/7/2024,Moody's,Caa1,Positive
Egypt,1/18/2024,Moody's,Caa1,Negative
Egypt,11/3/2023,Fitch,B-,Stable
Egypt,10/20/2023,S&P,B-,Stable
Egypt,10/5/2023,Moody's,Caa1,Stable
Egypt,5/9/2023,Moody's,B3,Under Review
Egypt,5/5/2023,Fitch,B,Negative
Egypt,4/21/2023,S&P,B,Negative
Egypt,2/7/2023,Moody's,B3,Stable
Egypt,11/8/2022,Fitch,B+,Negative
Egypt,5/26/2022,Moody's,B2,Negative
Egypt,4/17/2019,Moody's,B2,Stable
Egypt,3/21/2019,Fitch,B+,Stable
Egypt,8/28/2018,Moody's,B3,Positive
Egypt,5/11/2018,S&P,B,Stable
Egypt,1/16/2018,Fitch,B,Positive
Egypt,11/10/2017,S&P,B-,Positive
Egypt,11/11/2016,S&P,B-,Stable
Egypt,5/13/2016,S&P,B-,Negative
Egypt,11/13/2015,S&P,B-,Stable
Egypt,5/15/2015,S&P,B-,Positive
Egypt,4/7/2015,Moody's,B3,Stable
Egypt,12/19/2014,Fitch,B,Stable
Egypt,12/19/2014,Fitch,B,Stable
Egypt,10/20/2014,Moody's,Caa1,Stable
Egypt,1/3/2014,Fitch,B-,Stable
Egypt,11/15/2013,S&P,B-,Stable
Egypt,7/5/2013,Fitch,B-,Negative
Egypt,5/9/2013,S&P,CCC+,Stable
Egypt,3/21/2013,Moody's,Caa1,Negative
Egypt,1/30/2013,Fitch,B,Negative
Egypt,1/18/2013,Moody's,B2,Negative Watch
Egypt,1/12/2013,Moody's,B3,Negative
Egypt,12/24/2012,S&P,B-,Negative
Egypt,8/23/2012,S&P,B,Negative
Egypt,6/25/2012,S&P,B,Negative Watch
Egypt,6/15/2012,Fitch,B+,Negative
Egypt,2/10/2012,S&P,B,Negative
Egypt,12/30/2011,Fitch,BB-,Negative
Egypt,12/21/2011,Moody's,B2,Negative Watch
Egypt,11/24/2011,S&P,B+,Negative
Egypt,10/27/2011,Moody's,B1,Negative
Egypt,10/18/2011,S&P,BB-,Negative
Egypt,3/16/2011,Moody's,Ba3,Negative
Egypt,3/10/2011,S&P,BB,Negative
Egypt,2/3/2011,Fitch,BB,Negative Watch
Egypt,2/1/2011,S&P,BB,Negative Watch
Egypt,1/31/2011,Moody's,Ba2,Negative
Egypt,1/28/2011,Fitch,BB+,Negative
Egypt,8/19/2009,Moody's,Ba1,Stable
Egypt,8/18/2008,Fitch,BB+,Stable
Egypt,6/23/2008,Moody's,Ba1,Negative
Egypt,6/18/2007,Fitch,BB+,Positive
Egypt,3/14/2005,S&P,BB+,Stable
Egypt,11/15/2003,Moody's,Ba1,Stable
Egypt,8/22/2003,S&P,BB+,Negative
Egypt,8/21/2002,Fitch,BB+,Stable
Egypt,5/22/2002,S&P,BB+,Stable
Egypt,1/22/2002,Fitch,BBB-,Negative
Egypt,11/7/2001,Moody's,Ba1,Negative
Egypt,9/21/2000,Fitch,BBB-,Stable
Egypt,7/3/2000,S&P,BBB-,Negative
Egypt,11/14/1997,Moody's,Ba1,Stable
Egypt,10/1/1997,Moody's,Ba2,Positive
Egypt,10/1/1997,Moody's,Ba2,Positive Watch
Egypt,8/19/1997,Fitch,BBB-,N/A
Egypt,1/15/1997,S&P,BBB-,Stable
Egypt,10/9/1996,Moody's,Ba2,Stable
