Country,Date,Agency,Rating,Outlook
Estonia,12/31/2024,S&P,NR,N/A
Estonia,5/31/2024,S&P,A+,Stable
Estonia,7/28/2023,Fitch,A+,Stable
Estonia,12/6/2022,S&P,AA-,Negative
Estonia,8/19/2022,Fitch,AA-,Negative
Estonia,3/31/2022,S&P,AA-,Stable
Estonia,8/20/2021,S&P,AA-,Positive
Estonia,8/21/2020,S&P,AA-,Stable
Estonia,2/28/2020,S&P,AA-,Positive
Estonia,10/5/2018,Fitch,AA-,Stable
Estonia,11/10/2017,Fitch,A+,Positive
Estonia,7/14/2017,DBRS,AA (low),Stable
Estonia,10/19/2012,S&P,AA-,Stable
Estonia,1/13/2012,S&P,AA-,Negative
Estonia,12/5/2011,S&P,AA-,Negative Watch
Estonia,11/21/2011,Fitch,A+,Stable
Estonia,8/9/2011,S&P,AA-,Stable
Estonia,7/5/2011,Fitch,A+,Stable
Estonia,4/21/2011,S&P,A,Positive
Estonia,7/19/2010,Fitch,A,Stable
Estonia,6/10/2010,S&P,A,Stable
Estonia,3/31/2010,Moody's,A1,Stable
Estonia,3/30/2010,Fitch,BBB+,Positive Watch
Estonia,2/11/2010,S&P,A-,Stable
Estonia,2/5/2010,Fitch,BBB+,Stable
Estonia,8/10/2009,S&P,A-,Negative
Estonia,4/21/2009,S&P,A,Negative
Estonia,4/8/2009,Fitch,BBB+,Negative
Estonia,2/24/2009,S&P,A,Negative Watch
Estonia,2/10/2009,Moody's,A1,Negative Watch
Estonia,11/7/2008,Moody's,A1,Negative
Estonia,10/3/2008,Fitch,A-,Negative
Estonia,1/31/2008,Fitch,A,Negative
Estonia,9/12/2007,Moody's,A1,Stable
Estonia,7/2/2007,S&P,A,Negative
Estonia,8/31/2006,Fitch,A,Stable
Estonia,7/17/2006,S&P,A,Stable
Estonia,3/9/2006,Moody's,A1,Positive
Estonia,7/21/2005,S&P,A,Positive
Estonia,11/17/2004,S&P,A,Stable
Estonia,7/7/2004,Fitch,A,Positive
Estonia,12/18/2003,S&P,A-,Positive
Estonia,10/22/2003,Fitch,A-,Positive
Estonia,11/12/2002,Moody's,A1,Stable
Estonia,11/20/2001,S&P,A-,Stable
Estonia,8/30/2001,Fitch,A-,Stable
Estonia,7/30/2001,Fitch,BBB+,Positive Watch
Estonia,12/22/2000,S&P,BBB+,Positive
Estonia,9/28/2000,Fitch,BBB+,Stable
Estonia,8/7/2000,Fitch,BBB,Positive Watch
Estonia,12/11/1997,S&P,BBB+,Stable
Estonia,9/11/1997,Moody's,Baa1,Stable
Estonia,9/11/1997,Fitch,BBB,N/A
