Country,Date,Agency,Rating,Outlook
Ethiopia,12/27/2023,Fitch,RD,N/A
Ethiopia,12/15/2023,S&P,SD,N/A
Ethiopia,12/14/2023,Fitch,C,N/A
Ethiopia,11/2/2023,Fitch,CC,N/A
Ethiopia,9/15/2023,Moody's,Caa3,Stable
Ethiopia,12/20/2022,Fitch,CCC-,N/A
Ethiopia,11/10/2021,S&P,CCC,Negative
Ethiopia,10/20/2021,Moody's,Caa2,Negative
Ethiopia,9/24/2021,S&P,CCC+,Negative
Ethiopia,5/17/2021,Moody's,Caa1,Under Review
Ethiopia,3/10/2021,Moody's,B2,Under Review
Ethiopia,2/12/2021,S&P,B-,Negative Watch
Ethiopia,2/9/2021,Fitch,CCC,N/A
Ethiopia,8/7/2020,Moody's,B2,Negative
Ethiopia,5/7/2020,Moody's,B2,Under Review
Ethiopia,4/10/2020,S&P,B,Negative
Ethiopia,10/1/2019,Fitch,B,Negative
Ethiopia,9/20/2019,Moody's,B1,Negative
Ethiopia,5/9/2014,Fitch,B,Stable
Ethiopia,5/9/2014,Moody's,B1,Stable
Ethiopia,5/9/2014,S&P,B,Stable
