Country,Date,Agency,Rating,Outlook
France,3/21/2025,DBRS,AA (high),Negative
France,2/28/2025,S&P,AA-,Negative
France,12/14/2024,Moody's,Aa3,Stable
France,11/30/2024,S&P,AA-,Stable
France,10/25/2024,Moody's,A2a,Negative
France,10/12/2024,Fitch,AA-,Negative
France,5/31/2024,S&P,AA-,Stable
France,4/28/2023,Fitch,AA-,Stable
France,12/2/2022,S&P,AA,Negative
France,10/16/2020,DBRS,AA (high),Stable
France,5/15/2020,Fitch,AA,Negative
France,4/17/2020,DBRS,AAA,Negative
France,2/21/2020,Moody's,Aa2,Stable
France,5/4/2018,Moody's,Aa2,Positive
France,10/21/2016,S&P,AA,Stable
France,4/29/2016,DBRS,AAA,Stable
France,9/18/2015,Moody's,Aa2,Stable
France,12/12/2014,Fitch,AA,Stable
France,11/7/2014,DBRS,AAA,Negative
France,10/14/2014,Fitch,AA+,Negative Watch
France,10/10/2014,S&P,AA,Negative
France,5/30/2014,DBRS,AAA,Stable
France,11/8/2013,S&P,AA,Stable
France,11/8/2013,S&P,AA,Stable
France,7/12/2013,Fitch,AA+,Stable
France,2/16/2012,Moody's,Aa1,Negative
France,1/13/2012,S&P,AA+,Negative
France,12/16/2011,Fitch,AAA,Negative
France,12/5/2011,S&P,AAA,Negative Watch
France,5/12/2011,DBRS,AAA,Stable
France,9/21/2000,Fitch,AAA,Stable
France,8/10/1994,Fitch,AAA,N/A
France,6/26/1989,S&P,AAA,Stable
France,1/23/1979,Moody's,Aaa,Stable
France,6/25/1975,S&P,AAA,N/A
