Country,Date,Agency,Rating,Outlook
Ghana,6/16/2025,Fitch,B-,Stable
Ghana,5/9/2025,S&P,CCC+,Stable
Ghana,10/11/2024,Moody's,Caa2,Positive
Ghana,2/21/2023,Fitch,RD,N/A
Ghana,12/21/2022,Fitch,C,N/A
Ghana,12/20/2022,S&P,SD,N/A
Ghana,12/6/2022,S&P,CC,Negative
Ghana,11/29/2022,Moody's,Ca,Stable
Ghana,9/30/2022,Moody's,Caa2,Under Review
Ghana,9/23/2022,Fitch,CC,N/A
Ghana,8/10/2022,Fitch,CCC,N/A
Ghana,8/5/2022,S&P,CCC+,Negative
Ghana,2/4/2022,Moody's,Caa1,Stable
Ghana,1/14/2022,Fitch,B-,Negative
Ghana,6/22/2021,Fitch,B,Negative
Ghana,9/11/2020,S&P,B-,Stable
Ghana,4/30/2020,S&P,B,Negative
Ghana,4/17/2020,Moody's,B3,Negative
Ghana,1/24/2020,Moody's,B3,Positive
Ghana,9/14/2018,S&P,B,Stable
Ghana,10/6/2017,S&P,B-,Positive
Ghana,5/12/2017,Fitch,B,Stable
Ghana,9/23/2016,Moody's,B3,Stable
Ghana,3/15/2015,Moody's,B3,Negative
Ghana,10/24/2014,S&P,B-,Stable
Ghana,6/27/2014,Moody's,B2,Negative
Ghana,3/28/2014,Fitch,B,Negative
Ghana,3/28/2014,Fitch,B,Negative
Ghana,12/6/2013,S&P,B,Negative
Ghana,12/5/2013,Moody's,B1,Negative
Ghana,10/17/2013,Fitch,B,Stable
Ghana,9/4/2013,S&P,B+,Stable
Ghana,2/15/2013,Fitch,B+,Negative
Ghana,12/20/2012,Moody's,B1,Stable
Ghana,11/29/2011,S&P,B,Stable
Ghana,9/24/2010,Fitch,B+,Stable
Ghana,8/27/2010,S&P,B,Stable
Ghana,3/16/2009,S&P,B+,Negative
Ghana,3/3/2009,Fitch,B+,Negative
Ghana,2/7/2008,Fitch,B+,Stable
Ghana,2/1/2006,Fitch,B+,Positive
Ghana,3/17/2005,Fitch,B+,Stable
Ghana,12/2/2003,Fitch,B,Positive
