Country,Date,Agency,Rating,Outlook
Greece,5/16/2025,Fitch,BBB-,Positive
Greece,4/18/2025,S&P,BBB,Stable
Greece,3/14/2025,Moody's,Baa3,Stable
Greece,3/7/2025,DBRS,BBB,Stable
Greece,9/14/2024,Moody's,Ba1,Positive
Greece,9/6/2024,DBRS,BBB (low),Positive
Greece,4/19/2024,S&P,BBB-,Positive
Greece,12/1/2023,Fitch,BBB-,Stable
Greece,10/20/2023,S&P,BBB-,Stable
Greece,9/15/2023,Moody's,Ba1,Stable
Greece,9/8/2023,DBRS,BBB (low),Stable
Greece,4/21/2023,S&P,BB+,Positive
Greece,3/17/2023,Moody's,Ba3,Positive
Greece,1/27/2023,Fitch,BB+,Stable
Greece,4/22/2022,S&P,BB+,Stable
Greece,3/18/2022,DBRS,BB (high),Stable
Greece,1/14/2022,Fitch,BB,Positive
Greece,9/17/2021,DBRS,BB,Positive
Greece,4/23/2021,S&P,BB,Positive
Greece,11/6/2020,Moody's,Ba3,Stable
Greece,4/24/2020,S&P,BB-,Stable
Greece,4/24/2020,DBRS,BB (low),Stable
Greece,4/23/2020,Fitch,BB,Stable
Greece,1/24/2020,Fitch,BB,Positive
Greece,11/1/2019,DBRS,BB (low),Positive
Greece,10/25/2019,S&P,BB-,Positive
Greece,5/3/2019,DBRS,BB (low),Stable
Greece,3/1/2019,Moody's,B1,Stable
Greece,8/10/2018,Fitch,BB-,Stable
Greece,7/20/2018,S&P,B+,Positive
Greece,6/29/2018,DBRS,B (high),Positive
Greece,6/25/2018,S&P,B+,Stable
Greece,5/4/2018,DBRS,B,Positive
Greece,2/21/2018,Moody's,B3,Positive
Greece,2/16/2018,Fitch,B,Positive
Greece,1/19/2018,S&P,B,Positive
Greece,11/10/2017,DBRS,CCC (high),Positive
Greece,8/18/2017,Fitch,B-,Positive
Greece,7/22/2017,S&P,B-,Positive
Greece,6/23/2017,Moody's,Caa2,Positive
Greece,1/22/2016,S&P,B-,Stable
Greece,12/11/2015,DBRS,CCC (high),Stable
Greece,9/25/2015,Moody's,Caa3,Stable
Greece,8/18/2015,Fitch,CCC,N/A
Greece,7/21/2015,S&P,CCC+,Stable
Greece,7/1/2015,Moody's,Caa3,Negative Watch
Greece,7/1/2015,DBRS,CC,Under Review
Greece,6/30/2015,Fitch,CC,N/A
Greece,6/30/2015,Fitch,CCC,Negative
Greece,6/29/2015,S&P,CCC-,Negative
Greece,6/10/2015,S&P,CCC,Negative
Greece,5/15/2015,DBRS,CCC (high),Negative
Greece,5/15/2015,DBRS,B,Negative
Greece,4/29/2015,Moody's,Caa2,Negative
Greece,4/15/2015,S&P,CCC+,Negative
Greece,3/27/2015,Fitch,CCC,N/A
Greece,2/6/2015,S&P,B-,Negative Watch
Greece,2/6/2015,Moody's,Caa1,Negative Watch
Greece,2/4/2015,DBRS,B,Under Review
Greece,1/28/2015,S&P,B,Negative Watch
Greece,1/16/2015,Fitch,B,Negative
Greece,12/12/2014,S&P,B,Stable
Greece,8/1/2014,Moody's,Caa1,Stable
Greece,7/11/2014,DBRS,B,Stable
Greece,5/23/2014,Fitch,B,Stable
Greece,11/29/2013,Moody's,Caa3,Stable
Greece,8/16/2013,DBRS,CCC (high),Negative
Greece,5/14/2013,Fitch,B-,Stable
Greece,12/18/2012,S&P,B-,Stable
Greece,12/5/2012,S&P,SD,N/A
Greece,8/7/2012,S&P,CCC,Negative
Greece,5/17/2012,Fitch,CCC,N/A
Greece,5/2/2012,S&P,CCC,Stable
Greece,3/13/2012,Fitch,B-,Stable
Greece,3/9/2012,Fitch,RD,N/A
Greece,3/2/2012,Moody's,C,Negative
Greece,2/27/2012,S&P,SD,N/A
Greece,2/22/2012,Fitch,C,N/A
Greece,7/27/2011,S&P,CC,Negative
Greece,7/25/2011,Moody's,Ca,Negative
Greece,7/13/2011,Fitch,CCC,N/A
Greece,6/13/2011,S&P,CCC,Negative
Greece,6/1/2011,Moody's,Caa1,Negative
Greece,5/20/2011,Fitch,B+,Negative Watch
Greece,5/9/2011,Moody's,B1,Negative Watch
Greece,5/9/2011,S&P,B,Negative Watch
Greece,3/29/2011,S&P,BB-,Negative Watch
Greece,3/7/2011,Moody's,B1,Negative
Greece,1/14/2011,Fitch,BB+,Negative
Greece,12/21/2010,Fitch,BBB-,Negative Watch
Greece,12/16/2010,Moody's,Ba1,Negative Watch
Greece,12/2/2010,S&P,BB+,Negative Watch
Greece,6/14/2010,Moody's,Ba1,Stable
Greece,4/27/2010,S&P,BB+,Negative
Greece,4/22/2010,Moody's,A3,Negative
Greece,4/22/2010,Moody's,A3,Negative Watch
Greece,4/9/2010,Fitch,BBB-,Negative
Greece,3/16/2010,S&P,BBB+,Negative
Greece,12/22/2009,Moody's,A2,Negative
Greece,12/16/2009,S&P,BBB+,Negative Watch
Greece,12/8/2009,Fitch,BBB+,Negative
Greece,12/7/2009,S&P,A-,Negative Watch
Greece,10/29/2009,Moody's,A1,Negative Watch
Greece,10/22/2009,Fitch,A-,Negative
Greece,5/12/2009,Fitch,A,Negative
Greece,2/25/2009,Moody's,A1,Stable
Greece,1/14/2009,S&P,A-,Stable
Greece,1/9/2009,S&P,A,Negative Watch
Greece,10/20/2008,Fitch,A,Stable
Greece,3/5/2007,Fitch,A,Positive
Greece,1/11/2007,Moody's,A1,Positive
Greece,12/16/2004,Fitch,A,Stable
Greece,11/17/2004,S&P,A,Stable
Greece,9/28/2004,Fitch,A+,Negative Watch
Greece,9/13/2004,S&P,A+,Negative
Greece,10/20/2003,Fitch,A+,Stable
Greece,6/10/2003,S&P,A+,Stable
Greece,11/4/2002,Moody's,A1,Stable
Greece,10/23/2002,Fitch,A,Positive
Greece,6/20/2001,Fitch,A,Stable
Greece,3/13/2001,S&P,A,Positive
Greece,9/21/2000,Fitch,A-,Stable
Greece,7/27/2000,Fitch,A-,N/A
Greece,3/13/2000,Fitch,BBB+,Positive Watch
Greece,11/24/1999,S&P,A-,Positive
Greece,10/25/1999,Fitch,BBB+,N/A
Greece,8/10/1999,Fitch,BBB,Positive Watch
Greece,7/4/1999,Moody's,A2,Positive
Greece,2/10/1999,Moody's,Baa1,Positive
Greece,11/30/1998,S&P,BBB,Positive
Greece,2/20/1998,Moody's,Baa1,Negative Watch
Greece,6/4/1997,Fitch,BBB,N/A
Greece,3/26/1997,S&P,BBB-,Positive
Greece,12/23/1996,Moody's,Baa1,Stable
Greece,11/4/1996,Moody's,Baa3,Positive Watch
Greece,11/13/1995,Fitch,BBB-,N/A
Greece,5/24/1994,Moody's,Baa3,Stable
Greece,3/8/1994,S&P,BBB-,Stable
