Country,Date,Agency,Rating,Outlook
Hungary,6/6/2025,DBRS,BBB,Stable
Hungary,4/11/2025,S&P,BBB-,Negative
Hungary,12/6/2024,Fitch,BBB,Stable
Hungary,11/30/2024,Moody's,Baa2,Negative
Hungary,1/27/2023,S&P,BBB-,Stable
Hungary,1/20/2023,Fitch,BBB,Negative
Hungary,8/12/2022,S&P,BBB,Negative
Hungary,9/24/2021,Moody's,Baa2,Stable
Hungary,9/25/2020,Moody's,Baa3,Positive
Hungary,4/28/2020,S&P,BBB,Stable
Hungary,2/14/2020,S&P,BBB,Positive
Hungary,2/22/2019,Fitch,BBB,Stable
Hungary,2/15/2019,S&P,BBB,Stable
Hungary,11/10/2017,Fitch,BBB-,Positive
Hungary,8/25/2017,S&P,BBB-,Positive
Hungary,11/4/2016,Moody's,Baa3,Stable
Hungary,9/16/2016,S&P,BBB-,Stable
Hungary,5/20/2016,Fitch,BBB-,Stable
Hungary,11/6/2015,Moody's,Ba1,Positive
Hungary,5/22/2015,Fitch,BB+,Positive
Hungary,5/22/2015,Fitch,BB+,Positive
Hungary,3/20/2015,S&P,BB+,Stable
Hungary,11/7/2014,Moody's,Ba1,Stable
Hungary,3/28/2014,S&P,BB,Stable
Hungary,3/21/2013,S&P,BB,Negative
Hungary,12/20/2012,Fitch,BB+,Stable
Hungary,11/23/2012,S&P,BB,Stable
Hungary,1/6/2012,Fitch,BB+,Negative
Hungary,12/21/2011,S&P,BB+,Negative
Hungary,11/24/2011,Moody's,Ba1,Negative
Hungary,11/11/2011,S&P,BBB-,Negative Watch
Hungary,11/11/2011,Fitch,BBB-,Negative
Hungary,6/6/2011,Fitch,BBB-,Stable
Hungary,12/23/2010,Fitch,BBB-,Negative
Hungary,12/6/2010,Moody's,Baa3,Negative
Hungary,7/23/2010,S&P,BBB-,Negative
Hungary,7/23/2010,Moody's,Baa1,Negative Watch
Hungary,10/2/2009,S&P,BBB-,Stable
Hungary,3/31/2009,Moody's,Baa1,Negative
Hungary,3/30/2009,S&P,BBB-,Negative
Hungary,3/2/2009,Fitch,BBB,Negative
Hungary,11/17/2008,S&P,BBB,Negative
Hungary,11/9/2008,Fitch,BBB,Stable
Hungary,11/7/2008,Moody's,A3,Negative
Hungary,10/15/2008,Fitch,BBB+,Negative
Hungary,10/15/2008,S&P,BBB+,Negative Watch
Hungary,3/14/2008,S&P,BBB+,Negative
Hungary,11/5/2007,Fitch,BBB+,Stable
Hungary,12/22/2006,Moody's,A2,Stable
Hungary,12/21/2006,S&P,BBB+,Stable
Hungary,9/22/2006,Moody's,A1,Negative Watch
Hungary,9/20/2006,Fitch,BBB+,Negative
Hungary,6/15/2006,S&P,BBB+,Negative
Hungary,2/22/2006,Moody's,A1,Negative
Hungary,1/26/2006,S&P,A-,Negative
Hungary,12/6/2005,Fitch,BBB+,Stable
Hungary,7/15/2003,Fitch,A-,Negative
Hungary,11/29/2001,Moody's,A1,Stable
Hungary,12/19/2000,S&P,A-,Stable
Hungary,11/30/2000,Fitch,A-,Stable
Hungary,11/14/2000,Moody's,A3,Stable
Hungary,9/21/2000,Fitch,BBB+,Positive
Hungary,9/13/2000,Moody's,Baa1,Positive Watch
Hungary,4/10/2000,Moody's,Baa1,Positive
Hungary,2/2/2000,S&P,BBB+,Positive
Hungary,10/29/1999,Fitch,BBB+,N/A
Hungary,6/25/1999,Moody's,Baa1,Stable
Hungary,12/11/1998,S&P,BBB,Positive
Hungary,5/8/1998,Moody's,Baa2,Positive
Hungary,3/20/1998,Moody's,Baa3,Positive Watch
Hungary,1/22/1998,S&P,BBB-,Positive
Hungary,9/11/1997,Moody's,Baa3,Positive
Hungary,6/24/1997,Fitch,BBB,N/A
Hungary,5/23/1997,Fitch,BBB-,Positive Watch
Hungary,12/19/1996,Moody's,Baa3,Stable
Hungary,10/28/1996,S&P,BBB-,Stable
Hungary,10/14/1996,Moody's,Ba1,Positive Watch
Hungary,4/25/1996,Fitch,BBB-,N/A
Hungary,2/1/1996,S&P,BB+,Stable
Hungary,4/11/1995,S&P,BB+,Negative
Hungary,4/15/1994,S&P,BB+,Stable
Hungary,4/20/1992,S&P,BB+,Positive
Hungary,7/18/1990,Moody's,Ba1,Stable
Hungary,7/18/1989,Moody's,Baa2,Stable
