Country,Date,Agency,Rating,Outlook
Iceland,9/20/2024,Moody's,A1,Stable
Iceland,11/10/2023,S&P,A+,Stable
Iceland,7/14/2023,Moody's,A2,Positive
Iceland,5/12/2023,S&P,A,Positive
Iceland,3/18/2022,Fitch,A,Stable
Iceland,5/22/2020,Fitch,A,Negative
Iceland,11/8/2019,Moody's,A2,Stable
Iceland,7/20/2018,Moody's,A3,Positive
Iceland,12/8/2017,Fitch,A,Stable
Iceland,7/7/2017,Fitch,A-,Positive
Iceland,3/17/2017,S&P,A,Stable
Iceland,1/13/2017,S&P,A-,Stable
Iceland,1/13/2017,Fitch,BBB+,Positive
Iceland,9/1/2016,Moody's,A3,Stable
Iceland,6/10/2016,Moody's,Baa2,Positive Watch
Iceland,1/15/2016,S&P,BBB+,Stable
Iceland,7/24/2015,Fitch,BBB+,Stable
Iceland,7/17/2015,S&P,BBB,Stable
Iceland,6/29/2015,Moody's,Baa2,Stable
Iceland,1/30/2015,Fitch,BBB,Positive
Iceland,7/18/2014,S&P,BBB-,Positive
Iceland,1/24/2014,S&P,BBB-,Stable
Iceland,7/26/2013,S&P,BBB-,Negative
Iceland,2/14/2013,Fitch,BBB,Stable
Iceland,2/7/2013,Moody's,Baa3,Stable
Iceland,2/17/2012,Fitch,BBB-,Stable
Iceland,11/23/2011,S&P,BBB-,Stable
Iceland,5/17/2011,S&P,BBB-,Negative
Iceland,5/17/2011,Fitch,BB+,Stable
Iceland,4/13/2011,S&P,BBB-,Negative Watch
Iceland,7/29/2010,Moody's,Baa3,Negative
Iceland,4/23/2010,Moody's,Baa3,Stable
Iceland,4/6/2010,Moody's,Baa3,Negative
Iceland,3/30/2010,S&P,BBB-,Negative
Iceland,1/5/2010,S&P,BBB-,Negative Watch
Iceland,1/5/2010,Fitch,BB+,Negative
Iceland,12/31/2009,S&P,BBB-,Stable
Iceland,12/23/2009,Fitch,BBB-,Negative
Iceland,11/11/2009,Moody's,Baa3,Stable
Iceland,12/4/2008,Moody's,Baa1,Negative
Iceland,11/24/2008,S&P,BBB-,Negative
Iceland,10/8/2008,Fitch,BBB-,Negative Watch
Iceland,10/8/2008,Moody's,A1,Negative Watch
Iceland,10/8/2008,Moody's,A1,Stable
Iceland,10/6/2008,S&P,BBB,Negative
Iceland,9/30/2008,Moody's,Aa1,Negative Watch
Iceland,9/30/2008,Fitch,A-,Negative Watch
Iceland,9/29/2008,S&P,A-,Negative Watch
Iceland,5/20/2008,Moody's,Aa1,Stable
Iceland,4/17/2008,S&P,A,Negative
Iceland,4/1/2008,S&P,A+,Negative Watch
Iceland,4/1/2008,Fitch,A+,Negative
Iceland,3/5/2008,Moody's,Aaa,Negative
Iceland,11/20/2007,S&P,A+,Negative
Iceland,3/15/2007,Fitch,A+,Stable
Iceland,12/22/2006,S&P,A+,Stable
Iceland,6/5/2006,S&P,AA-,Negative
Iceland,2/21/2006,Fitch,AA-,Negative
Iceland,2/10/2005,S&P,AA-,Stable
Iceland,12/16/2003,S&P,A+,Positive
Iceland,3/31/2003,Fitch,AA-,Stable
Iceland,11/15/2002,S&P,A+,Stable
Iceland,10/20/2002,Moody's,Aaa,Stable
Iceland,2/15/2002,Fitch,AA-,Negative
Iceland,10/22/2001,S&P,A+,Negative
Iceland,3/21/2001,S&P,A+,Stable
Iceland,9/21/2000,Fitch,AA-,Stable
Iceland,2/3/2000,Fitch,AA-,N/A
Iceland,5/27/1998,S&P,A+,Positive
Iceland,7/30/1997,Moody's,Aa3,Stable
Iceland,6/16/1997,Moody's,A1,Positive Watch
Iceland,6/24/1996,Moody's,A1,Stable
Iceland,4/10/1996,Moody's,A2,Positive Watch
Iceland,3/15/1996,S&P,A+,Stable
Iceland,6/26/1989,S&P,A,Stable
Iceland,5/24/1989,Moody's,A2,Stable
Iceland,2/14/1989,S&P,A,N/A
