Country,Date,Agency,Rating,Outlook
Indonesia,4/27/2022,S&P,BBB,Stable
Indonesia,4/17/2020,S&P,BBB,Negative
Indonesia,5/31/2019,S&P,BBB,Stable
Indonesia,4/13/2018,Moody's,Baa2,Stable
Indonesia,12/21/2017,Fitch,BBB,Stable
Indonesia,5/19/2017,S&P,BBB-,Stable
Indonesia,2/8/2017,Moody's,Baa3,Positive
Indonesia,12/21/2016,Fitch,BBB-,Positive
Indonesia,5/21/2015,S&P,BB+,Positive
Indonesia,5/2/2013,S&P,BB+,Stable
Indonesia,1/18/2012,Moody's,Baa3,Stable
Indonesia,12/15/2011,Fitch,BBB-,Stable
Indonesia,4/8/2011,S&P,BB+,Positive
Indonesia,2/24/2011,Fitch,BB+,Negative
Indonesia,1/17/2011,Moody's,Ba1,Stable
Indonesia,12/1/2010,Moody's,Ba2,Positive Watch
Indonesia,6/21/2010,Moody's,Ba2,Positive
Indonesia,3/12/2010,S&P,BB,Positive
Indonesia,1/24/2010,Fitch,BB+,Stable
Indonesia,10/23/2009,S&P,BB-,Positive
Indonesia,9/16/2009,Moody's,Ba2,Stable
Indonesia,6/11/2009,Moody's,Ba3,Positive
Indonesia,2/13/2008,Fitch,BB,Stable
Indonesia,10/18/2007,Moody's,Ba3,Stable
Indonesia,8/1/2007,Moody's,B1,Positive Watch
Indonesia,2/5/2007,Moody's,B1,Positive
Indonesia,1/28/2007,Fitch,BB-,Positive
Indonesia,7/26/2006,S&P,BB-,Stable
Indonesia,5/18/2006,Moody's,B1,Stable
Indonesia,2/26/2006,Moody's,B2,Positive Watch
Indonesia,2/12/2006,Fitch,BB-,Stable
Indonesia,2/9/2006,S&P,B+,Positive
Indonesia,9/1/2005,S&P,B+,Stable
Indonesia,2/18/2005,Moody's,B2,Positive
Indonesia,1/26/2005,Fitch,BB-,Positive
Indonesia,12/21/2004,S&P,B+,Positive
Indonesia,10/4/2004,Fitch,B+,Positive
Indonesia,5/11/2004,S&P,B,Positive
Indonesia,11/20/2003,Fitch,B+,Stable
Indonesia,10/7/2003,S&P,B,Stable
Indonesia,9/29/2003,Moody's,B2,Stable
Indonesia,6/25/2003,Moody's,B3,Positive Watch
Indonesia,5/12/2003,S&P,B-,Stable
Indonesia,9/5/2002,S&P,CCC+,Stable
Indonesia,8/1/2002,Fitch,B,Stable
Indonesia,4/24/2002,Moody's,B3,Positive
Indonesia,4/22/2002,S&P,SD,N/A
Indonesia,11/30/2001,Fitch,B-,Stable
Indonesia,11/2/2001,S&P,CCC,Negative
Indonesia,9/14/2001,Fitch,B-,Positive
Indonesia,7/30/2001,S&P,CCC+,Stable
Indonesia,5/21/2001,S&P,CCC+,Negative
Indonesia,3/7/2001,S&P,B-,Negative
Indonesia,10/2/2000,S&P,B-,Stable
Indonesia,9/21/2000,Fitch,B-,Stable
Indonesia,4/17/2000,S&P,SD,N/A
Indonesia,9/12/1999,S&P,CCC+,Negative Watch
Indonesia,3/30/1999,S&P,CCC+,Stable
Indonesia,3/29/1999,S&P,SD,N/A
Indonesia,7/8/1998,S&P,CCC+,Negative
Indonesia,5/15/1998,S&P,CCC+,Negative Watch
Indonesia,3/20/1998,Moody's,B3,Stable
Indonesia,3/16/1998,Fitch,B-,Negative Watch
Indonesia,3/11/1998,S&P,B-,Negative Watch
Indonesia,1/27/1998,S&P,B,Negative Watch
Indonesia,1/21/1998,Fitch,B+,Negative Watch
Indonesia,1/9/1998,S&P,BB,Negative Watch
Indonesia,1/9/1998,Moody's,B2,Stable
Indonesia,1/8/1998,Fitch,BB-,N/A
Indonesia,12/31/1997,S&P,BB+,Negative
Indonesia,12/22/1997,Fitch,BB+,N/A
Indonesia,12/21/1997,Moody's,Ba1,Stable
Indonesia,12/17/1997,Fitch,BBB-,Negative Watch
Indonesia,10/10/1997,S&P,BBB-,Stable
Indonesia,6/4/1997,Fitch,BBB-,N/A
Indonesia,4/18/1995,S&P,BBB,Stable
Indonesia,3/14/1994,Moody's,Baa3,Stable
Indonesia,7/20/1992,S&P,BBB-,Positive
