Country,Date,Agency,Rating,Outlook
Ireland,11/15/2024,S&P,AA,Positive
Ireland,9/20/2024,DBRS,AA,Stable
Ireland,8/16/2024,Moody's,Aa3,Positive
Ireland,5/31/2024,Fitch,AA,Stable
Ireland,3/22/2024,DBRS,AA (low),Positive
Ireland,7/14/2023,Fitch,AA-,Positive
Ireland,5/19/2023,S&P,AA,Stable
Ireland,4/21/2023,Moody's,Aa3,Stable
Ireland,11/18/2022,S&P,AA-,Positive
Ireland,5/6/2022,Moody's,A1,Positive
Ireland,1/28/2022,Fitch,AA-,Stable
Ireland,1/14/2022,DBRS,AA (low),Stable
Ireland,8/13/2021,Moody's,A2,Positive
Ireland,7/16/2021,DBRS,A (high),Positive
Ireland,5/15/2020,DBRS,A (high),Stable
Ireland,1/31/2020,DBRS,A (high),Positive
Ireland,11/29/2019,S&P,AA-,Stable
Ireland,12/15/2017,Fitch,A+,Stable
Ireland,9/15/2017,Moody's,A2,Stable
Ireland,5/14/2016,Moody's,A3,Positive
Ireland,3/11/2016,DBRS,A (high),Stable
Ireland,2/5/2016,Fitch,A,Stable
Ireland,9/11/2015,Moody's,Baa1,Positive
Ireland,9/11/2015,DBRS,A,Positive
Ireland,8/7/2015,Fitch,A-,Positive
Ireland,6/5/2015,S&P,A+,Stable
Ireland,3/13/2015,DBRS,A,Stable
Ireland,12/5/2014,S&P,A,Stable
Ireland,9/26/2014,DBRS,A (low),Positive
Ireland,8/15/2014,Fitch,A-,Stable
Ireland,8/15/2014,Fitch,A-,Stable
Ireland,6/6/2014,S&P,A-,Positive
Ireland,5/16/2014,Moody's,Baa1,Stable
Ireland,3/28/2014,DBRS,A (low),Stable
Ireland,1/17/2014,Moody's,Baa3,Positive
Ireland,9/20/2013,Moody's,Ba1,Stable
Ireland,7/12/2013,S&P,BBB+,Positive
Ireland,3/27/2013,Moody's,Ba1,Negative
Ireland,2/11/2013,S&P,BBB+,Stable
Ireland,11/14/2012,Fitch,BBB+,Stable
Ireland,5/22/2012,DBRS,A (low),Under Review
Ireland,1/13/2012,S&P,BBB+,Negative
Ireland,12/16/2011,Fitch,BBB+,Negative Watch
Ireland,12/5/2011,S&P,BBB+,Negative Watch
Ireland,8/17/2011,DBRS,A (low),Negative
Ireland,7/12/2011,Moody's,Ba1,Negative
Ireland,4/15/2011,Moody's,Baa3,Negative
Ireland,4/14/2011,Fitch,BBB+,Negative
Ireland,4/1/2011,DBRS,A,Negative
Ireland,4/1/2011,Fitch,BBB+,Negative Watch
Ireland,4/1/2011,S&P,BBB+,Stable
Ireland,2/2/2011,S&P,A-,Negative Watch
Ireland,12/17/2010,Moody's,Baa1,Negative
Ireland,12/15/2010,DBRS,A (high),Negative
Ireland,12/15/2010,DBRS,AA,Negative
Ireland,12/9/2010,Fitch,BBB+,Stable
Ireland,11/23/2010,S&P,A,Negative Watch
Ireland,10/6/2010,Fitch,A+,Negative
Ireland,10/5/2010,DBRS,AA,Under Review
Ireland,10/5/2010,Moody's,Aa2,Negative Watch
Ireland,8/24/2010,S&P,AA-,Negative
Ireland,7/21/2010,DBRS,AA,Stable
Ireland,7/19/2010,Moody's,Aa2,Stable
Ireland,11/4/2009,Fitch,AA,Stable
Ireland,7/2/2009,Moody's,Aa1,Negative
Ireland,6/8/2009,S&P,AA,Negative
Ireland,4/17/2009,Moody's,Aaa,Negative Watch
Ireland,4/8/2009,Fitch,AA+,Negative
Ireland,3/30/2009,S&P,AA+,Negative
Ireland,3/6/2009,Fitch,AAA,Negative Watch
Ireland,1/30/2009,Moody's,Aaa,Negative
Ireland,1/9/2009,S&P,AAA,Negative
Ireland,10/3/2001,S&P,AAA,Stable
Ireland,10/3/2000,S&P,AA+,Positive
Ireland,9/21/2000,Fitch,AAA,Stable
Ireland,12/16/1998,Fitch,AAA,N/A
Ireland,5/6/1998,S&P,AA+,Stable
Ireland,5/4/1998,Moody's,Aaa,Stable
Ireland,3/18/1998,Moody's,Aa1,Positive Watch
Ireland,2/13/1997,Moody's,Aa1,Stable
Ireland,1/24/1997,Moody's,Aa2,Positive Watch
Ireland,5/3/1995,S&P,AA,Stable
Ireland,10/10/1994,Fitch,AA+,N/A
Ireland,8/31/1994,Moody's,Aa2,Stable
Ireland,6/24/1994,Moody's,Aa3,Positive Watch
Ireland,5/10/1994,S&P,AA-,Positive
Ireland,10/12/1989,S&P,AA-,Stable
Ireland,6/26/1989,S&P,A+,Stable
Ireland,10/1/1988,S&P,A+,N/A
Ireland,7/15/1987,Moody's,Aa3,Stable
